race_id,horse_name,horse_number,jockey,trainer,age,sex,weight,weight_change,jockey_weight,post_position,odds,popularity,finish_position,finish_time,margin,career_starts,career_wins,career_top3,prize_money
202511270001,ブレイブジェネシス,1,武豊,藤原英昭,7,牝,506,4,56.0,1,16.0,3,6,122.5,1.6,23,10,20,115729.2
202511270001,コントレイルスター,2,松山弘平,国枝栄,6,セ,449,0,57.0,2,24.6,10,9,123.8,2.3,25,4,6,37149.8
202511270001,ジェラルディーナ,3,浜中俊,藤原英昭,5,セ,512,8,57.0,3,13.6,7,4,121.7,0.9,11,8,8,43511.7
202511270001,ドゥラエレーデ,4,松山弘平,手塚貴久,3,牝,457,-4,54.0,4,15.4,1,1,120.9,0.0,5,2,2,79431.5
202511270001,ドウデュースジュニア,5,田辺裕信,中内田充正,6,牝,446,6,54.0,5,27.2,9,11,123.9,3.0,26,2,23,86350.3
202511270001,ディープスカイ,6,戸崎圭太,手塚貴久,5,牡,508,0,56.0,6,29.7,8,10,123.9,2.8,36,7,25,118132.8
202511270001,タイトルホルダー二世,7,戸崎圭太,中内田充正,5,セ,528,-4,55.0,7,11.5,3,2,121.5,0.4,29,3,4,76941.5
202511270001,シュネルマイスター二世,8,三浦皇成,国枝栄,4,牡,500,-6,56.0,8,5.5,5,3,122.2,0.6,7,4,5,99725.6
202511270001,キラーアビリティⅡ,9,石橋脩,手塚貴久,2,セ,458,0,56.0,9,41.9,13,14,125.5,3.8,13,0,1,44989.5
202511270001,ヴェラアズール二世,10,三浦皇成,国枝栄,2,牡,470,0,56.0,10,11.9,8,5,122.6,1.4,7,2,5,83528.6
202511270001,オニャンコポン二世,11,池添謙一,手塚貴久,3,牡,527,-6,55.0,11,28.2,12,12,124.6,3.3,9,0,9,63332.6
202511270001,タスティエーラ二世,12,戸崎圭太,木村哲也,2,セ,529,-2,57.0,12,59.7,12,13,124.4,3.4,27,6,21,71608.7
202511270001,クロノジェネシスⅡ,13,坂井瑠星,須貝尚介,2,セ,510,0,56.0,13,51.2,6,8,123.5,2.0,7,6,7,22477.7
202511270001,セリフォスライト,14,坂井瑠星,藤原英昭,7,セ,440,4,58.0,14,59.0,15,18,126.8,4.9,34,8,23,5224.1
202511270001,ナミュールスター,15,戸崎圭太,矢作芳人,5,セ,477,0,54.0,15,43.6,16,17,126.3,4.9,27,3,26,90801.5
202511270001,レイパパレスター,16,松山弘平,萩原清,3,セ,435,-4,57.0,16,36.0,14,15,125.7,4.3,25,10,14,7572.1
202511270001,メイケイエール,17,戸崎圭太,木村哲也,5,牝,434,-8,58.0,17,49.0,13,16,126.0,4.5,35,5,31,65163.7
202511270001,ウインマリリン,18,浜中俊,木村哲也,4,牝,434,-8,54.0,18,20.8,6,7,122.9,1.9,21,10,16,106738.4
202510100002,マイティウインド,1,C.ルメール,藤原英昭,4,牝,443,2,55.0,1,19.0,10,8,111.0,2.2,32,9,20,20120.8
202510100002,シュネルマイスター二世,2,田辺裕信,中内田充正,7,セ,475,-8,57.0,2,46.2,12,13,112.8,3.5,23,1,22,7199.4
202510100002,レイパパレスター,3,石橋脩,須貝尚介,2,牡,448,-8,56.0,3,3.3,4,2,109.7,0.2,5,2,2,27229.3
202510100002,ウインマリリン,4,松山弘平,藤原英昭,7,牝,487,6,57.0,4,75.8,14,14,113.3,3.8,19,2,10,11232.5
202510100002,ドウデュースジュニア,5,池添謙一,堀宣行,2,牝,433,4,57.0,5,24.8,5,5,110.3,1.1,10,1,10,12851.0
202510100002,アカイイト二世,6,C.ルメール,堀宣行,5,セ,455,-4,56.0,6,42.2,17,17,113.5,4.9,10,7,7,24749.9
202510100002,アルファネクスト,7,石橋脩,堀宣行,4,牝,468,8,58.0,7,35.1,17,15,113.5,4.1,28,2,8,35643.0
202510100002,クロノジェネシスⅡ,8,岩田望来,矢作芳人,3,セ,531,0,55.0,8,29.4,5,6,110.6,1.5,33,7,9,2958.7
202510100002,ヴェラアズール二世,9,池添謙一,手塚貴久,5,牡,521,0,56.0,9,17.3,4,3,109.6,0.7,12,9,12,20962.5
202510100002,ジオグリフライト,10,川田将雅,萩原清,6,牡,474,-4,54.0,10,28.1,9,7,111.0,1.8,23,6,15,7409.6
202510100002,コントレイルスター,11,横山武史,藤原英昭,4,セ,520,-6,58.0,11,34.8,10,9,111.9,2.3,11,4,8,27649.3
202510100002,ソダシスプリング,12,福永祐一,堀宣行,2,セ,494,-4,58.0,12,23.3,11,10,112.2,2.6,24,2,20,1853.7
202510100002,プラダリアスター,13,武豊,須貝尚介,2,セ,440,6,54.0,13,41.9,15,16,113.7,4.5,26,6,26,24551.0
202510100002,ダノンベルーガⅡ,14,岩田望来,木村哲也,7,牡,468,0,54.0,14,28.7,15,12,112.7,3.2,19,4,17,21791.3
202510100002,ブレイブジェネシス,15,田辺裕信,堀宣行,3,牡,473,0,56.0,15,44.9,10,11,112.5,3.0,18,5,6,14360.2
202510100002,ボルドグフーシュ,16,戸崎圭太,手塚貴久,5,セ,445,-8,57.0,16,9.8,1,1,108.7,0.0,17,4,17,40604.0
202510100002,ナミュールスター,17,池添謙一,藤原英昭,4,牝,503,2,56.0,17,11.5,2,4,110.3,0.9,23,8,10,42535.5
202501170003,ジェラルディーナ,1,武豊,国枝栄,4,牝,498,0,56.0,1,34.3,12,12,87.8,3.1,30,5,6,42771.1
202501170003,グランアレグリアⅡ,2,坂井瑠星,友道康夫,3,セ,476,2,58.0,2,24.9,5,8,86.8,1.9,17,8,9,29542.8
202501170003,タイトルホルダー二世,3,松山弘平,堀宣行,4,牡,501,0,54.0,3,25.6,7,9,87.4,2.3,10,8,9,60297.4
202501170003,エフフォーリアネクスト,4,川田将雅,須貝尚介,6,牝,488,6,58.0,4,2.8,3,2,84.8,0.4,11,5,7,44529.3
202501170003,セリフォスライト,5,坂井瑠星,萩原清,6,牡,536,0,56.0,5,23.6,10,10,87.8,2.6,34,7,10,73492.4
202501170003,デアリングタクト二世,6,浜中俊,矢作芳人,6,牡,469,8,54.0,6,7.8,5,4,85.7,0.9,28,9,14,39317.4
202501170003,キタサンミラクル,7,浜中俊,中内田充正,7,セ,509,-2,54.0,7,22.6,4,6,86.7,1.4,19,0,14,23526.9
202501170003,レッドベルオーブ,8,池添謙一,木村哲也,3,セ,482,6,54.0,8,28.8,11,11,87.9,3.1,35,7,23,15550.6
202501170003,ナミュールスター,9,岩田望来,萩原清,4,セ,514,-4,56.0,9,22.1,7,7,86.5,1.8,37,7,28,57899.2
202501170003,アカイイト二世,10,福永祐一,友道康夫,7,牝,517,-2,55.0,10,28.8,4,3,85.4,0.8,22,4,13,57838.1
202501170003,ダノンベルーガⅡ,11,池添謙一,手塚貴久,7,牡,456,4,58.0,11,12.9,4,5,86.0,1.3,14,4,10,67182.0
202501170003,ファインルージュ,12,松山弘平,堀宣行,5,牝,534,-6,56.0,12,5.3,1,1,84.4,0.1,35,5,11,15155.1
202501070004,ボルドグフーシュ,1,横山武史,矢作芳人,3,牡,511,2,54.0,1,13.7,3,6,86.3,1.7,23,1,6,12207.2
202501070004,ジオグリフライト,2,福永祐一,木村哲也,5,牡,491,0,54.0,2,32.6,13,13,88.9,3.7,25,4,11,16054.6
202501070004,アスクビクターモア二世,3,三浦皇成,矢作芳人,7,牝,538,-4,57.0,3,10.6,1,3,85.4,0.5,27,0,23,28863.9
202501070004,アルファネクスト,4,武豊,友道康夫,4,セ,434,0,58.0,4,39.5,11,10,87.7,2.7,19,4,8,25531.8
202501070004,トウショウファルコ,5,横山武史,国枝栄,5,セ,464,2,55.0,5,47.2,11,12,87.8,3.1,19,10,15,23723.0
202501070004,ジャスティンロック,6,浜中俊,木村哲也,6,牝,516,8,58.0,6,10.1,3,5,86.2,1.1,33,6,18,20077.7
202501070004,イクイノックスジュニア,7,岩田望来,藤原英昭,3,牝,447,0,56.0,7,9.6,1,2,84.7,0.2,18,3,3,7846.6
202501070004,プラダリアスター,8,横山武史,矢作芳人,4,セ,518,0,58.0,8,22.9,10,8,86.6,2.3,15,2,13,23095.2
202501070004,セリフォスライト,9,福永祐一,友道康夫,7,牡,445,-2,57.0,9,17.5,6,7,86.8,1.9,18,2,13,12475.4
202501070004,タイトルホルダー二世,10,浜中俊,萩原清,6,セ,490,-2,54.0,10,1.3,4,1,85.0,0.0,25,3,19,21113.0
202501070004,オニャンコポン二世,11,C.ルメール,矢作芳人,2,セ,502,4,55.0,11,24.1,12,9,87.3,2.3,22,3,19,13255.2
202501070004,キタサンミラクル,12,池添謙一,須貝尚介,7,牡,456,4,57.0,12,53.6,11,11,87.4,2.9,33,7,20,13704.0
202501070004,ヴェラアズール二世,13,岩田望来,友道康夫,2,牡,501,0,58.0,13,11.4,6,4,85.3,0.7,24,0,13,10335.9
202502250005,アーモンドフラッシュ,1,福永祐一,萩原清,5,セ,440,0,57.0,1,32.6,1,3,122.0,0.6,7,1,6,58723.5
202502250005,ボルドグフーシュ,2,武豊,友道康夫,2,牝,526,4,55.0,2,11.5,5,5,122.6,1.1,24,6,17,9307.3
202502250005,キタサンミラクル,3,浜中俊,国枝栄,3,牡,522,0,55.0,3,29.2,8,11,124.5,2.9,34,9,12,35636.6
202502250005,キングスレイン,4,福永祐一,矢作芳人,5,セ,506,0,55.0,4,16.2,5,7,123.3,1.9,15,7,7,8408.1
202502250005,ファインルージュ,5,石橋脩,須貝尚介,4,牝,459,8,55.0,5,58.4,13,14,125.2,4.1,13,5,13,13262.6
202502250005,ディープスカイ,6,武豊,萩原清,4,牝,465,-4,58.0,6,51.0,14,13,125.2,3.6,32,10,21,56495.2
202502250005,ナミュールスター,7,浜中俊,萩原清,7,牝,478,0,55.0,7,23.0,8,9,123.8,2.5,12,2,9,14458.1
202502250005,メイケイエール,8,石橋脩,堀宣行,3,牝,468,-8,58.0,8,10.8,4,1,121.2,0.0,22,8,14,14571.5
202502250005,ドウデュースジュニア,9,福永祐一,国枝栄,3,牡,472,-6,54.0,9,39.5,10,10,124.3,2.6,32,8,29,36298.2
202502250005,ジャスティンロック,10,横山武史,須貝尚介,2,牝,439,-2,56.0,10,35.6,14,12,124.7,3.5,14,7,7,12708.5
202502250005,キラーアビリティⅡ,11,C.ルメール,手塚貴久,3,牡,524,-2,58.0,11,25.0,6,8,123.5,2.0,36,6,15,22839.7
