sire,total_runs,total_top3,top3_rate,top2_rate,win_rate,avg_distance,weighted_dist_sum,best_distance,best_dist_cat,win_return_pct,place_return_pct
ヘニーヒューズHenny Hughes(米),4482,1236,0.2757697456492637,0.1929941990182954,0.09794734493529675,1470.9393128067827,1816300,1469,mile,83.8,85.9
ロードカナロア,3722,884,0.23750671681891455,0.16362170875873186,0.09000537345513165,1472.3401397098335,1285150,1454,mile,87.0,79.4
シニスターミニスターSinister Minister(米),3268,919,0.28121175030599754,0.1949204406364749,0.1043451652386781,1539.9020807833538,1433950,1560,mile,106.3,94.3
ルーラーシップ,3036,617,0.20322793148880106,0.1251646903820817,0.06389986824769434,1678.5737812911725,1025950,1663,mile,78.3,75.2
ドレフォンDrefong(米),3035,839,0.2764415156507414,0.18682042833607906,0.10411861614497529,1562.7841845140033,1314200,1566,mile,98.0,87.9
キズナ,2772,769,0.2774170274170274,0.1937229437229437,0.10606060606060606,1664.9170274170274,1315800,1711,mile,86.9,80.5
マジェスティックウォリアーMajestic Warrior(米),2659,609,0.22903347122978562,0.15156073711921775,0.07822489657766077,1603.44114328695,989450,1625,mile,81.5,86.1
キンシャサノキセキ,2656,611,0.23004518072289157,0.14984939759036145,0.06551204819277108,1435.0715361445782,867650,1420,mile,67.6,80.2
ホッコータルマエ,2596,611,0.23536209553158705,0.15639445300462249,0.07742681047765794,1644.2411402157165,1023700,1675,mile,85.5,86.9
パイロPyro(米),2558,654,0.25566849100860045,0.16692728694292416,0.08483189992181392,1536.7865519937452,1016800,1555,mile,81.9,87.1
オルフェーヴル,2105,452,0.21472684085510688,0.14584323040380048,0.07838479809976247,1645.083135391924,757650,1676,mile,88.2,77.9
ジャスタウェイ,1995,414,0.2075187969924812,0.14285714285714285,0.07268170426065163,1656.9423558897242,694300,1677,mile,84.6,82.4
ドゥラメンテ,1987,507,0.2551585304479114,0.1816809260191243,0.09662808253648716,1626.572722697534,845000,1667,mile,76.4,75.1
ダイワメジャー,1940,358,0.18453608247422681,0.13659793814432988,0.06804123711340206,1509.278350515464,538550,1504,mile,73.1,68.1
ハーツクライ,1909,462,0.24201152435830278,0.16605552645364066,0.08695652173913043,1703.2215819800942,789000,1708,mile,82.0,79.4
アジアエクスプレス,1902,424,0.22292323869610936,0.1519453207150368,0.0683491062039958,1452.129337539432,609450,1437,mile,94.1,89.7
リオンディーズ,1791,399,0.22278056951423786,0.14628699050809604,0.07258514796203239,1530.5974316024567,612400,1535,mile,67.1,75.2
エピファネイア,1603,298,0.18590143480973176,0.11353711790393013,0.053649407361197755,1625.6082345601997,494900,1661,mile,61.4,69.9
コパノリッキー,1589,289,0.18187539332913782,0.12712397734424166,0.06670862177470108,1506.387665198238,435150,1506,mile,86.1,72.0
キングカメハメハ,1576,423,0.2684010152284264,0.1947969543147208,0.10152284263959391,1717.766497461929,740050,1750,mile,81.8,82.1
マクフィMakfi(英),1575,306,0.19428571428571428,0.12444444444444444,0.06031746031746032,1515.5238095238096,460200,1504,mile,84.0,79.9
モーリス,1552,340,0.2190721649484536,0.15270618556701032,0.07925257731958762,1512.8221649484535,514800,1514,mile,77.3,72.3
ディスクリートキャットDiscreet Cat(米),1462,345,0.2359781121751026,0.1538987688098495,0.0759233926128591,1418.3652530779755,481300,1395,sprint,77.5,83.4
ゴールドアリュール,1419,288,0.2029598308668076,0.12050739957716702,0.06272022551092318,1549.013389711064,452150,1570,mile,73.4,75.8
サウスヴィグラス,1388,307,0.2211815561959654,0.14553314121037464,0.06988472622478387,1284.293948126801,385550,1256,sprint,78.8,81.5
ダンカークDunkirk(米),1352,233,0.17233727810650887,0.11316568047337278,0.05917159763313609,1602.8846153846155,382950,1644,mile,95.9,79.3
ミッキーアイル,1339,331,0.24719940253920836,0.1740104555638536,0.08439133681852129,1393.3905899925317,466850,1410,mile,71.9,80.4
カレンブラックヒル,1330,297,0.22330827067669173,0.14887218045112782,0.07368421052631578,1469.5112781954888,431650,1453,mile,77.4,81.2
エスポワールシチー,1322,302,0.22844175491679275,0.15052950075642965,0.0832072617246596,1464.409984871407,443700,1469,mile,94.9,85.2
アイルハヴアナザーI'll Have Another(米),1275,244,0.19137254901960785,0.12941176470588237,0.0611764705882353,1624.1176470588234,394200,1616,mile,91.8,82.0
ブラックタイド,1261,253,0.2006344171292625,0.1252973830293418,0.06582077716098335,1622.0063441712925,415100,1641,mile,91.0,84.1
ダノンレジェンド,1249,338,0.27061649319455566,0.18574859887910328,0.10728582866293035,1452.6421136909528,493000,1459,mile,96.3,88.0
マインドユアビスケッツMind Your Biscuits(米),1238,258,0.2084006462035541,0.1518578352180937,0.07431340872374798,1611.3489499192247,425650,1650,mile,66.9,68.6
スクリーンヒーロー,1202,294,0.24459234608985025,0.15141430948419302,0.0723793677204659,1551.5391014975041,458850,1561,mile,66.7,81.5
ストロングリターン,1153,190,0.1647875108412836,0.09887250650477017,0.04336513443191674,1473.4171725932351,272500,1434,mile,66.7,69.8
