sire,sprint,mile,intermediate,long,cluster,cluster_name
American Pharoah(米),0.31313131313131315,0.3211009174311927,0.2789473684210526,0.0,1,中距離 (1800〜2400m)
Arrogate(米),0.3333333333333333,0.3181818181818182,0.34210526315789475,0.3333333333333333,1,中距離 (1800〜2400m)
Bernardini(米),0.37037037037037035,0.15,0.23076923076923078,0.0,1,中距離 (1800〜2400m)
Carpe Diem,0.41379310344827586,0.39285714285714285,0.4166666666666667,0.0,5,中距離 (1800〜2400m)
City of Light(米),0.3157894736842105,0.09090909090909091,0.07692307692307693,0.0,0,短距離 (〜1400m)
Collected,0.375,0.2857142857142857,0.3181818181818182,0.0,1,中距離 (1800〜2400m)
Constitution(米),0.125,0.5,0.2857142857142857,0.0,5,中距離 (1800〜2400m)
Curlin(米),0.25,0.19607843137254902,0.3333333333333333,0.0,1,中距離 (1800〜2400m)
Distorted Humor(米),0.22727272727272727,0.27450980392156865,0.38461538461538464,0.0,1,中距離 (1800〜2400m)
Frankel,0.0,0.17391304347826086,0.2,0.0,2,マイル (1400〜1800m)
Frosted(米),0.5769230769230769,0.19230769230769232,0.18181818181818182,0.0,1,中距離 (1800〜2400m)
Ghostzapper,0.3333333333333333,0.2727272727272727,0.11764705882352941,1.0,3,長距離 (2400〜2800m)
Golden Horn(英),0.0,0.30434782608695654,0.23076923076923078,0.25,2,マイル (1400〜1800m)
Goldencents,0.19230769230769232,0.3333333333333333,0.25,0.0,1,中距離 (1800〜2400m)
Gun Runner(米),0.6071428571428571,0.375,0.45901639344262296,0.0,5,中距離 (1800〜2400m)
Hard Spun(米),0.23076923076923078,0.23728813559322035,0.045454545454545456,0.5,4,長距離 (2400〜2800m)
Into Mischief,0.4583333333333333,0.40789473684210525,0.3269230769230769,0.0,5,中距離 (1800〜2400m)
Justify(米),0.3333333333333333,0.2815533980582524,0.35,0.25,1,中距離 (1800〜2400m)
Khozan,0.25925925925925924,0.375,0.8333333333333334,0.0,5,中距離 (1800〜2400m)
Kitten's Joy(米),0.5454545454545454,0.05263157894736842,0.2857142857142857,0.5,3,長距離 (2400〜2800m)
Liam's Map,0.43478260869565216,0.25,0.2692307692307692,0.0,1,中距離 (1800〜2400m)
Maclean's Music,0.2857142857142857,0.5714285714285714,1.0,0.0,5,中距離 (1800〜2400m)
Malibu Moon,0.22580645161290322,0.35714285714285715,0.3333333333333333,0.0,1,中距離 (1800〜2400m)
Medaglia d'Oro,0.14285714285714285,0.17647058823529413,0.2631578947368421,0.0,2,マイル (1400〜1800m)
Mendelssohn,0.3125,0.4827586206896552,0.35714285714285715,0.0,5,中距離 (1800〜2400m)
More Than Ready,0.2857142857142857,0.07692307692307693,0.25,0.0,1,中距離 (1800〜2400m)
New Approach,0.21739130434782608,0.2222222222222222,0.0,0.0,0,短距離 (〜1400m)
Nyquist(米),0.6,0.5833333333333334,0.42424242424242425,0.0,5,中距離 (1800〜2400m)
Pioneerof the Nile,0.20833333333333334,0.1,0.47619047619047616,0.0,1,中距離 (1800〜2400m)
Practical Joke(米),0.18604651162790697,0.17391304347826086,0.391304347826087,0.0,1,中距離 (1800〜2400m)
