sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,アフリートAfleet(加),エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アイルハヴアナザーI'll Have Another(米),1636.3636363636363,,,,,1803.030303030303,,,1589.855072463768,,1810.0,1551.1627906976744,,1822.0,1620.0,1718.0722891566265,1426.3157894736842,1415.625,1100.0,1726.3157894736842,1598.4126984126983,1767.391304347826,1658.1081081081081,,,1728.5714285714287,1580.1075268817203,1547.0588235294117,1736.3095238095239,
アジアエクスプレス,1521.5686274509803,1704.4117647058824,1310.0,1396.6666666666667,1546.1538461538462,1521.6216216216217,1263.4615384615386,1300.0,1332.03125,,,1631.25,1420.0,1317.2131147540983,1481.25,1523.076923076923,1240.909090909091,1604.0,,1307.4324324324325,1590.625,1402.7272727272727,1411.0169491525423,1531.4814814814815,1400.0,1441.111111111111,1382.5,1372.7272727272727,1388.0,1459.375
エスポワールシチー,1366.6666666666667,1335.7142857142858,,1751.5151515151515,,1706.25,1517.857142857143,1419.047619047619,,1404.2372881355932,,,1292.0,,,,1900.0,1560.4166666666667,,,,,,,,1315.625,1484.0579710144928,,1709.090909090909,1636.842105263158
エピファネイア,1660.0,,,,1350.0,1582.0121951219512,,1532.8125,1828.5714285714287,,1475.5555555555557,,,1619.2307692307693,1846.875,,1655.7142857142858,,,1506.25,1630.0,1641.0,1666.6666666666667,1596.1538461538462,,1628.125,1724.1379310344828,1411.5384615384614,1641.1764705882354,1818.75
オルフェーヴル,1688.3333333333333,,1594.1176470588234,,,1553.1496062992126,,1751.77304964539,,1220.0,1382.8358208955224,,1743.3962264150944,,,,,1800.0,1477.5862068965516,1644.1176470588234,,1769.2307692307693,,,,,1649.3243243243244,1329.1666666666667,,
カレンブラックヒル,,,1503.448275862069,,1225.0,1460.0,,1487.5,,1420.8333333333333,1408.8235294117646,,1530.0,,,,,1360.6382978723404,,,1691.1764705882354,,,1842.857142857143,,,1633.3333333333333,1577.142857142857,1483.3333333333333,1653.8461538461538
キズナ,1736.6666666666667,1752.9411764705883,1518.421052631579,1664.5569620253164,1837.962962962963,1719.7916666666667,,1665.8854166666667,,1254.1666666666667,1637.037037037037,,1628.2608695652175,,,1466.6666666666667,,1735.483870967742,1535.4166666666667,,,,,,1812.5,,1844.5945945945946,1624.5283018867924,,1650.0
キングカメハメハ,1625.4310344827586,1609.090909090909,,,,,2042.857142857143,1788.5245901639344,,,1728.5714285714287,1746.524064171123,1691.6666666666667,1715.3846153846155,1730.0,1684.2105263157894,1762.5,,,,1752.439024390244,1762.1052631578948,1772.0,1841.8367346938776,,1664.6825396825398,1479.8387096774193,,1789.2857142857142,
キンシャサノキセキ,,1820.8333333333333,1246.875,1631.4655172413793,1441.6666666666667,1419.3430656934306,1514.3939393939395,1353.900709219858,,,1230.909090909091,,1397.9591836734694,1500.0,,,,1363.380281690141,1385.4166666666667,,,1610.0,1276.923076923077,,,,1328.0701754385964,1260.0,1633.3333333333333,1647.6923076923076
コパノリッキー,1100.0,1415.432098765432,1402.9411764705883,1762.5,1500.0,1436.2745098039215,,1605.4166666666667,,1330.909090909091,1079.1666666666667,,1720.0,1412.5,,,,1669.2307692307693,,,,,1453.125,1385.576923076923,1530.0,1466.6666666666667,1747.2222222222222,1678.9473684210527,1465.909090909091,1419.5652173913043
