sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,アフリートAfleet(加),エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アイルハヴアナザーI'll Have Another(米),113.23529411764706,,,,,73.0,,,24.761904761904763,,94.28571428571429,67.91666666666667,,98.0,55.714285714285715,49.411764705882355,220.0,0.0,0.0,47.333333333333336,81.66666666666667,60.3448275862069,92.0,,,106.875,85.33333333333333,82.3076923076923,44.41860465116279,
アジアエクスプレス,84.78260869565217,116.95652173913044,26.666666666666668,98.66666666666667,86.66666666666667,85.83333333333333,124.70588235294117,113.70370370370371,48.333333333333336,,,112.3529411764706,0.0,92.97297297297297,98.4,83.91304347826087,91.66666666666667,0.0,,67.67441860465117,84.78260869565217,91.63934426229508,104.84848484848484,96.34146341463415,0.0,58.26086956521739,45.0,32.5,53.07692307692308,176.66666666666666
エスポワールシチー,86.66666666666667,17.272727272727273,,89.03225806451613,,78.57142857142857,40.0,71.76470588235294,,126.66666666666667,,,161.42857142857142,,,,97.5,135.33333333333334,,,,,,,,53.333333333333336,90.0,,118.0,199.28571428571428
エピファネイア,65.3731343283582,,,,61.111111111111114,54.04494382022472,,62.35294117647059,0.0,,102.66666666666667,,,58.8235294117647,114.0909090909091,,33.07692307692308,,,62.0,48.666666666666664,47.901234567901234,100.57142857142857,0.0,,61.42857142857143,100.9375,115.71428571428571,0.0,214.0
オルフェーヴル,82.0,,42.0,,,99.54545454545455,,51.36986301369863,,73.33333333333333,32.4,,57.30769230769231,,,,,97.5,48.8,86.84210526315789,,92.5,,,,,106.58227848101266,77.5,,
カレンブラックヒル,,,0.0,,50.0,107.5,,270.0,,0.0,81.17647058823529,,95.25,,,,,44.61538461538461,,,111.76470588235294,,,89.16666666666667,,,113.0,59.0,71.42857142857143,151.25
キズナ,115.78947368421052,116.875,69.52380952380952,111.16279069767442,113.23076923076923,74.36363636363636,,85.87719298245614,,107.89473684210526,59.0,,95.55555555555556,,,18.571428571428573,,65.0,122.3529411764706,,,,,,40.0,,92.24489795918367,60.810810810810814,,89.16666666666667
キングカメハメハ,94.15384615384616,38.125,,,,,98.33333333333333,80.1923076923077,,,77.22222222222223,86.34782608695652,96.66666666666667,44.285714285714285,56.0,105.41666666666667,67.5,,,,57.8125,56.0,110.55555555555556,89.24050632911393,,100.65934065934066,86.36363636363636,,68.33333333333333,
キンシャサノキセキ,,103.52941176470588,171.33333333333334,52.075471698113205,76.66666666666667,98.5,47.333333333333336,94.75,,,89.26829268292683,,96.54545454545455,104.28571428571429,,,,102.18181818181819,8.695652173913043,,,0.0,39.0,,,,79.86111111111111,85.55555555555556,177.14285714285714,88.75
コパノリッキー,118.33333333333333,81.77777777777777,62.22222222222222,58.0,52.5,95.48387096774194,,81.86440677966101,,43.5,37.142857142857146,,27.692307692307693,0.0,,,,118.33333333333333,,,,,0.0,69.52380952380952,42.857142857142854,72.85714285714286,56.92307692307692,46.666666666666664,61.37931034482759,0.0
ゴールドアリュール,,0.0,,170.0,,84.44444444444444,,83.86363636363636,,92.5,90.0,,31.764705882352942,101.2,,,,,55.0,,,,,,,,,77.6923076923077,,76.66666666666667
