sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,アフリートAfleet(加),エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アイルハヴアナザーI'll Have Another(米),110.0,,,,,33.0,,,69.0,,10.0,86.0,,50.0,15.0,83.0,19.0,16.0,12.0,38.0,63.0,46.0,37.0,,,77.0,93.0,17.0,84.0,
アジアエクスプレス,51.0,34.0,25.0,15.0,13.0,74.0,26.0,53.0,64.0,,,40.0,15.0,61.0,40.0,52.0,33.0,25.0,,74.0,48.0,110.0,118.0,81.0,20.0,45.0,20.0,22.0,25.0,32.0
エスポワールシチー,15.0,21.0,,33.0,,16.0,28.0,42.0,,59.0,,,25.0,,,,12.0,48.0,,,,,,,,16.0,69.0,,11.0,19.0
エピファネイア,110.0,,,,24.0,164.0,,64.0,14.0,,45.0,,,26.0,32.0,,35.0,,,56.0,30.0,150.0,48.0,39.0,,64.0,58.0,13.0,17.0,16.0
オルフェーヴル,30.0,,17.0,,,127.0,,141.0,,10.0,67.0,,53.0,,,,,25.0,29.0,34.0,,13.0,,,,,148.0,24.0,,
カレンブラックヒル,,,29.0,,12.0,100.0,,12.0,,12.0,34.0,,70.0,,,,,47.0,,,34.0,,,14.0,,,45.0,70.0,18.0,26.0
キズナ,30.0,17.0,38.0,79.0,108.0,192.0,,192.0,,24.0,27.0,,46.0,,,12.0,,31.0,48.0,,,,,,24.0,,74.0,53.0,,27.0
キングカメハメハ,116.0,22.0,,,,,14.0,61.0,,,21.0,187.0,12.0,13.0,10.0,38.0,16.0,,,,41.0,95.0,50.0,98.0,,126.0,62.0,,28.0,
キンシャサノキセキ,,24.0,32.0,116.0,12.0,137.0,66.0,141.0,,,55.0,,98.0,13.0,,,,71.0,48.0,,,10.0,13.0,,,,114.0,15.0,12.0,65.0
コパノリッキー,16.0,81.0,34.0,60.0,23.0,51.0,,120.0,,55.0,12.0,,35.0,40.0,,,,13.0,,,,,16.0,52.0,10.0,12.0,36.0,38.0,44.0,23.0
