sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,アフリートAfleet(加),エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アイルハヴアナザーI'll Have Another(米),0.14545454545454545,,,,,0.06060606060606061,,,0.043478260869565216,,0.3,0.16279069767441862,,0.2,0.0,0.04819277108433735,0.05263157894736842,0.0,0.08333333333333333,0.05263157894736842,0.07936507936507936,0.21739130434782608,0.13513513513513514,,,0.22077922077922077,0.22580645161290322,0.29411764705882354,0.10714285714285714,
アジアエクスプレス,0.17647058823529413,0.3235294117647059,0.04,0.5333333333333333,0.07692307692307693,0.08108108108108109,0.34615384615384615,0.2830188679245283,0.0625,,,0.2,0.0,0.18032786885245902,0.275,0.23076923076923078,0.09090909090909091,0.08,,0.12162162162162163,0.10416666666666667,0.18181818181818182,0.19491525423728814,0.14814814814814814,0.0,0.15555555555555556,0.1,0.13636363636363635,0.12,0.125
エスポワールシチー,0.13333333333333333,0.047619047619047616,,0.3333333333333333,,0.1875,0.14285714285714285,0.09523809523809523,,0.1694915254237288,,,0.2,,,,0.25,0.14583333333333334,,,,,,,,0.125,0.13043478260869565,,0.36363636363636365,0.2631578947368421
エピファネイア,0.15454545454545454,,,,0.16666666666666666,0.12195121951219512,,0.125,0.0,,0.1111111111111111,,,0.19230769230769232,0.28125,,0.05714285714285714,,,0.08928571428571429,0.1,0.12,0.22916666666666666,0.0,,0.078125,0.1896551724137931,0.15384615384615385,0.0,0.0625
オルフェーヴル,0.13333333333333333,,0.058823529411764705,,,0.1732283464566929,,0.1276595744680851,,0.2,0.07462686567164178,,0.11320754716981132,,,,,0.32,0.1724137931034483,0.20588235294117646,,0.07692307692307693,,,,,0.18243243243243243,0.125,,
カレンブラックヒル,,,0.034482758620689655,,0.16666666666666666,0.08,,0.08333333333333333,,0.08333333333333333,0.11764705882352941,,0.17142857142857143,,,,,0.10638297872340426,,,0.3235294117647059,,,0.2857142857142857,,,0.17777777777777778,0.12857142857142856,0.16666666666666666,0.19230769230769232
キズナ,0.16666666666666666,0.4117647058823529,0.10526315789473684,0.20253164556962025,0.25,0.234375,,0.18229166666666666,,0.3333333333333333,0.07407407407407407,,0.2608695652173913,,,0.08333333333333333,,0.12903225806451613,0.10416666666666667,,,,,,0.08333333333333333,,0.20270270270270271,0.09433962264150944,,0.1111111111111111
キングカメハメハ,0.09482758620689655,0.09090909090909091,,,,,0.2857142857142857,0.21311475409836064,,,0.2857142857142857,0.1657754010695187,0.25,0.3076923076923077,0.2,0.23684210526315788,0.0625,,,,0.17073170731707318,0.14736842105263157,0.26,0.23469387755102042,,0.2619047619047619,0.24193548387096775,,0.32142857142857145,
キンシャサノキセキ,,0.4583333333333333,0.09375,0.07758620689655173,0.16666666666666666,0.18248175182481752,0.045454545454545456,0.16312056737588654,,,0.3090909090909091,,0.24489795918367346,0.3076923076923077,,,,0.2676056338028169,0.020833333333333332,,,0.0,0.15384615384615385,,,,0.21929824561403508,0.13333333333333333,0.25,0.13846153846153847
コパノリッキー,0.3125,0.19753086419753085,0.14705882352941177,0.06666666666666667,0.17391304347826086,0.29411764705882354,,0.125,,0.05454545454545454,0.08333333333333333,,0.08571428571428572,0.0,,,,0.15384615384615385,,,,,0.0,0.11538461538461539,0.0,0.25,0.08333333333333333,0.07894736842105263,0.18181818181818182,0.0
ゴールドアリュール,,0.06666666666666667,,0.0,,0.16666666666666666,,0.24561403508771928,,0.038461538461538464,0.08771929824561403,,0.1,0.1282051282051282,,,,,0.22727272727272727,,,,,,,,,0.24324324324324326,,0.125
サウスヴィグラス,0.1328125,0.0,,0.06666666666666667,,0.15789473684210525,,0.1,0.35,,0.23809523809523808,0.047619047619047616,0.17647058823529413,,0.17647058823529413,0.10526315789473684,0.24242424242424243,0.17142857142857143,0.18181818181818182,0.22727272727272727,0.1346153846153846,,0.05263157894736842,,,0.2,,,0.06382978723404255,0.2558139534883721
シニスターミニスターSinister Minister(米),0.17567567567567569,0.2777777777777778,0.34782608695652173,0.3023255813953488,0.08,0.24398625429553264,0.2222222222222222,0.1504424778761062,0.18072289156626506,0.22950819672131148,0.029411764705882353,0.16,0.13333333333333333,,,0.40476190476190477,0.12,0.1875,0.0,0.1518987341772152,0.11864406779661017,0.1839080459770115,0.17647058823529413,0.2909090909090909,0.22727272727272727,0.18666666666666668,0.1951219512195122,0.23404255319148937,0.23333333333333334,0.21875
ジャスタウェイ,0.06666666666666667,0.0,0.06666666666666667,0.08333333333333333,,0.13580246913580246,0.0,0.14035087719298245,,,0.3333333333333333,,0.10112359550561797,,,,,0.125,0.2,,0.12,0.16666666666666666,0.0,,0.0625,,0.17857142857142858,0.21739130434782608,0.09090909090909091,
ダイワメジャー,,,,,,0.13513513513513514,0.05,0.09375,,,,,0.18072289156626506,,,,,0.25,,,,,,,,,0.24444444444444444,0.16,,0.2037037037037037
ダンカークDunkirk(米),0.024390243902439025,,,,,0.15178571428571427,0.125,0.18032786885245902,0.08571428571428572,0.07407407407407407,0.2,0.0,0.06666666666666667,0.058823529411764705,0.0,0.0,0.08974358974358974,0.17647058823529413,,0.22857142857142856,0.05660377358490566,0.18181818181818182,0.08888888888888889,0.17777777777777778,0.29411764705882354,0.10416666666666667,0.16326530612244897,0.05555555555555555,0.18181818181818182,
ディスクリートキャットDiscreet Cat(米),,0.10526315789473684,0.1,,0.038461538461538464,,,0.0,0.18072289156626506,0.21782178217821782,,,0.2,0.2727272727272727,,0.14285714285714285,0.08,0.10526315789473684,0.0,0.16129032258064516,0.041666666666666664,0.0,0.0,0.09523809523809523,,0.11627906976744186,0.047619047619047616,,0.14285714285714285,0.22727272727272727
ドゥラメンテ,0.15384615384615385,,,0.3333333333333333,,,0.09375,0.2111111111111111,0.09090909090909091,,0.15384615384615385,,0.1896551724137931,,,0.2692307692307692,0.0,0.2727272727272727,0.0,0.041666666666666664,0.0,0.1935483870967742,0.20833333333333334,0.0625,0.17647058823529413,0.23529411764705882,0.25,0.0,0.3,
ドレフォンDrefong(米),0.09302325581395349,,0.16129032258064516,0.4,0.35714285714285715,0.2125,0.3333333333333333,0.14864864864864866,0.24786324786324787,0.38095238095238093,0.04,0.13636363636363635,0.16853932584269662,0.3684210526315789,0.0,0.16666666666666666,0.1678832116788321,,,0.16260162601626016,0.1411764705882353,0.18021201413427562,0.14736842105263157,0.16535433070866143,0.0,0.2,0.1935483870967742,0.28125,0.2830188679245283,
ハーツクライ,,,,,,0.1111111111111111,,0.20454545454545456,,,0.22058823529411764,,0.3333333333333333,,,,,0.16666666666666666,,,,,,,,,0.2727272727272727,0.06976744186046512,,
パイロPyro(米),0.12903225806451613,,0.06896551724137931,0.09230769230769231,0.20689655172413793,0.21935483870967742,,0.10344827586206896,0.17857142857142858,0.08695652173913043,,0.1,0.18055555555555555,0.16666666666666666,,0.1694915254237288,0.08333333333333333,0.2777777777777778,,0.12727272727272726,0.14942528735632185,,0.16923076923076924,0.05555555555555555,0.22727272727272727,0.2,0.13432835820895522,0.21311475409836064,0.2692307692307692,0.6363636363636364
ヘニーヒューズHenny Hughes(米),0.1934156378600823,0.07692307692307693,0.14893617021276595,0.2631578947368421,0.1717171717171717,0.24413145539906103,0.23711340206185566,0.175,0.225,0.17391304347826086,0.22448979591836735,0.112,0.2545454545454545,0.2558139534883721,0.14705882352941177,0.24183006535947713,0.13740458015267176,0.15217391304347827,0.21052631578947367,0.17647058823529413,0.15602836879432624,0.24324324324324326,0.17164179104477612,0.14150943396226415,0.38461538461538464,0.21568627450980393,0.23076923076923078,0.21875,0.22764227642276422,0.2222222222222222
ホッコータルマエ,0.19480519480519481,0.1320754716981132,0.10344827586206896,0.2,0.30434782608695654,,0.22727272727272727,0.14583333333333334,0.1297709923664122,,0.19230769230769232,0.15151515151515152,0.21951219512195122,0.2,0.13953488372093023,0.09803921568627451,0.11320754716981132,0.0,0.2,0.23684210526315788,0.17346938775510204,0.08695652173913043,0.1322314049586777,0.09,0.2,0.05084745762711865,0.13793103448275862,0.1951219512195122,0.16853932584269662,0.17073170731707318
マクフィMakfi(英),0.10714285714285714,,0.0625,,0.32,0.2033898305084746,,0.09090909090909091,0.0,0.07692307692307693,0.09523809523809523,0.21568627450980393,0.16279069767441862,,0.06666666666666667,0.16216216216216217,0.07462686567164178,,,0.07407407407407407,0.11764705882352941,0.05555555555555555,0.11904761904761904,0.19298245614035087,,0.2,0.17142857142857143,,0.041666666666666664,
マジェスティックウォリアーMajestic Warrior(米),0.22602739726027396,,0.22,0.0,0.24324324324324326,0.1864406779661017,0.0,0.0,0.1853932584269663,0.11428571428571428,0.3157894736842105,0.0,0.13402061855670103,0.05263157894736842,0.12903225806451613,0.1118421052631579,0.14925373134328357,0.0,,0.11764705882352941,0.12727272727272726,0.1590909090909091,0.19402985074626866,0.1643835616438356,0.0,0.2484076433121019,0.14285714285714285,0.13846153846153847,0.2191780821917808,0.12698412698412698
ミッキーアイル,,,0.0,,0.3055555555555556,0.13157894736842105,,0.23577235772357724,,0.0967741935483871,,,0.265625,0.0,,,0.08333333333333333,0.0,0.09090909090909091,,,,,,0.13333333333333333,0.18181818181818182,0.23529411764705882,0.23333333333333334,0.18181818181818182,
モーリス,0.14285714285714285,,0.0,0.08333333333333333,0.15384615384615385,0.07407407407407407,,0.1111111111111111,,0.4,0.14634146341463414,0.10714285714285714,0.07692307692307693,0.07692307692307693,0.06060606060606061,0.07142857142857142,0.19642857142857142,0.375,0.06666666666666667,0.16666666666666666,0.21176470588235294,0.0603448275862069,0.3614457831325301,,0.16666666666666666,0.2261904761904762,0.11627906976744186,0.0,0.17647058823529413,
リオンディーズ,0.17567567567567569,0.0,0.0,,0.375,,,0.1830065359477124,0.2,,0.1111111111111111,0.0,0.1513157894736842,0.15384615384615385,,,0.034482758620689655,,0.16666666666666666,0.10526315789473684,0.034482758620689655,0.1282051282051282,0.125,0.23255813953488372,0.0,0.11842105263157894,0.23333333333333334,0.36,0.15517241379310345,
ルーラーシップ,0.138996138996139,0.0,0.06451612903225806,0.05263157894736842,0.1791044776119403,,,0.125,0.18309859154929578,,0.15217391304347827,0.1452991452991453,0.1,0.14814814814814814,0.17073170731707318,0.12154696132596685,0.09195402298850575,0.0,0.16071428571428573,0.13533834586466165,0.07446808510638298,0.08438818565400844,0.06,0.06521739130434782,0.08333333333333333,0.1746987951807229,0.09090909090909091,0.1276595744680851,0.09411764705882353,
ロードカナロア,0.09829059829059829,0.17647058823529413,0.3076923076923077,,0.10810810810810811,,0.18181818181818182,0.14864864864864866,0.11764705882352941,,0.25806451612903225,0.14622641509433962,0.17045454545454544,0.23529411764705882,0.03571428571428571,0.1583710407239819,0.14545454545454545,0.2,,0.21495327102803738,0.10784313725490197,0.07692307692307693,0.16037735849056603,0.19148936170212766,,0.15920398009950248,0.21904761904761905,0.23636363636363636,0.2318840579710145,
