sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,アフリートAfleet(加),エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アイルハヴアナザーI'll Have Another(米),0.05454545454545454,,,,,0.0,,,0.014492753623188406,,0.2,0.08139534883720931,,0.06,0.0,0.012048192771084338,0.0,0.0,0.0,0.02631578947368421,0.06349206349206349,0.08695652173913043,0.05405405405405406,,,0.09090909090909091,0.11827956989247312,0.23529411764705882,0.07142857142857142,
アジアエクスプレス,0.09803921568627451,0.11764705882352941,0.04,0.2,0.07692307692307693,0.02702702702702703,0.2692307692307692,0.11320754716981132,0.03125,,,0.125,0.0,0.08196721311475409,0.05,0.09615384615384616,0.06060606060606061,0.04,,0.04054054054054054,0.020833333333333332,0.08181818181818182,0.06779661016949153,0.07407407407407407,0.0,0.044444444444444446,0.05,0.045454545454545456,0.0,0.125
エスポワールシチー,0.06666666666666667,0.047619047619047616,,0.06060606060606061,,0.0625,0.07142857142857142,0.047619047619047616,,0.1016949152542373,,,0.08,,,,0.25,0.10416666666666667,,,,,,,,0.0625,0.08695652173913043,,0.2727272727272727,0.21052631578947367
エピファネイア,0.07272727272727272,,,,0.041666666666666664,0.06707317073170732,,0.09375,0.0,,0.022222222222222223,,,0.11538461538461539,0.15625,,0.0,,,0.05357142857142857,0.0,0.02666666666666667,0.08333333333333333,0.0,,0.046875,0.08620689655172414,0.07692307692307693,0.0,0.0625
オルフェーヴル,0.1,,0.0,,,0.10236220472440945,,0.05673758865248227,,0.2,0.05970149253731343,,0.018867924528301886,,,,,0.08,0.10344827586206896,0.14705882352941177,,0.0,,,,,0.10810810810810811,0.041666666666666664,,
カレンブラックヒル,,,0.0,,0.08333333333333333,0.07,,0.08333333333333333,,0.08333333333333333,0.08823529411764706,,0.08571428571428572,,,,,0.02127659574468085,,,0.08823529411764706,,,0.21428571428571427,,,0.044444444444444446,0.05714285714285714,0.1111111111111111,0.07692307692307693
キズナ,0.1,0.23529411764705882,0.02631578947368421,0.11392405063291139,0.1111111111111111,0.14583333333333334,,0.09895833333333333,,0.20833333333333334,0.0,,0.13043478260869565,,,0.08333333333333333,,0.0967741935483871,0.041666666666666664,,,,,,0.08333333333333333,,0.12162162162162163,0.05660377358490566,,0.037037037037037035
キングカメハメハ,0.0603448275862069,0.045454545454545456,,,,,0.2857142857142857,0.11475409836065574,,,0.09523809523809523,0.0748663101604278,0.16666666666666666,0.07692307692307693,0.2,0.15789473684210525,0.0,,,,0.0975609756097561,0.06315789473684211,0.12,0.12244897959183673,,0.1349206349206349,0.11290322580645161,,0.2857142857142857,
キンシャサノキセキ,,0.08333333333333333,0.0625,0.05172413793103448,0.0,0.072992700729927,0.0,0.0851063829787234,,,0.05454545454545454,,0.12244897959183673,0.23076923076923078,,,,0.09859154929577464,0.020833333333333332,,,0.0,0.07692307692307693,,,,0.10526315789473684,0.06666666666666667,0.16666666666666666,0.07692307692307693
コパノリッキー,0.1875,0.1111111111111111,0.029411764705882353,0.05,0.043478260869565216,0.21568627450980393,,0.06666666666666667,,0.03636363636363636,0.0,,0.02857142857142857,0.0,,,,0.0,,,,,0.0,0.09615384615384616,0.0,0.08333333333333333,0.027777777777777776,0.05263157894736842,0.06818181818181818,0.0
ゴールドアリュール,,0.06666666666666667,,0.0,,0.10416666666666667,,0.14035087719298245,,0.038461538461538464,0.03508771929824561,,0.0,0.05128205128205128,,,,,0.09090909090909091,,,,,,,,,0.08108108108108109,,0.125
サウスヴィグラス,0.0859375,0.0,,0.03333333333333333,,0.07894736842105263,,0.1,0.15,,0.19047619047619047,0.047619047619047616,0.058823529411764705,,0.058823529411764705,0.07017543859649122,0.09090909090909091,0.05714285714285714,0.09090909090909091,0.06818181818181818,0.07692307692307693,,0.05263157894736842,,,0.2,,,0.031914893617021274,0.06976744186046512
シニスターミニスターSinister Minister(米),0.06756756756756757,0.1111111111111111,0.13043478260869565,0.13953488372093023,0.08,0.140893470790378,0.16666666666666666,0.09734513274336283,0.0783132530120482,0.18032786885245902,0.029411764705882353,0.14,0.05714285714285714,,,0.14285714285714285,0.05333333333333334,0.0625,0.0,0.11392405063291139,0.05084745762711865,0.09195402298850575,0.08823529411764706,0.18181818181818182,0.09090909090909091,0.13333333333333333,0.12195121951219512,0.09574468085106383,0.15833333333333333,0.125
ジャスタウェイ,0.06666666666666667,0.0,0.06666666666666667,0.027777777777777776,,0.09876543209876543,0.0,0.08771929824561403,,,0.1111111111111111,,0.0898876404494382,,,,,0.09375,0.0,,0.08,0.08333333333333333,0.0,,0.0,,0.07142857142857142,0.0,0.0,
ダイワメジャー,,,,,,0.06756756756756757,0.0,0.0625,,,,,0.0963855421686747,,,,,0.1875,,,,,,,,,0.17777777777777778,0.08,,0.1111111111111111
ダンカークDunkirk(米),0.0,,,,,0.0625,0.125,0.11475409836065574,0.02857142857142857,0.07407407407407407,0.08,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.11764705882352941,,0.11428571428571428,0.018867924528301886,0.09090909090909091,0.044444444444444446,0.044444444444444446,0.058823529411764705,0.10416666666666667,0.08163265306122448,0.05555555555555555,0.09090909090909091,
ディスクリートキャットDiscreet Cat(米),,0.10526315789473684,0.05,,0.038461538461538464,,,0.0,0.1566265060240964,0.13861386138613863,,,0.1,0.18181818181818182,,0.07142857142857142,0.08,0.05263157894736842,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,,0.09302325581395349,0.047619047619047616,,0.047619047619047616,0.13636363636363635
ドゥラメンテ,0.0,,,0.08333333333333333,,,0.0625,0.06666666666666667,0.09090909090909091,,0.07692307692307693,,0.15517241379310345,,,0.15384615384615385,0.0,0.09090909090909091,0.0,0.0,0.0,0.1935483870967742,0.041666666666666664,0.0625,0.11764705882352941,0.14705882352941177,0.1590909090909091,0.0,0.1,
ドレフォンDrefong(米),0.05813953488372093,,0.06451612903225806,0.35,0.21428571428571427,0.13333333333333333,0.25,0.10810810810810811,0.1282051282051282,0.16666666666666666,0.04,0.10227272727272728,0.10112359550561797,0.21052631578947367,0.0,0.10256410256410256,0.0948905109489051,,,0.09349593495934959,0.058823529411764705,0.07773851590106007,0.08421052631578947,0.10236220472440945,0.0,0.1125,0.0967741935483871,0.1875,0.1509433962264151,
ハーツクライ,,,,,,0.07407407407407407,,0.045454545454545456,,,0.10294117647058823,,0.19047619047619047,,,,,0.16666666666666666,,,,,,,,,0.11363636363636363,0.03488372093023256,,
パイロPyro(米),0.0967741935483871,,0.034482758620689655,0.06153846153846154,0.06896551724137931,0.10967741935483871,,0.06896551724137931,0.08571428571428572,0.043478260869565216,,0.03333333333333333,0.08333333333333333,0.1111111111111111,,0.06779661016949153,0.0,0.1111111111111111,,0.05454545454545454,0.08045977011494253,,0.09230769230769231,0.0,0.045454545454545456,0.06666666666666667,0.07462686567164178,0.06557377049180328,0.14423076923076922,0.45454545454545453
ヘニーヒューズHenny Hughes(米),0.06995884773662552,0.0,0.06382978723404255,0.15789473684210525,0.06060606060606061,0.15023474178403756,0.08247422680412371,0.1125,0.125,0.043478260869565216,0.10204081632653061,0.056,0.10909090909090909,0.11627906976744186,0.08823529411764706,0.09803921568627451,0.07633587786259542,0.08695652173913043,0.10526315789473684,0.10695187165775401,0.07801418439716312,0.10810810810810811,0.07462686567164178,0.0660377358490566,0.19230769230769232,0.10588235294117647,0.1346153846153846,0.09375,0.13008130081300814,0.14814814814814814
ホッコータルマエ,0.06493506493506493,0.05660377358490566,0.06896551724137931,0.05,0.14130434782608695,,0.09090909090909091,0.041666666666666664,0.08396946564885496,,0.07692307692307693,0.06060606060606061,0.0975609756097561,0.1,0.023255813953488372,0.058823529411764705,0.03773584905660377,0.0,0.1,0.15789473684210525,0.10204081632653061,0.03260869565217391,0.08264462809917356,0.06,0.1,0.01694915254237288,0.06896551724137931,0.17073170731707318,0.10112359550561797,0.07317073170731707
マクフィMakfi(英),0.05952380952380952,,0.0,,0.18,0.06779661016949153,,0.09090909090909091,0.0,0.07692307692307693,0.047619047619047616,0.09803921568627451,0.11627906976744186,,0.06666666666666667,0.05405405405405406,0.04477611940298507,,,0.07407407407407407,0.047058823529411764,0.011111111111111112,0.047619047619047616,0.07017543859649122,,0.08,0.05714285714285714,,0.041666666666666664,
マジェスティックウォリアーMajestic Warrior(米),0.08904109589041095,,0.1,0.0,0.13513513513513514,0.0847457627118644,0.0,0.0,0.11797752808988764,0.11428571428571428,0.15789473684210525,0.0,0.041237113402061855,0.05263157894736842,0.06451612903225806,0.07894736842105263,0.08955223880597014,0.0,,0.058823529411764705,0.09090909090909091,0.09090909090909091,0.13432835820895522,0.0684931506849315,0.0,0.1464968152866242,0.047619047619047616,0.07692307692307693,0.1232876712328767,0.047619047619047616
ミッキーアイル,,,0.0,,0.19444444444444445,0.039473684210526314,,0.12195121951219512,,0.06451612903225806,,,0.140625,0.0,,,0.0,0.0,0.09090909090909091,,,,,,0.1,0.0,0.11764705882352941,0.1,0.045454545454545456,
モーリス,0.061224489795918366,,0.0,0.08333333333333333,0.07692307692307693,0.04938271604938271,,0.05555555555555555,,0.2,0.0975609756097561,0.03571428571428571,0.07692307692307693,0.0,0.06060606060606061,0.0,0.07142857142857142,0.3333333333333333,0.06666666666666667,0.0625,0.09411764705882353,0.034482758620689655,0.14457831325301204,,0.08333333333333333,0.05952380952380952,0.05813953488372093,0.0,0.14705882352941177,
リオンディーズ,0.06756756756756757,0.0,0.0,,0.1875,,,0.0784313725490196,0.12,,0.027777777777777776,0.0,0.07894736842105263,0.038461538461538464,,,0.034482758620689655,,0.05555555555555555,0.10526315789473684,0.0,0.08974358974358974,0.08333333333333333,0.09302325581395349,0.0,0.05263157894736842,0.06666666666666667,0.24,0.08620689655172414,
ルーラーシップ,0.07335907335907337,0.0,0.03225806451612903,0.0,0.08955223880597014,,,0.08333333333333333,0.08450704225352113,,0.06521739130434782,0.07692307692307693,0.07333333333333333,0.07407407407407407,0.04878048780487805,0.049723756906077346,0.06896551724137931,0.0,0.03571428571428571,0.03759398496240601,0.0425531914893617,0.03375527426160337,0.02,0.021739130434782608,0.08333333333333333,0.08433734939759036,0.06060606060606061,0.10638297872340426,0.047058823529411764,
ロードカナロア,0.042735042735042736,0.11764705882352941,0.19230769230769232,,0.08108108108108109,,0.09090909090909091,0.08108108108108109,0.058823529411764705,,0.15053763440860216,0.08490566037735849,0.13636363636363635,0.17647058823529413,0.03571428571428571,0.09049773755656108,0.07272727272727272,0.13333333333333333,,0.102803738317757,0.058823529411764705,0.045454545454545456,0.0660377358490566,0.0851063829787234,,0.07462686567164178,0.10476190476190476,0.10909090909090909,0.14492753623188406,
