sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,アフリートAfleet(加),エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アイルハヴアナザーI'll Have Another(米),67.5,,,,,0.0,,,24.285714285714285,,101.42857142857143,70.20833333333333,,48.666666666666664,0.0,8.823529411764707,0.0,0.0,0.0,38.666666666666664,217.91666666666666,22.06896551724138,198.66666666666666,,,131.66666666666666,95.5,293.84615384615387,86.51162790697674,
アジアエクスプレス,134.7826086956522,147.3913043478261,91.66666666666667,56.666666666666664,263.3333333333333,38.75,167.05882352941177,56.666666666666664,42.5,,,240.0,0.0,96.48648648648648,24.8,96.52173913043478,216.66666666666666,0.0,,49.53488372093023,28.26086956521739,76.22950819672131,86.66666666666667,83.90243902439025,0.0,28.695652173913043,0.0,127.5,0.0,561.6666666666666
エスポワールシチー,66.66666666666667,39.09090909090909,,13.548387096774194,,272.85714285714283,46.15384615384615,7.647058823529412,,97.91666666666667,,,105.71428571428571,,,,357.5,181.33333333333334,,,,,,,,170.0,144.0625,,217.0,335.0
エピファネイア,38.35820895522388,,,,21.11111111111111,44.60674157303371,,139.11764705882354,0.0,,10.666666666666666,,,52.94117647058823,112.72727272727273,,0.0,,,76.8,0.0,9.135802469135802,137.42857142857142,0.0,,26.071428571428573,191.875,111.42857142857143,0.0,328.0
オルフェーヴル,251.33333333333334,,0.0,,,138.03030303030303,,44.93150684931507,,586.6666666666666,106.4,,0.0,,,,,36.875,55.2,168.94736842105263,,0.0,,,,,146.0759493670886,25.0,,
カレンブラックヒル,,,0.0,,24.0,98.25,,795.0,,0.0,59.411764705882355,,85.25,,,,,6.923076923076923,,,32.94117647058823,,,120.83333333333333,,,213.5,33.666666666666664,137.14285714285714,195.0
キズナ,64.21052631578948,133.75,17.142857142857142,130.2325581395349,65.6923076923077,97.27272727272727,,105.70175438596492,,97.36842105263158,0.0,,147.77777777777777,,,77.14285714285714,,182.22222222222223,289.4117647058824,,,,,,60.625,,120.61224489795919,24.054054054054053,,55.0
キングカメハメハ,130.6153846153846,45.625,,,,,128.33333333333334,71.92307692307692,,,43.888888888888886,72.8695652173913,40.0,84.28571428571429,136.0,195.41666666666666,0.0,,,,31.25,61.4,100.27777777777777,73.54430379746836,,113.07692307692308,69.0909090909091,,114.44444444444444,
キンシャサノキセキ,,24.705882352941178,111.33333333333333,53.39622641509434,0.0,63.0,0.0,118.25,,,39.02439024390244,,112.54545454545455,155.71428571428572,,,,130.0,30.434782608695652,,,0.0,26.0,,,,81.66666666666667,42.22222222222222,112.85714285714286,125.9375
コパノリッキー,312.5,82.66666666666667,7.777777777777778,89.2,138.75,159.3548387096774,,99.49152542372882,,44.5,0.0,,30.76923076923077,0.0,,,,0.0,,,,,0.0,60.476190476190474,0.0,91.42857142857143,0.0,50.833333333333336,22.75862068965517,0.0
ゴールドアリュール,,0.0,,0.0,,75.55555555555556,,80.45454545454545,,242.5,62.592592592592595,,0.0,40.0,,,,,72.14285714285714,,,,,,,,,27.307692307692307,,293.3333333333333
サウスヴィグラス,84.64285714285714,0.0,,59.333333333333336,,40.38461538461539,,76.25,162.66666666666666,,51.875,242.85714285714286,15.0,,115.0,311.8181818181818,70.66666666666667,27.5,22.0,13.333333333333334,160.95238095238096,,662.5,,,178.46153846153845,,,97.63157894736842,28.529411764705884
シニスターミニスターSinister Minister(米),77.63157894736842,30.0,138.125,66.15384615384616,207.14285714285714,134.5142857142857,97.85714285714286,143.91304347826087,96.47058823529412,252.22222222222223,95.71428571428571,201.93548387096774,41.92982456140351,,,133.84615384615384,76.95652173913044,438.3333333333333,0.0,169.7058823529412,97.2,61.37931034482759,53.333333333333336,171.85185185185185,35.625,292.85714285714283,153.1818181818182,91.96428571428571,104.32432432432432,136.875
ジャスタウェイ,331.6666666666667,0.0,378.57142857142856,145.0,,224.0,0.0,136.07142857142858,,,58.5,,216.45833333333334,,,,,90.0,0.0,,194.0,230.0,0.0,,0.0,,40.666666666666664,0.0,0.0,
ダイワメジャー,,,,,,21.764705882352942,0.0,68.64864864864865,,,,,150.0,,,,,283.75,,,,,,,,,205.78947368421052,20.714285714285715,,178.52941176470588
ダンカークDunkirk(米),0.0,,,,,95.71428571428571,318.3333333333333,111.0,101.66666666666667,50.833333333333336,173.33333333333334,0.0,0.0,0.0,0.0,0.0,57.03703703703704,355.3333333333333,,132.38095238095238,143.33333333333334,182.5,53.333333333333336,128.42105263157896,17.333333333333332,77.6,79.42857142857143,71.66666666666667,82.6086956521739,
ディスクリートキャットDiscreet Cat(米),,467.5,12.5,,57.857142857142854,,,0.0,191.25,177.03703703703704,,,123.33333333333333,188.42105263157896,,50.892857142857146,149.23076923076923,37.5,0.0,34.285714285714285,0.0,0.0,0.0,0.0,,146.53846153846155,112.85714285714286,,15.2,63.75
ドゥラメンテ,0.0,,,47.77777777777778,,,182.85714285714286,13.10344827586207,65.71428571428571,,65.78947368421052,,124.28571428571429,,,72.14285714285714,0.0,56.25,0.0,0.0,0.0,121.81818181818181,29.0,130.0,0.0,122.4,70.3225806451613,0.0,35.88235294117647,
