sire,sprint,mile,intermediate,long
アイルハヴアナザーI'll Have Another(米),71.36690647482014,87.41784037558685,83.63636363636364,0.0
アジアエクスプレス,90.58111380145279,86.47798742138365,93.76288659793815,0.0
イスラボニータ,81.18483412322274,74.72049689440993,72.8030303030303,0.0
エイシンフラッシュ,55.47008547008547,69.02298850574712,77.10843373493977,0.0
エスポワールシチー,89.08396946564885,84.89711934156378,80.05917159763314,0.0
エピファネイア,72.83018867924528,61.48264984227129,76.96629213483146,0.0
オルフェーヴル,80.55900621118012,62.41286863270778,88.95833333333333,62.5
カレンブラックヒル,82.51937984496124,78.47389558232932,84.48,0.0
キズナ,61.61616161616162,78.46153846153847,85.84699453551913,83.63636363636364
キングカメハメハ,60.111111111111114,94.14084507042253,78.8256880733945,68.97435897435898
キンシャサノキセキ,84.95145631067962,73.06422018348624,85.98540145985402,0.0
クロフネ,69.5798319327731,65.95238095238095,77.64462809917356,0.0
コパノリッキー,65.84362139917695,78.34224598930481,70.09756097560975,0.0
ゴールドアリュール,86.28415300546447,73.34355828220859,71.1284046692607,0.0
サウスヴィグラス,79.79661016949153,90.48192771084338,67.57575757575758,0.0
サトノアラジン,74.51612903225806,73.95348837209302,77.9245283018868,0.0
シニスターミニスターSinister Minister(米),82.72123893805309,93.4978229317852,102.34248788368336,0.0
ジャスタウェイ,89.51219512195122,86.15384615384616,78.75,68.0
スクリーンヒーロー,76.11650485436893,88.39662447257383,77.5,0.0
ストロングリターン,73.81642512077295,58.06896551724138,76.85950413223141,0.0
スマートファルコン,72.06611570247934,85.75539568345324,67.48251748251748,0.0
ダイワメジャー,63.50157728706625,70.23923444976077,70.49122807017544,0.0
ダノンレジェンド,87.4688796680498,80.08230452674897,103.48993288590604,0.0
ダンカークDunkirk(米),58.49624060150376,76.51898734177215,88.65671641791045,0.0
ディスクリートキャットDiscreet Cat(米),83.19767441860465,88.70253164556962,69.33333333333333,0.0
ディープインパクト,74.54545454545455,71.37931034482759,71.60818713450293,101.6
ディープブリランテ,82.15384615384616,68.42767295597484,46.76190476190476,0.0
デクラレーションオブウォー,96.78571428571429,85.0,62.25,0.0
ドゥラメンテ,66.03658536585365,80.0,72.01138519924099,130.0
ドレフォンDrefong(米),91.72043010752688,89.84984984984985,82.4954128440367,110.0
ハーツクライ,91.80451127819549,82.63736263736264,75.77922077922078,62.432432432432435
ハービンジャーHarbinger(英),55.95238095238095,65.07575757575758,69.5774647887324,60.666666666666664
パイロPyro(米),74.86111111111111,89.94604316546763,93.88764044943821,0.0
フリオーソ,88.31683168316832,87.70642201834862,56.417910447761194,103.47826086956522
ブラックタイド,79.77272727272727,90.97674418604652,82.6890756302521,23.846153846153847
ヘニーヒューズHenny Hughes(米),86.8335035750766,86.96043165467626,82.9453262786596,38.888888888888886
ホッコータルマエ,88.16901408450704,81.12299465240642,89.08212560386474,101.17647058823529
マインドユアビスケッツMind Your Biscuits(米),65.39473684210526,81.47619047619048,55.88235294117647,0.0
マクフィMakfi(英),80.36649214659685,88.93416927899686,67.05,0.0
マジェスティックウォリアーMajestic Warrior(米),73.30188679245283,89.65137614678899,83.87715930902111,138.42105263157896
ミッキーアイル,75.14619883040936,78.16901408450704,98.86178861788618,0.0
メイショウボーラー,65.06976744186046,63.81679389312977,94.48598130841121,0.0
モーリス,65.58232931726907,73.29446064139941,77.90393013100437,0.0
リアルインパクト,86.64335664335664,85.08670520231213,73.91061452513966,0.0
リアルスティール,90.8695652173913,86.26582278481013,91.7412935323383,0.0
リオンディーズ,79.81617647058823,73.78378378378379,71.66666666666667,0.0
ルーラーシップ,81.19205298013244,77.06086956521739,73.18435754189944,61.904761904761905
ロードカナロア,85.64432989690722,82.17494089834516,64.9896480331263,0.0
ワールドエース,51.46341463414634,63.90909090909091,73.38709677419355,0.0
ヴィクトワールピサ,77.6470588235294,59.13333333333333,72.10526315789474,0.0
