sire,sprint,mile,intermediate,long
アイルハヴアナザーI'll Have Another(米),139.0,213.0,275.0,0.0
アジアエクスプレス,413.0,318.0,194.0,0.0
イスラボニータ,211.0,161.0,132.0,0.0
エイシンフラッシュ,117.0,174.0,166.0,0.0
エスポワールシチー,262.0,243.0,169.0,0.0
エピファネイア,106.0,317.0,356.0,0.0
オルフェーヴル,161.0,373.0,528.0,32.0
カレンブラックヒル,258.0,249.0,125.0,0.0
キズナ,198.0,559.0,915.0,22.0
キングカメハメハ,90.0,355.0,545.0,39.0
キンシャサノキセキ,618.0,545.0,274.0,0.0
クロフネ,119.0,210.0,242.0,0.0
コパノリッキー,243.0,187.0,205.0,0.0
ゴールドアリュール,183.0,326.0,257.0,0.0
サウスヴィグラス,590.0,166.0,33.0,0.0
サトノアラジン,124.0,129.0,159.0,0.0
シニスターミニスターSinister Minister(米),452.0,689.0,619.0,0.0
ジャスタウェイ,123.0,312.0,456.0,25.0
スクリーンヒーロー,206.0,237.0,256.0,0.0
ストロングリターン,207.0,145.0,121.0,0.0
スマートファルコン,121.0,139.0,143.0,0.0
ダイワメジャー,317.0,418.0,285.0,0.0
ダノンレジェンド,241.0,243.0,149.0,0.0
ダンカークDunkirk(米),133.0,158.0,268.0,0.0
ディスクリートキャットDiscreet Cat(米),344.0,316.0,105.0,0.0
ディープインパクト,55.0,232.0,342.0,25.0
ディープブリランテ,130.0,159.0,105.0,0.0
デクラレーションオブウォー,84.0,128.0,160.0,0.0
ドゥラメンテ,164.0,423.0,527.0,19.0
ドレフォンDrefong(米),372.0,666.0,545.0,9.0
ハーツクライ,133.0,364.0,616.0,37.0
ハービンジャーHarbinger(英),42.0,132.0,213.0,15.0
パイロPyro(米),360.0,556.0,445.0,0.0
フリオーソ,101.0,109.0,134.0,23.0
ブラックタイド,88.0,215.0,238.0,13.0
ヘニーヒューズHenny Hughes(米),979.0,1112.0,567.0,9.0
ホッコータルマエ,213.0,374.0,621.0,34.0
マインドユアビスケッツMind Your Biscuits(米),76.0,210.0,204.0,0.0
マクフィMakfi(英),191.0,319.0,200.0,0.0
マジェスティックウォリアーMajestic Warrior(米),212.0,545.0,521.0,38.0
ミッキーアイル,342.0,213.0,123.0,0.0
メイショウボーラー,215.0,131.0,107.0,0.0
モーリス,249.0,343.0,229.0,0.0
リアルインパクト,143.0,173.0,179.0,0.0
リアルスティール,115.0,158.0,201.0,0.0
リオンディーズ,272.0,296.0,258.0,0.0
ルーラーシップ,151.0,575.0,716.0,42.0
ロードカナロア,776.0,846.0,483.0,0.0
ワールドエース,82.0,110.0,124.0,0.0
ヴィクトワールピサ,68.0,150.0,190.0,0.0
