sire,sprint,mile,intermediate,long
アイルハヴアナザーI'll Have Another(米),247.0,430.0,585.0,0.0
アジアエクスプレス,767.0,690.0,441.0,0.0
イスラボニータ,421.0,402.0,273.0,0.0
エイシンフラッシュ,355.0,424.0,360.0,0.0
エスポワールシチー,526.0,486.0,309.0,0.0
エピファネイア,257.0,642.0,691.0,0.0
オルフェーヴル,358.0,738.0,955.0,54.0
カレンブラックヒル,485.0,552.0,292.0,0.0
キズナ,343.0,955.0,1437.0,37.0
キングカメハメハ,152.0,557.0,818.0,49.0
キンシャサノキセキ,1110.0,1010.0,527.0,0.0
クロフネ,235.0,416.0,462.0,0.0
コパノリッキー,551.0,524.0,495.0,0.0
ゴールドアリュール,373.0,571.0,463.0,0.0
サウスヴィグラス,962.0,334.0,92.0,0.0
サトノアラジン,256.0,297.0,367.0,0.0
シニスターミニスターSinister Minister(米),882.0,1249.0,1123.0,0.0
ジャスタウェイ,286.0,720.0,947.0,42.0
スクリーンヒーロー,339.0,440.0,405.0,0.0
ストロングリターン,450.0,395.0,299.0,0.0
スマートファルコン,282.0,316.0,298.0,0.0
ダイワメジャー,592.0,780.0,560.0,0.0
ダノンレジェンド,476.0,502.0,267.0,0.0
ダンカークDunkirk(米),301.0,431.0,601.0,0.0
ディスクリートキャットDiscreet Cat(米),631.0,606.0,221.0,0.0
ディープインパクト,85.0,371.0,531.0,29.0
ディープブリランテ,282.0,379.0,234.0,0.0
デクラレーションオブウォー,184.0,324.0,379.0,0.0
ドゥラメンテ,326.0,769.0,860.0,32.0
ドレフォンDrefong(米),697.0,1293.0,1021.0,24.0
ハーツクライ,217.0,612.0,1017.0,63.0
ハービンジャーHarbinger(英),93.0,270.0,482.0,29.0
パイロPyro(米),687.0,1040.0,823.0,0.0
フリオーソ,235.0,351.0,380.0,33.0
ブラックタイド,225.0,491.0,525.0,20.0
ヘニーヒューズHenny Hughes(米),1572.0,1868.0,1021.0,21.0
ホッコータルマエ,480.0,804.0,1260.0,52.0
マインドユアビスケッツMind Your Biscuits(米),209.0,539.0,475.0,0.0
マクフィMakfi(英),460.0,655.0,450.0,0.0
マジェスティックウォリアーMajestic Warrior(米),473.0,1108.0,1025.0,53.0
ミッキーアイル,640.0,452.0,247.0,0.0
メイショウボーラー,514.0,343.0,261.0,0.0
モーリス,465.0,622.0,446.0,0.0
リアルインパクト,324.0,396.0,388.0,0.0
リアルスティール,225.0,396.0,443.0,0.0
リオンディーズ,516.0,697.0,573.0,0.0
ルーラーシップ,328.0,1183.0,1442.0,83.0
ロードカナロア,1319.0,1519.0,871.0,0.0
ワールドエース,230.0,349.0,325.0,0.0
ヴィクトワールピサ,157.0,347.0,444.0,0.0
