sire,sprint,mile,intermediate,long
アイルハヴアナザーI'll Have Another(米),0.1417004048582996,0.12093023255813953,0.13162393162393163,0.0
アジアエクスプレス,0.16688396349413298,0.13623188405797101,0.15192743764172337,0.0
イスラボニータ,0.1496437054631829,0.09950248756218906,0.16483516483516483,0.0
エイシンフラッシュ,0.07605633802816901,0.10377358490566038,0.10555555555555556,0.0
エスポワールシチー,0.13498098859315588,0.15843621399176955,0.1650485436893204,0.0
エピファネイア,0.08560311284046693,0.10124610591900311,0.1345875542691751,0.0
オルフェーヴル,0.13966480446927373,0.12466124661246612,0.1643979057591623,0.14814814814814814
カレンブラックヒル,0.15876288659793814,0.13949275362318841,0.1506849315068493,0.0
キズナ,0.11370262390670553,0.16753926701570682,0.2303409881697982,0.1891891891891892
キングカメハメハ,0.125,0.20287253141831238,0.2017114914425428,0.20408163265306123
キンシャサノキセキ,0.15945945945945947,0.13762376237623763,0.15370018975332067,0.0
クロフネ,0.10212765957446808,0.10817307692307693,0.15367965367965367,0.0
コパノリッキー,0.14337568058076225,0.1183206106870229,0.11313131313131314,0.0
ゴールドアリュール,0.11528150134048257,0.1190893169877408,0.12742980561555076,0.0
サウスヴィグラス,0.1600831600831601,0.12574850299401197,0.06521739130434782,0.0
サトノアラジン,0.1640625,0.11784511784511785,0.14986376021798364,0.0
シニスターミニスターSinister Minister(米),0.1621315192743764,0.18815052041633307,0.2252894033837934,0.0
ジャスタウェイ,0.10139860139860139,0.1375,0.1583949313621964,0.16666666666666666
スクリーンヒーロー,0.13864306784660768,0.1590909090909091,0.1506172839506173,0.0
ストロングリターン,0.13111111111111112,0.0810126582278481,0.07692307692307693,0.0
スマートファルコン,0.12411347517730496,0.0981012658227848,0.09060402684563758,0.0
ダイワメジャー,0.13175675675675674,0.14743589743589744,0.12857142857142856,0.0
ダノンレジェンド,0.1953781512605042,0.15139442231075698,0.23595505617977527,0.0
ダンカークDunkirk(米),0.07973421926910298,0.0951276102088167,0.14143094841930118,0.0
ディスクリートキャットDiscreet Cat(米),0.17274167987321712,0.14686468646864687,0.12217194570135746,0.0
ディープインパクト,0.1411764705882353,0.11320754716981132,0.15819209039548024,0.3793103448275862
ディープブリランテ,0.09574468085106383,0.09234828496042216,0.06837606837606838,0.0
デクラレーションオブウォー,0.17391304347826086,0.13580246913580246,0.11609498680738786,0.0
ドゥラメンテ,0.1441717791411043,0.18205461638491546,0.1941860465116279,0.21875
ドレフォンDrefong(米),0.18651362984218078,0.1840680587780356,0.19196865817825662,0.125
ハーツクライ,0.15668202764976957,0.15522875816993464,0.1710914454277286,0.2222222222222222
ハービンジャーHarbinger(英),0.07526881720430108,0.0962962962962963,0.13900414937759337,0.13793103448275862
パイロPyro(米),0.14264919941775836,0.16923076923076924,0.1859052247873633,0.0
フリオーソ,0.11063829787234042,0.07977207977207977,0.10263157894736842,0.24242424242424243
ブラックタイド,0.09333333333333334,0.12016293279022404,0.14285714285714285,0.15
ヘニーヒューズHenny Hughes(米),0.1991094147582697,0.19218415417558887,0.18707149853085211,0.09523809523809523
ホッコータルマエ,0.12708333333333333,0.1480099502487562,0.17222222222222222,0.17307692307692307
マインドユアビスケッツMind Your Biscuits(米),0.0861244019138756,0.1725417439703154,0.15578947368421053,0.0
マクフィMakfi(英),0.12391304347826088,0.1465648854961832,0.09555555555555556,0.0
マジェスティックウォリアーMajestic Warrior(米),0.1331923890063425,0.1407942238267148,0.16975609756097562,0.18867924528301888
ミッキーアイル,0.16875,0.16592920353982302,0.20242914979757085,0.0
メイショウボーラー,0.08754863813229571,0.08454810495626822,0.14942528735632185,0.0
モーリス,0.15053763440860216,0.15755627009646303,0.14798206278026907,0.0
リアルインパクト,0.12654320987654322,0.12373737373737374,0.14948453608247422,0.0
リアルスティール,0.17333333333333334,0.18434343434343434,0.1986455981941309,0.0
リオンディーズ,0.16666666666666666,0.12769010043041606,0.15008726003490402,0.0
ルーラーシップ,0.14634146341463414,0.11749788672865596,0.12968099861303745,0.07228915662650602
ロードカナロア,0.16906747536012132,0.1685319289005925,0.14580941446613088,0.0
ワールドエース,0.04782608695652174,0.06017191977077364,0.11076923076923077,0.0
ヴィクトワールピサ,0.11464968152866242,0.08069164265129683,0.10585585585585586,0.0
