sire,sprint,mile,intermediate,long
アイルハヴアナザーI'll Have Another(米),0.05668016194331984,0.07674418604651163,0.05299145299145299,0.0
アジアエクスプレス,0.07561929595827901,0.05217391304347826,0.08163265306122448,0.0
イスラボニータ,0.07838479809976247,0.04477611940298507,0.07326007326007326,0.0
エイシンフラッシュ,0.03943661971830986,0.054245283018867926,0.030555555555555555,0.0
エスポワールシチー,0.07224334600760456,0.0823045267489712,0.10355987055016182,0.0
エピファネイア,0.042801556420233464,0.04205607476635514,0.06801736613603473,0.0
オルフェーヴル,0.0893854748603352,0.07588075880758807,0.07539267015706806,0.09259259259259259
カレンブラックヒル,0.088659793814433,0.059782608695652176,0.07534246575342465,0.0
キズナ,0.05539358600583091,0.09947643979057591,0.12178148921363953,0.13513513513513514
キングカメハメハ,0.046052631578947366,0.09515260323159784,0.11613691931540342,0.10204081632653061
キンシャサノキセキ,0.07297297297297298,0.05841584158415842,0.06451612903225806,0.0
クロフネ,0.05106382978723404,0.04567307692307692,0.07142857142857142,0.0
コパノリッキー,0.0780399274047187,0.05725190839694656,0.05858585858585859,0.0
ゴールドアリュール,0.058981233243967826,0.0595446584938704,0.06911447084233262,0.0
サウスヴィグラス,0.08316008316008316,0.05089820359281437,0.0,0.0
サトノアラジン,0.05859375,0.06060606060606061,0.07629427792915532,0.0
シニスターミニスターSinister Minister(米),0.0873015873015873,0.10328262610088071,0.11665182546749778,0.0
ジャスタウェイ,0.04195804195804196,0.07361111111111111,0.08236536430834214,0.047619047619047616
スクリーンヒーロー,0.061946902654867256,0.06818181818181818,0.08395061728395062,0.0
ストロングリターン,0.05333333333333334,0.04050632911392405,0.033444816053511704,0.0
スマートファルコン,0.07092198581560284,0.05379746835443038,0.0436241610738255,0.0
ダイワメジャー,0.07432432432432433,0.07179487179487179,0.05714285714285714,0.0
ダノンレジェンド,0.11974789915966387,0.08964143426294821,0.1198501872659176,0.0
ダンカークDunkirk(米),0.026578073089700997,0.048723897911832945,0.08153078202995008,0.0
ディスクリートキャットDiscreet Cat(米),0.08399366085578447,0.07425742574257425,0.058823529411764705,0.0
ディープインパクト,0.09411764705882353,0.06199460916442048,0.10734463276836158,0.13793103448275862
ディープブリランテ,0.03900709219858156,0.047493403693931395,0.029914529914529916,0.0
デクラレーションオブウォー,0.09782608695652174,0.06172839506172839,0.06068601583113457,0.0
ドゥラメンテ,0.06748466257668712,0.10923276983094929,0.09534883720930233,0.125
ドレフォンDrefong(米),0.09469153515064563,0.10595514307811292,0.11067580803134182,0.0
ハーツクライ,0.0967741935483871,0.08169934640522876,0.08456243854473942,0.14285714285714285
ハービンジャーHarbinger(英),0.021505376344086023,0.037037037037037035,0.04771784232365145,0.10344827586206896
パイロPyro(米),0.07714701601164484,0.08846153846153847,0.08748481166464156,0.0
フリオーソ,0.05531914893617021,0.039886039886039885,0.05263157894736842,0.09090909090909091
ブラックタイド,0.04888888888888889,0.06720977596741344,0.07238095238095238,0.05
ヘニーヒューズHenny Hughes(米),0.10432569974554708,0.09850107066381156,0.0871694417238002,0.09523809523809523
ホッコータルマエ,0.05416666666666667,0.07213930348258707,0.09047619047619047,0.057692307692307696
マインドユアビスケッツMind Your Biscuits(米),0.04784688995215311,0.08534322820037106,0.07368421052631578,0.0
マクフィMakfi(英),0.05652173913043478,0.0717557251908397,0.04888888888888889,0.0
マジェスティックウォリアーMajestic Warrior(米),0.07822410147991543,0.06768953068592058,0.09073170731707317,0.05660377358490566
ミッキーアイル,0.0828125,0.0752212389380531,0.10526315789473684,0.0
メイショウボーラー,0.038910505836575876,0.03206997084548105,0.05747126436781609,0.0
モーリス,0.08172043010752689,0.08842443729903537,0.06053811659192825,0.0
リアルインパクト,0.06481481481481481,0.06565656565656566,0.09278350515463918,0.0
リアルスティール,0.08,0.09090909090909091,0.11738148984198646,0.0
リオンディーズ,0.0872093023255814,0.05738880918220947,0.07853403141361257,0.0
ルーラーシップ,0.06707317073170732,0.0676246830092984,0.06171983356449376,0.03614457831325301
ロードカナロア,0.09021986353297953,0.09282422646477946,0.08381171067738231,0.0
ワールドエース,0.021739130434782608,0.017191977077363897,0.04,0.0
ヴィクトワールピサ,0.06369426751592357,0.037463976945244955,0.036036036036036036,0.0
