sire,sprint,mile,intermediate,long
アイルハヴアナザーI'll Have Another(米),80.0,133.80281690140845,66.65454545454546,0.0
アジアエクスプレス,81.52542372881356,76.9496855345912,149.63917525773195,0.0
イスラボニータ,66.35071090047393,59.254658385093165,47.5,0.0
エイシンフラッシュ,100.34188034188034,63.5632183908046,27.228915662650603,0.0
エスポワールシチー,83.12977099236642,98.68312757201646,108.34319526627219,0.0
エピファネイア,70.56603773584905,47.791798107255524,71.23595505617978,0.0
オルフェーヴル,117.70186335403727,85.71045576407506,80.17045454545455,101.5625
カレンブラックヒル,95.34883720930233,55.78313253012048,83.84,0.0
キズナ,76.71717171717172,95.2057245080501,85.07103825136612,40.90909090909091
キングカメハメハ,37.22222222222222,92.73239436619718,85.5229357798165,33.58974358974359
キンシャサノキセキ,77.50809061488673,60.71559633027523,61.42335766423358,0.0
クロフネ,98.31932773109244,51.61904761904762,78.71900826446281,0.0
コパノリッキー,86.54320987654322,77.11229946524064,79.70731707317073,0.0
ゴールドアリュール,92.1311475409836,69.29447852760737,65.13618677042801,0.0
サウスヴィグラス,88.33898305084746,60.54216867469879,0.0,0.0
サトノアラジン,43.145161290322584,75.89147286821705,99.24528301886792,0.0
シニスターミニスターSinister Minister(米),99.18141592920354,102.7866473149492,112.19709208400646,0.0
ジャスタウェイ,44.796747967479675,107.78846153846153,83.39912280701755,12.0
スクリーンヒーロー,50.728155339805824,68.35443037974683,78.28125,0.0
ストロングリターン,74.54106280193237,58.13793103448276,65.12396694214875,0.0
スマートファルコン,93.55371900826447,109.42446043165468,50.06993006993007,0.0
ダイワメジャー,72.05047318611987,80.64593301435407,63.578947368421055,0.0
ダノンレジェンド,102.9045643153527,80.49382716049382,113.15436241610739,0.0
ダンカークDunkirk(米),58.64661654135338,105.75949367088607,110.11194029850746,0.0
ディスクリートキャットDiscreet Cat(米),71.77325581395348,92.68987341772151,52.285714285714285,0.0
ディープインパクト,150.72727272727272,56.85344827586207,110.73099415204679,69.2
ディープブリランテ,54.38461538461539,72.64150943396227,51.80952380952381,0.0
デクラレーションオブウォー,100.5952380952381,95.78125,60.0,0.0
ドゥラメンテ,70.73170731707317,102.24586288416076,56.56546489563567,98.42105263157895
ドレフォンDrefong(米),110.18817204301075,104.06906906906907,83.85321100917432,0.0
ハーツクライ,138.42105263157896,84.94505494505495,67.80844155844156,87.83783783783784
ハービンジャーHarbinger(英),19.047619047619047,30.454545454545453,47.136150234741784,252.0
パイロPyro(米),77.38888888888889,76.22302158273381,92.98876404494382,0.0
フリオーソ,55.24752475247525,72.75229357798165,78.58208955223881,62.17391304347826
ブラックタイド,71.47727272727273,106.32558139534883,89.41176470588235,0.0
ヘニーヒューズHenny Hughes(米),86.32277834525026,81.16906474820144,84.90299823633157,67.77777777777777
ホッコータルマエ,66.66666666666667,77.51336898395722,99.06602254428341,44.411764705882355
マインドユアビスケッツMind Your Biscuits(米),79.34210526315789,83.14285714285714,47.40196078431372,0.0
マクフィMakfi(英),73.35078534031413,93.32288401253919,81.25,0.0
マジェスティックウォリアーMajestic Warrior(米),76.41509433962264,88.09174311926606,76.94817658349328,76.3157894736842
ミッキーアイル,80.78947368421052,50.093896713615024,85.1219512195122,0.0
メイショウボーラー,45.906976744186046,66.4885496183206,118.50467289719626,0.0
モーリス,80.32128514056225,78.74635568513119,67.99126637554585,0.0
リアルインパクト,100.0,76.76300578034682,93.74301675977654,0.0
リアルスティール,54.43478260869565,57.9746835443038,102.38805970149254,0.0
リオンディーズ,72.72058823529412,52.63513513513514,78.44961240310077,0.0
ルーラーシップ,95.29801324503312,84.4,70.50279329608938,65.23809523809524
ロードカナロア,87.1520618556701,86.14657210401892,88.59213250517598,0.0
ワールドエース,17.926829268292682,18.90909090909091,34.193548387096776,0.0
ヴィクトワールピサ,99.26470588235294,45.13333333333333,51.421052631578945,0.0
