sire,total_runs,total_top3,top3_rate,top2_rate,win_rate,avg_distance,weighted_dist_sum,best_distance,best_dist_cat,win_return_pct,place_return_pct
ディープインパクト,325,123,0.37846153846153846,0.26461538461538464,0.11384615384615385,3014.5538461538463,366800,2982,extended,60.0,79.0
ダイワメジャー,294,74,0.25170068027210885,0.18027210884353742,0.08163265306122448,2976.4285714285716,218670,2955,extended,98.0,83.0
ルーラーシップ,280,82,0.29285714285714287,0.18928571428571428,0.11428571428571428,3013.214285714286,245570,2995,extended,96.7,86.0
ハーツクライ,274,80,0.291970802919708,0.2116788321167883,0.10218978102189781,3036.3868613138684,240440,3006,extended,75.1,78.7
エイシンフラッシュ,227,58,0.2555066079295154,0.18061674008810572,0.11013215859030837,3015.68281938326,171070,2949,extended,156.5,84.7
キズナ,227,98,0.43171806167400884,0.29955947136563876,0.1762114537444934,3060.308370044053,302350,3085,extended,91.9,103.5
キングカメハメハ,210,59,0.28095238095238095,0.2,0.1380952380952381,3037.1428571428573,176380,2989,extended,92.6,75.8
ブラックタイド,210,67,0.319047619047619,0.22857142857142856,0.1,3023.0476190476193,202830,3027,extended,103.5,88.1
マツリダゴッホ,190,40,0.21052631578947367,0.1,0.03684210526315789,2971.2105263157896,116670,2917,extended,22.2,57.8
ゴールドシップ,166,48,0.2891566265060241,0.13855421686746988,0.08433734939759036,3018.614457831325,143950,2999,extended,106.9,83.1
ステイゴールド,164,55,0.3353658536585366,0.23780487804878048,0.12804878048780488,3161.951219512195,178370,3243,extended,97.3,81.9
オルフェーヴル,160,60,0.375,0.275,0.125,2985.1875,178810,2980,extended,94.9,95.4
ジャスタウェイ,146,40,0.273972602739726,0.1780821917808219,0.0547945205479452,3008.6301369863013,117820,2946,extended,14.2,87.5
ロードカナロア,139,39,0.2805755395683453,0.2158273381294964,0.12949640287769784,3025.3956834532373,120680,3094,extended,168.7,112.5
ハービンジャーHarbinger(英),137,51,0.3722627737226277,0.2846715328467153,0.1678832116788321,3075.985401459854,159750,3132,extended,125.8,103.1
クロフネ,134,31,0.23134328358208955,0.14925373134328357,0.06716417910447761,3009.9253731343283,93580,3019,extended,63.7,79.2
ヴィクトワールピサ,119,35,0.29411764705882354,0.17647058823529413,0.07563025210084033,2955.126050420168,104700,2991,extended,43.7,97.5
ノヴェリストNovellist(愛),106,36,0.33962264150943394,0.22641509433962265,0.08490566037735849,2976.0377358490564,108340,3009,extended,47.7,96.9
マンハッタンカフェ,100,26,0.26,0.17,0.06,3073.1,78350,3013,extended,74.1,83.6
