sire,Fusaichi Pegasus,Giant's Causeway(米),Singspiel(愛),アグネスタキオン,アグネスデジタル,エルコンドルパサー,キングカメハメハ,クロフネ,ゴールドアリュール,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,ダイワメジャー,ダンスインザダーク,ティンバーカントリーTimber Country(米),ディープインパクト,ネオユニヴァース,ハーツクライ,フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),ホワイトマズルWhite Muzzle(英),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アドマイヤムーン,,,,,,,,2957.0,,,,,,,,,,,,,,,,,,,,3194.1666666666665
エイシンフラッシュ,,,,,,,,,2992.777777777778,2864.0,2925.6,,3175.0,,3185.0,,2988.846153846154,,,3108.0,,,2990.5263157894738,,,,3160.909090909091,
エピファネイア,,,,,,,2923.076923076923,,,,,,,,,,,,,,,,,,,,,
オルフェーヴル,,,,3121.0,,,2998.3333333333335,3245.8333333333335,,,,2933.5714285714284,,,,,,,,,,,,2960.8695652173915,,,,
キズナ,,,3340.4347826086955,,,,,3217.9166666666665,,,,,,,3062.0,,,,,,,,,2925.0,,,,
キングカメハメハ,,,,,,,,,,,3050.816326530612,,,3122.222222222222,,,,,,3000.4,,,,2942.8571428571427,,,,
キングヘイロー,,,,,,,,,,,,,,,,,,,3030.0,,,,,,,,,
キンシャサノキセキ,3284.8275862068967,,,,,,,,,,,,,,,,,,,,,,,,,,,
クロフネ,,,,,,,,,,,2882.1428571428573,,,,,,,,,,3216.6666666666665,,2987.5,,,,,
ゴールドシップ,,,,,,,3331.818181818182,,,,,,,,,,,,,,,,,2883.3333333333335,3468.5714285714284,,,
ジャスタウェイ,,,,,,,3250.6666666666665,,,,,3080.0,,,,,,2930.6666666666665,,,,,,,,,,
ステイゴールド,,,,,,,,,,,,3340.8823529411766,,,,,,,,,,,,,,,,
ダイワメジャー,,,,,,,3197.2727272727275,2869.1304347826085,,,,2876.551724137931,,,,,,,,,,,,,,,,
ディープインパクト,3117.0,,,,,,3145.3333333333335,,,,,,,,,,,,,,,,,,,2928.846153846154,,
トゥザグローリー,,,,,,,,,,2917.4074074074074,,,,,,3030.8333333333335,,,,,,,,,,,,
ネオユニヴァース,,,,,,,,,,,,3008.5714285714284,,,,,,,,,,,,,,,,
ノヴェリストNovellist(愛),,,,3068.6666666666665,,,2996.4285714285716,,,,,,,2860.0,,,,,,2898.3333333333335,3092.1428571428573,,,,,,,
ハーツクライ,,3186.842105263158,,,,,2985.5555555555557,,,3301.6666666666665,,,,,,,,,,,,,,,,,,
ハービンジャーHarbinger(英),,,,3651.6666666666665,,,,,,,3085.0,,,3042.8571428571427,,,,,,3115.5,2872.5,,,,,,,
フェノーメノ,,,,,,,,,,,,,,,,3167.5,,,,,,,,,,,,
ブラックタイド,,,,,,3432.5,3380.9523809523807,,,,,,,,,,,,,,,,,,,,,
マジェスティックウォリアーMajestic Warrior(米),,,,,,,3046.6666666666665,,,,,2882.7272727272725,,2954.6666666666665,,,,,,,,,,,,,,
マツリダゴッホ,,,,,2887.5,,,,,,,,,,,,,,,,,,,,2898.4848484848485,3110.0,,
マンハッタンカフェ,,,,,,,,,,,,,,,,3085.3846153846152,,,,,,,,,,,,
メイショウサムソン,,,,3195.3125,,,,,,,3198.181818181818,,,,,,,,,,,,,,,,,
リーチザクラウン,,,,2899.090909090909,,,,,,,,,,,,,,,,,,,,,3062.8,,,
ルーラーシップ,,,,2898.0,,,,3120.967741935484,,,2966.8,3122.3076923076924,,2946.0,,,,2854.4,,3040.4761904761904,2984.2105263157896,2994.0,3100.0,,,,,3180.5263157894738
ロードカナロア,,,,,,,,,,,,3184.871794871795,,,,,,,,2891.4285714285716,,3119.0,,,,,,
ヴィクトワールピサ,,,,,,3140.0,,,,,,,,,,,,,,,,,,,3086.190476190476,,,
