sire,Fusaichi Pegasus,Giant's Causeway(米),Singspiel(愛),アグネスタキオン,アグネスデジタル,エルコンドルパサー,キングカメハメハ,クロフネ,ゴールドアリュール,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,ダイワメジャー,ダンスインザダーク,ティンバーカントリーTimber Country(米),ディープインパクト,ネオユニヴァース,ハーツクライ,フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),ホワイトマズルWhite Muzzle(英),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アドマイヤムーン,,,,,,,,98.33333333333333,,,,,,,,,,,,,,,,,,,,95.0
エイシンフラッシュ,,,,,,,,,91.66666666666667,117.5,66.36363636363636,,55.714285714285715,,106.66666666666667,,82.66666666666667,,,140.625,,,46.25,,,,82.85714285714286,
エピファネイア,,,,,,,196.66666666666666,,,,,,,,,,,,,,,,,,,,,
オルフェーヴル,,,,104.0,,,171.25,107.0,,,,52.5,,,,,,,,,,,,86.875,,,,
キズナ,,,138.88888888888889,,,,,184.16666666666666,,,,,,,63.75,,,,,,,,,60.0,,,,
キングカメハメハ,,,,,,,,,,,95.0,,,72.27272727272727,,,,,,122.72727272727273,,,,61.666666666666664,,,,
キングヘイロー,,,,,,,,,,,,,,,,,,,88.33333333333333,,,,,,,,,
キンシャサノキセキ,93.15789473684211,,,,,,,,,,,,,,,,,,,,,,,,,,,
クロフネ,,,,,,,,,,,55.833333333333336,,,,,,,,,,122.3076923076923,,0.0,,,,,
ゴールドシップ,,,,,,,80.0,,,,,,,,,,,,,,,,,82.5,150.0,,,
ジャスタウェイ,,,,,,,61.666666666666664,,,,,64.0,,,,,,52.857142857142854,,,,,,,,,,
ステイゴールド,,,,,,,,,,,,56.774193548387096,,,,,,,,,,,,,,,,
ダイワメジャー,,,,,,,143.33333333333334,72.5,,,,61.111111111111114,,,,,,,,,,,,,,,,
ディープインパクト,100.0,,,,,,89.28571428571429,,,,,,,,,,,,,,,,,,,104.54545454545455,,
トゥザグローリー,,,,,,,,,,215.0,,,,,,48.333333333333336,,,,,,,,,,,,
ネオユニヴァース,,,,,,,,,,,,87.5,,,,,,,,,,,,,,,,
ノヴェリストNovellist(愛),,,,145.45454545454547,,,119.0909090909091,,,,,,,27.142857142857142,,,,,,137.0,67.6923076923077,,,,,,,
ハーツクライ,,97.85714285714286,,,,,60.55555555555556,,,82.38095238095238,,,,,,,,,,,,,,,,,,
ハービンジャーHarbinger(英),,,,157.27272727272728,,,,,,,109.1304347826087,,,128.0,,,,,,91.53846153846153,37.142857142857146,,,,,,,
フェノーメノ,,,,,,,,,,,,,,,,125.71428571428571,,,,,,,,,,,,
ブラックタイド,,,,,,80.0,135.2941176470588,,,,,,,,,,,,,,,,,,,,,
マジェスティックウォリアーMajestic Warrior(米),,,,,,,72.0,,,,,0.0,,98.18181818181819,,,,,,,,,,,,,,
マツリダゴッホ,,,,,64.0,,,,,,,,,,,,,,,,,,,,68.57142857142857,82.10526315789474,,
マンハッタンカフェ,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,
メイショウサムソン,,,,86.66666666666667,,,,,,,177.77777777777777,,,,,,,,,,,,,,,,,
リーチザクラウン,,,,35.0,,,,,,,,,,,,,,,,,,,,,84.0,,,
ルーラーシップ,,,,41.25,,,,103.33333333333333,,,85.78947368421052,128.75,,53.07692307692308,,,,40.90909090909091,,101.66666666666667,88.88888888888889,36.25,90.0,,,,,80.0
ロードカナロア,,,,,,,,,,,,164.0,,,,,,,,0.0,,138.57142857142858,,,,,,
ヴィクトワールピサ,,,,,,184.0,,,,,,,,,,,,,,,,,,,133.57142857142858,,,
