sire,Fusaichi Pegasus,Giant's Causeway(米),Singspiel(愛),アグネスタキオン,アグネスデジタル,エルコンドルパサー,キングカメハメハ,クロフネ,ゴールドアリュール,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,ダイワメジャー,ダンスインザダーク,ティンバーカントリーTimber Country(米),ディープインパクト,ネオユニヴァース,ハーツクライ,フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),ホワイトマズルWhite Muzzle(英),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アドマイヤムーン,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,12.0
エイシンフラッシュ,,,,,,,,,18.0,10.0,25.0,,16.0,,20.0,,26.0,,,25.0,,,19.0,,,,11.0,
エピファネイア,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,
オルフェーヴル,,,,10.0,,,12.0,12.0,,,,14.0,,,,,,,,,,,,23.0,,,,
キズナ,,,23.0,,,,,24.0,,,,,,,10.0,,,,,,,,,10.0,,,,
キングカメハメハ,,,,,,,,,,,49.0,,,27.0,,,,,,25.0,,,,14.0,,,,
キングヘイロー,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
キンシャサノキセキ,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
クロフネ,,,,,,,,,,,14.0,,,,,,,,,,15.0,,20.0,,,,,
ゴールドシップ,,,,,,,11.0,,,,,,,,,,,,,,,,,21.0,14.0,,,
ジャスタウェイ,,,,,,,15.0,,,,,16.0,,,,,,15.0,,,,,,,,,,
ステイゴールド,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,
ダイワメジャー,,,,,,,11.0,23.0,,,,29.0,,,,,,,,,,,,,,,,
ディープインパクト,10.0,,,,,,15.0,,,,,,,,,,,,,,,,,,,26.0,,
トゥザグローリー,,,,,,,,,,27.0,,,,,,12.0,,,,,,,,,,,,
ネオユニヴァース,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,
ノヴェリストNovellist(愛),,,,15.0,,,14.0,,,,,,,12.0,,,,,,12.0,14.0,,,,,,,
ハーツクライ,,19.0,,,,,27.0,,,24.0,,,,,,,,,,,,,,,,,,
ハービンジャーHarbinger(英),,,,12.0,,,,,,,36.0,,,14.0,,,,,,20.0,16.0,,,,,,,
フェノーメノ,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,
ブラックタイド,,,,,,12.0,21.0,,,,,,,,,,,,,,,,,,,,,
マジェスティックウォリアーMajestic Warrior(米),,,,,,,12.0,,,,,11.0,,15.0,,,,,,,,,,,,,,
マツリダゴッホ,,,,,16.0,,,,,,,,,,,,,,,,,,,,33.0,24.0,,
マンハッタンカフェ,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,
メイショウサムソン,,,,32.0,,,,,,,11.0,,,,,,,,,,,,,,,,,
リーチザクラウン,,,,11.0,,,,,,,,,,,,,,,,,,,,,25.0,,,
ルーラーシップ,,,,10.0,,,,31.0,,,25.0,13.0,,20.0,,,,25.0,,21.0,19.0,10.0,13.0,,,,,19.0
ロードカナロア,,,,,,,,,,,,39.0,,,,,,,,21.0,,10.0,,,,,,
ヴィクトワールピサ,,,,,,16.0,,,,,,,,,,,,,,,,,,,21.0,,,
