sire,Fusaichi Pegasus,Giant's Causeway(米),Singspiel(愛),アグネスタキオン,アグネスデジタル,エルコンドルパサー,キングカメハメハ,クロフネ,ゴールドアリュール,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,ダイワメジャー,ダンスインザダーク,ティンバーカントリーTimber Country(米),ディープインパクト,ネオユニヴァース,ハーツクライ,フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),ホワイトマズルWhite Muzzle(英),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アドマイヤムーン,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,0.3333333333333333
エイシンフラッシュ,,,,,,,,,0.16666666666666666,0.1,0.24,,0.125,,0.1,,0.23076923076923078,,,0.36,,,0.05263157894736842,,,,0.18181818181818182,
エピファネイア,,,,,,,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,
オルフェーヴル,,,,0.2,,,0.5833333333333334,0.25,,,,0.35714285714285715,,,,,,,,,,,,0.21739130434782608,,,,
キズナ,,,0.43478260869565216,,,,,0.16666666666666666,,,,,,,0.3,,,,,,,,,0.2,,,,
キングカメハメハ,,,,,,,,,,,0.1836734693877551,,,0.2222222222222222,,,,,,0.28,,,,0.07142857142857142,,,,
キングヘイロー,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
キンシャサノキセキ,0.27586206896551724,,,,,,,,,,,,,,,,,,,,,,,,,,,
クロフネ,,,,,,,,,,,0.21428571428571427,,,,,,,,,,0.3333333333333333,,0.1,,,,,
ゴールドシップ,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,0.047619047619047616,0.5714285714285714,,,
ジャスタウェイ,,,,,,,0.13333333333333333,,,,,0.125,,,,,,0.06666666666666667,,,,,,,,,,
ステイゴールド,,,,,,,,,,,,0.29411764705882354,,,,,,,,,,,,,,,,
ダイワメジャー,,,,,,,0.36363636363636365,0.17391304347826086,,,,0.10344827586206896,,,,,,,,,,,,,,,,
ディープインパクト,0.3,,,,,,0.4,,,,,,,,,,,,,,,,,,,0.2692307692307692,,
トゥザグローリー,,,,,,,,,,0.037037037037037035,,,,,,0.16666666666666666,,,,,,,,,,,,
ネオユニヴァース,,,,,,,,,,,,0.21428571428571427,,,,,,,,,,,,,,,,
ノヴェリストNovellist(愛),,,,0.3333333333333333,,,0.2857142857142857,,,,,,,0.08333333333333333,,,,,,0.3333333333333333,0.42857142857142855,,,,,,,
ハーツクライ,,0.21052631578947367,,,,,0.2222222222222222,,,0.375,,,,,,,,,,,,,,,,,,
ハービンジャーHarbinger(英),,,,0.4166666666666667,,,,,,,0.3888888888888889,,,0.2857142857142857,,,,,,0.25,0.0625,,,,,,,
フェノーメノ,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,
ブラックタイド,,,,,,0.08333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,
マジェスティックウォリアーMajestic Warrior(米),,,,,,,0.3333333333333333,,,,,0.0,,0.3333333333333333,,,,,,,,,,,,,,
マツリダゴッホ,,,,,0.125,,,,,,,,,,,,,,,,,,,,0.18181818181818182,0.20833333333333334,,
マンハッタンカフェ,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,,,,,,
メイショウサムソン,,,,0.375,,,,,,,0.36363636363636365,,,,,,,,,,,,,,,,,
リーチザクラウン,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.08,,,
ルーラーシップ,,,,0.2,,,,0.22580645161290322,,,0.12,0.5384615384615384,,0.2,,,,0.08,,0.19047619047619047,0.10526315789473684,0.1,0.15384615384615385,,,,,0.15789473684210525
ロードカナロア,,,,,,,,,,,,0.4358974358974359,,,,,,,,0.0,,0.4,,,,,,
ヴィクトワールピサ,,,,,,0.4375,,,,,,,,,,,,,,,,,,,0.38095238095238093,,,
