sire,Fusaichi Pegasus,Giant's Causeway(米),Singspiel(愛),アグネスタキオン,アグネスデジタル,エルコンドルパサー,キングカメハメハ,クロフネ,ゴールドアリュール,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,ダイワメジャー,ダンスインザダーク,ティンバーカントリーTimber Country(米),ディープインパクト,ネオユニヴァース,ハーツクライ,フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),ホワイトマズルWhite Muzzle(英),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アドマイヤムーン,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,0.25
エイシンフラッシュ,,,,,,,,,0.1111111111111111,0.0,0.12,,0.0625,,0.05,,0.11538461538461539,,,0.28,,,0.05263157894736842,,,,0.09090909090909091,
エピファネイア,,,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,
オルフェーヴル,,,,0.1,,,0.25,0.16666666666666666,,,,0.14285714285714285,,,,,,,,,,,,0.08695652173913043,,,,
キズナ,,,0.21739130434782608,,,,,0.08333333333333333,,,,,,,0.2,,,,,,,,,0.1,,,,
キングカメハメハ,,,,,,,,,,,0.10204081632653061,,,0.14814814814814814,,,,,,0.2,,,,0.07142857142857142,,,,
キングヘイロー,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
キンシャサノキセキ,0.13793103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,
クロフネ,,,,,,,,,,,0.07142857142857142,,,,,,,,,,0.2,,0.05,,,,,
ゴールドシップ,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,0.0,0.42857142857142855,,,
ジャスタウェイ,,,,,,,0.06666666666666667,,,,,0.0625,,,,,,0.0,,,,,,,,,,
ステイゴールド,,,,,,,,,,,,0.2647058823529412,,,,,,,,,,,,,,,,
ダイワメジャー,,,,,,,0.09090909090909091,0.08695652173913043,,,,0.0,,,,,,,,,,,,,,,,
ディープインパクト,0.1,,,,,,0.26666666666666666,,,,,,,,,,,,,,,,,,,0.038461538461538464,,
トゥザグローリー,,,,,,,,,,0.037037037037037035,,,,,,0.08333333333333333,,,,,,,,,,,,
ネオユニヴァース,,,,,,,,,,,,0.07142857142857142,,,,,,,,,,,,,,,,
ノヴェリストNovellist(愛),,,,0.2,,,0.07142857142857142,,,,,,,0.0,,,,,,0.08333333333333333,0.07142857142857142,,,,,,,
ハーツクライ,,0.10526315789473684,,,,,0.14814814814814814,,,0.20833333333333334,,,,,,,,,,,,,,,,,,
ハービンジャーHarbinger(英),,,,0.25,,,,,,,0.2222222222222222,,,0.21428571428571427,,,,,,0.2,0.0,,,,,,,
フェノーメノ,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,
ブラックタイド,,,,,,0.08333333333333333,0.23809523809523808,,,,,,,,,,,,,,,,,,,,,
マジェスティックウォリアーMajestic Warrior(米),,,,,,,0.08333333333333333,,,,,0.0,,0.13333333333333333,,,,,,,,,,,,,,
マツリダゴッホ,,,,,0.0625,,,,,,,,,,,,,,,,,,,,0.030303030303030304,0.125,,
マンハッタンカフェ,,,,,,,,,,,,,,,,0.038461538461538464,,,,,,,,,,,,
メイショウサムソン,,,,0.15625,,,,,,,0.18181818181818182,,,,,,,,,,,,,,,,,
リーチザクラウン,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.08,,,
ルーラーシップ,,,,0.1,,,,0.0967741935483871,,,0.04,0.38461538461538464,,0.05,,,,0.08,,0.09523809523809523,0.10526315789473684,0.1,0.15384615384615385,,,,,0.05263157894736842
ロードカナロア,,,,,,,,,,,,0.23076923076923078,,,,,,,,0.0,,0.3,,,,,,
ヴィクトワールピサ,,,,,,0.1875,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,
