sire,Fusaichi Pegasus,Giant's Causeway(米),Singspiel(愛),アグネスタキオン,アグネスデジタル,エルコンドルパサー,キングカメハメハ,クロフネ,ゴールドアリュール,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,ダイワメジャー,ダンスインザダーク,ティンバーカントリーTimber Country(米),ディープインパクト,ネオユニヴァース,ハーツクライ,フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),ホワイトマズルWhite Muzzle(英),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アドマイヤムーン,,,,,,,,211.66666666666666,,,,,,,,,,,,,,,,,,,,267.5
エイシンフラッシュ,,,,,,,,,266.6666666666667,0.0,108.18181818181819,,124.28571428571429,,500.0,,150.66666666666666,,,245.625,,,51.25,,,,78.57142857142857,
エピファネイア,,,,,,,185.55555555555554,,,,,,,,,,,,,,,,,,,,,
オルフェーヴル,,,,0.0,,,221.25,109.0,,,,117.5,,,,,,,,,,,,50.0,,,,
キズナ,,,48.888888888888886,,,,,45.833333333333336,,,,,,,47.5,,,,,,,,,63.333333333333336,,,,
キングカメハメハ,,,,,,,,,,,48.611111111111114,,,45.0,,,,,,162.72727272727272,,,,158.33333333333334,,,,
キングヘイロー,,,,,,,,,,,,,,,,,,,156.66666666666666,,,,,,,,,
キンシャサノキセキ,59.473684210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,
クロフネ,,,,,,,,,,,40.833333333333336,,,,,,,,,,162.30769230769232,,0.0,,,,,
ゴールドシップ,,,,,,,168.0,,,,,,,,,,,,,,,,,0.0,253.33333333333334,,,
ジャスタウェイ,,,,,,,28.333333333333332,,,,,36.0,,,,,,0.0,,,,,,,,,,
ステイゴールド,,,,,,,,,,,,96.7741935483871,,,,,,,,,,,,,,,,
ダイワメジャー,,,,,,,43.333333333333336,73.125,,,,0.0,,,,,,,,,,,,,,,,
ディープインパクト,31.666666666666668,,,,,,71.42857142857143,,,,,,,,,,,,,,,,,,,7.7272727272727275,,
トゥザグローリー,,,,,,,,,,1000.0,,,,,,40.0,,,,,,,,,,,,
ネオユニヴァース,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,
ノヴェリストNovellist(愛),,,,71.81818181818181,,,25.454545454545453,,,,,,,0.0,,,,,,32.0,45.38461538461539,,,,,,,
ハーツクライ,,238.57142857142858,,,,,53.333333333333336,,,83.33333333333333,,,,,,,,,,,,,,,,,,
ハービンジャーHarbinger(英),,,,210.0,,,,,,,166.52173913043478,,,113.0,,,,,,107.6923076923077,0.0,,,,,,,
フェノーメノ,,,,,,,,,,,,,,,,178.57142857142858,,,,,,,,,,,,
ブラックタイド,,,,,,325.0,188.23529411764707,,,,,,,,,,,,,,,,,,,,,
マジェスティックウォリアーMajestic Warrior(米),,,,,,,15.0,,,,,0.0,,34.54545454545455,,,,,,,,,,,,,,
マツリダゴッホ,,,,,36.0,,,,,,,,,,,,,,,,,,,,7.857142857142857,50.526315789473685,,
マンハッタンカフェ,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,
メイショウサムソン,,,,41.111111111111114,,,,,,,97.77777777777777,,,,,,,,,,,,,,,,,
リーチザクラウン,,,,0.0,,,,,,,,,,,,,,,,,,,,,172.0,,,
ルーラーシップ,,,,42.5,,,,147.08333333333334,,,17.36842105263158,167.5,,40.0,,,,189.0909090909091,,107.5,70.0,28.75,103.0,,,,,25.555555555555557
ロードカナロア,,,,,,,,,,,,206.66666666666666,,,,,,,,0.0,,247.14285714285714,,,,,,
ヴィクトワールピサ,,,,,,73.0,,,,,,,,,,,,,,,,,,,12.857142857142858,,,
