sire,long,extended
アイルハヴアナザーI'll Have Another(米),0.0,62.94117647058823
アドマイヤムーン,0.0,115.21739130434783
エイシンフラッシュ,160.625,71.80851063829788
エピファネイア,0.0,94.48979591836735
オルフェーヴル,0.0,88.82978723404256
キズナ,81.42857142857143,106.05042016806723
キタサンブラック,0.0,110.26315789473684
キングカメハメハ,69.54545454545455,76.91056910569105
キングヘイロー,0.0,67.41935483870968
キンシャサノキセキ,0.0,77.0
クロフネ,0.0,86.0
ゴールドアリュール,0.0,77.6086956521739
ゴールドシップ,0.0,82.66666666666667
シニスターミニスターSinister Minister(米),0.0,60.4
シンボリクリスエス,0.0,31.2
ジャスタウェイ,0.0,90.9375
ジャングルポケット,0.0,73.79310344827586
スクリーンヒーロー,0.0,67.83783783783784
ステイゴールド,0.0,86.13207547169812
ストロングリターン,0.0,31.666666666666668
ダイワメジャー,40.4,90.0
ダンカークDunkirk(米),0.0,72.96296296296296
ディープインパクト,103.125,75.49549549549549
トゥザグローリー,0.0,42.58064516129032
トランセンド,0.0,84.41176470588235
ドゥラメンテ,0.0,66.38888888888889
ドリームジャーニー,0.0,125.45454545454545
ドレフォンDrefong(米),0.0,64.28571428571429
ネオユニヴァース,0.0,62.4390243902439
ノヴェリストNovellist(愛),0.0,103.0379746835443
ハーツクライ,121.0,73.29113924050633
ハービンジャーHarbinger(英),0.0,110.9090909090909
バゴBago(仏),0.0,67.91666666666667
フェノーメノ,0.0,94.35897435897436
ブラックタイド,68.46153846153847,90.25
ベルシャザール,0.0,104.76190476190476
ベーカバドBehkabad(仏),0.0,50.476190476190474
ホッコータルマエ,0.0,56.08695652173913
マジェスティックウォリアーMajestic Warrior(米),0.0,56.0
マツリダゴッホ,51.1764705882353,59.135802469135804
マンハッタンカフェ,0.0,86.44067796610169
メイショウサムソン,0.0,96.93877551020408
メイショウボーラー,0.0,105.65217391304348
モンテロッソMonterosso(英),0.0,76.25
モーリス,0.0,75.33333333333333
リーチザクラウン,85.0,50.666666666666664
ルーラーシップ,73.0,87.76315789473684
ロードカナロア,0.0,115.0
ワールドエース,0.0,68.75
ヴィクトワールピサ,0.0,100.17543859649123
