sire,long,extended
アイルハヴアナザーI'll Have Another(米),0.0,17.0
アドマイヤムーン,0.0,46.0
エイシンフラッシュ,16.0,94.0
エピファネイア,0.0,49.0
オルフェーヴル,0.0,94.0
キズナ,14.0,119.0
キタサンブラック,0.0,38.0
キングカメハメハ,22.0,123.0
キングヘイロー,0.0,31.0
キンシャサノキセキ,0.0,40.0
クロフネ,0.0,70.0
ゴールドアリュール,0.0,46.0
ゴールドシップ,0.0,75.0
シニスターミニスターSinister Minister(米),0.0,25.0
シンボリクリスエス,0.0,25.0
ジャスタウェイ,0.0,64.0
ジャングルポケット,0.0,29.0
スクリーンヒーロー,0.0,37.0
ステイゴールド,0.0,106.0
ストロングリターン,0.0,12.0
ダイワメジャー,25.0,153.0
ダンカークDunkirk(米),0.0,27.0
ディープインパクト,32.0,222.0
トゥザグローリー,0.0,31.0
トランセンド,0.0,34.0
ドゥラメンテ,0.0,36.0
ドリームジャーニー,0.0,33.0
ドレフォンDrefong(米),0.0,21.0
ネオユニヴァース,0.0,41.0
ノヴェリストNovellist(愛),0.0,79.0
ハーツクライ,20.0,158.0
ハービンジャーHarbinger(英),0.0,77.0
バゴBago(仏),0.0,24.0
フェノーメノ,0.0,39.0
ブラックタイド,13.0,120.0
ベルシャザール,0.0,21.0
ベーカバドBehkabad(仏),0.0,21.0
ホッコータルマエ,0.0,23.0
マジェスティックウォリアーMajestic Warrior(米),0.0,40.0
マツリダゴッホ,17.0,81.0
マンハッタンカフェ,0.0,59.0
メイショウサムソン,0.0,49.0
メイショウボーラー,0.0,23.0
モンテロッソMonterosso(英),0.0,24.0
モーリス,0.0,15.0
リーチザクラウン,10.0,30.0
ルーラーシップ,20.0,152.0
ロードカナロア,0.0,60.0
ワールドエース,0.0,16.0
ヴィクトワールピサ,0.0,57.0
