sire,long,extended
アイルハヴアナザーI'll Have Another(米),0.0,45.0
アドマイヤムーン,0.0,82.0
エイシンフラッシュ,23.0,204.0
エピファネイア,0.0,89.0
オルフェーヴル,0.0,143.0
キズナ,25.0,202.0
キタサンブラック,0.0,59.0
キングカメハメハ,26.0,184.0
キングヘイロー,0.0,57.0
キンシャサノキセキ,0.0,78.0
クロフネ,0.0,121.0
ゴールドアリュール,0.0,56.0
ゴールドシップ,0.0,149.0
シニスターミニスターSinister Minister(米),0.0,50.0
シンボリクリスエス,0.0,50.0
ジャスタウェイ,0.0,134.0
ジャングルポケット,0.0,55.0
スクリーンヒーロー,0.0,63.0
ステイゴールド,0.0,146.0
ストロングリターン,0.0,43.0
ダイワメジャー,51.0,243.0
ダンカークDunkirk(米),0.0,49.0
ディープインパクト,40.0,285.0
トゥザグローリー,0.0,74.0
トランセンド,0.0,50.0
ドゥラメンテ,0.0,56.0
ドリームジャーニー,0.0,47.0
ドレフォンDrefong(米),0.0,55.0
ネオユニヴァース,0.0,84.0
ノヴェリストNovellist(愛),0.0,96.0
ハーツクライ,32.0,242.0
ハービンジャーHarbinger(英),0.0,123.0
バゴBago(仏),0.0,54.0
フェノーメノ,0.0,80.0
ブラックタイド,31.0,179.0
ベルシャザール,0.0,49.0
ベーカバドBehkabad(仏),0.0,47.0
ホッコータルマエ,0.0,59.0
マジェスティックウォリアーMajestic Warrior(米),0.0,69.0
マツリダゴッホ,33.0,157.0
マンハッタンカフェ,0.0,90.0
メイショウサムソン,0.0,70.0
メイショウボーラー,0.0,47.0
モンテロッソMonterosso(英),0.0,46.0
モーリス,0.0,44.0
リーチザクラウン,20.0,63.0
ルーラーシップ,34.0,246.0
ロードカナロア,0.0,121.0
ワールドエース,0.0,50.0
ヴィクトワールピサ,0.0,109.0
