sire,long,extended
アイルハヴアナザーI'll Have Another(米),0.0,0.06666666666666667
アドマイヤムーン,0.0,0.25609756097560976
エイシンフラッシュ,0.43478260869565216,0.15196078431372548
エピファネイア,0.0,0.1348314606741573
オルフェーヴル,0.0,0.27972027972027974
キズナ,0.28,0.30198019801980197
キタサンブラック,0.0,0.3728813559322034
キングカメハメハ,0.15384615384615385,0.20652173913043478
キングヘイロー,0.0,0.14035087719298245
キンシャサノキセキ,0.0,0.16666666666666666
クロフネ,0.0,0.1652892561983471
ゴールドアリュール,0.0,0.21428571428571427
ゴールドシップ,0.0,0.11409395973154363
シニスターミニスターSinister Minister(米),0.0,0.14
シンボリクリスエス,0.0,0.06
ジャスタウェイ,0.0,0.1791044776119403
ジャングルポケット,0.0,0.2
スクリーンヒーロー,0.0,0.15873015873015872
ステイゴールド,0.0,0.23972602739726026
ストロングリターン,0.0,0.11627906976744186
ダイワメジャー,0.11764705882352941,0.1934156378600823
ダンカークDunkirk(米),0.0,0.20408163265306123
ディープインパクト,0.3,0.2596491228070175
トゥザグローリー,0.0,0.10810810810810811
トランセンド,0.0,0.2
ドゥラメンテ,0.0,0.23214285714285715
ドリームジャーニー,0.0,0.23404255319148937
ドレフォンDrefong(米),0.0,0.14545454545454545
ネオユニヴァース,0.0,0.09523809523809523
ノヴェリストNovellist(愛),0.0,0.25
ハーツクライ,0.21875,0.21074380165289255
ハービンジャーHarbinger(英),0.0,0.2926829268292683
バゴBago(仏),0.0,0.14814814814814814
フェノーメノ,0.0,0.125
ブラックタイド,0.1935483870967742,0.2346368715083799
ベルシャザール,0.0,0.14285714285714285
ベーカバドBehkabad(仏),0.0,0.1276595744680851
ホッコータルマエ,0.0,0.11864406779661017
マジェスティックウォリアーMajestic Warrior(米),0.0,0.18840579710144928
マツリダゴッホ,0.09090909090909091,0.10191082802547771
マンハッタンカフェ,0.0,0.15555555555555556
メイショウサムソン,0.0,0.24285714285714285
メイショウボーラー,0.0,0.14893617021276595
モンテロッソMonterosso(英),0.0,0.10869565217391304
モーリス,0.0,0.13636363636363635
リーチザクラウン,0.15,0.06349206349206349
ルーラーシップ,0.20588235294117646,0.18699186991869918
ロードカナロア,0.0,0.2066115702479339
ワールドエース,0.0,0.2
ヴィクトワールピサ,0.0,0.1834862385321101
