sire,long,extended
アイルハヴアナザーI'll Have Another(米),0.0,75.29411764705883
アドマイヤムーン,0.0,211.30434782608697
エイシンフラッシュ,266.875,137.6595744680851
エピファネイア,0.0,122.65306122448979
オルフェーヴル,0.0,100.0
キズナ,87.85714285714286,92.3529411764706
キタサンブラック,0.0,146.05263157894737
キングカメハメハ,51.81818181818182,99.83739837398375
キングヘイロー,0.0,102.90322580645162
キンシャサノキセキ,0.0,107.75
クロフネ,0.0,69.14285714285714
ゴールドアリュール,0.0,98.04347826086956
ゴールドシップ,0.0,76.53333333333333
シニスターミニスターSinister Minister(米),0.0,125.2
シンボリクリスエス,0.0,8.0
ジャスタウェイ,0.0,15.78125
ジャングルポケット,0.0,53.44827586206897
スクリーンヒーロー,0.0,70.8108108108108
ステイゴールド,0.0,104.24528301886792
ストロングリターン,0.0,75.0
ダイワメジャー,25.6,109.80392156862744
ダンカークDunkirk(米),0.0,111.11111111111111
ディープインパクト,79.0625,57.2972972972973
トゥザグローリー,0.0,77.41935483870968
トランセンド,0.0,74.70588235294117
ドゥラメンテ,0.0,68.33333333333333
ドリームジャーニー,0.0,102.72727272727273
ドレフォンDrefong(米),0.0,52.857142857142854
ネオユニヴァース,0.0,55.36585365853659
ノヴェリストNovellist(愛),0.0,50.75949367088607
ハーツクライ,65.5,76.32911392405063
ハービンジャーHarbinger(英),0.0,144.54545454545453
バゴBago(仏),0.0,65.83333333333333
フェノーメノ,0.0,68.2051282051282
ブラックタイド,56.92307692307692,108.58333333333333
ベルシャザール,0.0,61.42857142857143
ベーカバドBehkabad(仏),0.0,90.47619047619048
ホッコータルマエ,0.0,137.3913043478261
マジェスティックウォリアーMajestic Warrior(米),0.0,21.0
マツリダゴッホ,0.0,26.91358024691358
マンハッタンカフェ,0.0,66.61016949152543
メイショウサムソン,0.0,118.57142857142857
メイショウボーラー,0.0,299.5652173913044
モンテロッソMonterosso(英),0.0,55.0
モーリス,0.0,67.33333333333333
リーチザクラウン,0.0,67.33333333333333
ルーラーシップ,104.0,95.78947368421052
ロードカナロア,0.0,146.16666666666666
ワールドエース,0.0,10.625
ヴィクトワールピサ,0.0,43.1578947368421
