sire,total_runs,total_top3,top3_rate,top2_rate,win_rate,avg_distance,weighted_dist_sum,best_distance,best_dist_cat,win_return_pct,place_return_pct
ロードカナロア,5768,1576,0.27323162274618584,0.19989597780859916,0.10592926490984743,1547.122052704577,2440700,1549,mile,88.2,79.1
ディープインパクト,5591,1705,0.3049543909855124,0.21015918440350564,0.11125022357360043,1867.787515650152,3198600,1876,intermediate,78.1,77.6
エピファネイア,5134,1397,0.2721075185040904,0.18445656408258668,0.09427347097779509,1768.504090377873,2520100,1804,intermediate,74.6,76.7
キズナ,4767,1388,0.2911684497587581,0.20348227396685548,0.10782462764841619,1785.0430039857354,2516900,1813,intermediate,86.9,83.4
ハーツクライ,4398,1099,0.24988631195998182,0.16371077762619374,0.08276489313324238,1904.1837198726694,2070500,1884,intermediate,70.4,72.9
ルーラーシップ,4196,980,0.23355576739752146,0.1532411820781697,0.07650142993326978,1834.8903717826502,1817500,1855,intermediate,75.4,78.5
ハービンジャーHarbinger(英),3951,886,0.22424702606934954,0.14679827891672995,0.07162743609212857,1877.803087825867,1685700,1903,intermediate,76.8,79.7
モーリス,3735,1000,0.2677376171352075,0.1825970548862115,0.10227576974564927,1646.1311914323962,1654800,1655,mile,81.5,81.4
ドゥラメンテ,3504,1005,0.2868150684931507,0.19577625570776255,0.10159817351598173,1836.9577625570776,1884800,1875,intermediate,83.2,81.6
ゴールドシップ,3446,769,0.22315728380731284,0.1453859547301219,0.0641323273360418,2012.391178177597,1558900,2027,intermediate,74.0,83.3
ダイワメジャー,3113,744,0.23899775136524254,0.1583681336331513,0.07452618053324767,1495.5669771924188,1101700,1481,mile,75.1,78.2
オルフェーヴル,2837,635,0.2238279873105393,0.14628128304547056,0.07296439901304194,1860.5569263306309,1223100,1926,intermediate,85.5,84.0
ジャスタウェイ,2137,448,0.20963968179691156,0.1399157697707066,0.06972391202620495,1763.3130556855406,808400,1804,intermediate,79.5,78.0
リオンディーズ,2116,501,0.23676748582230625,0.15595463137996218,0.07419659735349717,1604.2060491493385,799900,1597,mile,70.8,82.7
シルバーステート,2056,518,0.2519455252918288,0.16780155642023345,0.07587548638132295,1663.6673151750972,885500,1709,mile,75.7,86.4
スクリーンヒーロー,1981,493,0.24886420999495204,0.16304896516910652,0.07824331145885917,1694.5482079757699,843100,1710,mile,77.7,87.0
キングカメハメハ,1905,511,0.26824146981627295,0.1921259842519685,0.09291338582677165,1922.992125984252,986600,1931,intermediate,75.5,80.3
キタサンブラック,1827,571,0.3125342090859332,0.2222222222222222,0.12205801860974275,1785.057471264368,1019600,1786,mile,79.3,78.2
ヴィクトワールピサ,1726,325,0.18829663962920046,0.12108922363847045,0.055619930475086905,1696.0602549246814,542800,1670,mile,81.1,77.2
ブラックタイド,1690,315,0.1863905325443787,0.11242603550295859,0.04970414201183432,1745.5029585798816,569500,1808,intermediate,62.2,78.4
エイシンフラッシュ,1671,247,0.1478156792339916,0.09515260323159784,0.0466786355475763,1682.7648114901256,419000,1696,mile,72.7,66.7
キンシャサノキセキ,1458,239,0.16392318244170095,0.09876543209876543,0.037037037037037035,1408.9849108367628,335300,1403,mile,44.8,68.2
ミッキーアイル,1427,359,0.2515767344078486,0.16608269096005607,0.07498248072880168,1421.9341275402944,504600,1406,mile,73.1,81.4
イスラボニータ,1422,356,0.25035161744022505,0.16244725738396623,0.08368495077355836,1545.6399437412097,554000,1556,mile,87.6,86.1
リアルスティール,1283,373,0.2907248636009353,0.20187061574434917,0.1122369446609509,1756.664068589244,665000,1783,mile,104.2,85.3
ビッグアーサー,1253,310,0.24740622505985635,0.16839584996009577,0.08619313647246608,1291.3008778930566,384300,1240,sprint,86.9,81.1
サトノダイヤモンド,1243,295,0.23732904263877716,0.15526950925181013,0.08527755430410297,1805.1488334674175,527100,1787,mile,97.5,81.4
ドレフォンDrefong(米),1150,252,0.21913043478260869,0.14347826086956522,0.06869565217391305,1574.0869565217392,394600,1566,mile,68.7,73.5
ブリックスアンドモルタルBricks and Mortar(米),1114,273,0.24506283662477557,0.16786355475763015,0.0843806104129264,1768.9407540394973,478200,1752,mile,73.5,79.6
ディープブリランテ,1091,190,0.17415215398716774,0.10174152153987168,0.044912923923006415,1661.6865261228231,319900,1684,mile,101.8,84.0
ダノンバラード,1087,204,0.18767249310027598,0.11683532658693652,0.050597976080956765,1724.563017479301,354500,1738,mile,59.3,76.5
ノヴェリストNovellist(愛),1075,214,0.19906976744186047,0.12186046511627907,0.06046511627906977,1772.2790697674418,391600,1830,intermediate,79.2,85.7
アドマイヤムーン,1056,173,0.16382575757575757,0.10227272727272728,0.043560606060606064,1450.8522727272727,242800,1403,mile,67.0,73.2
レイデオロ,1034,273,0.2640232108317215,0.18375241779497098,0.09961315280464217,1877.659574468085,524200,1920,intermediate,90.5,83.6
ワールドエース,1018,168,0.1650294695481336,0.09233791748526522,0.043222003929273084,1660.5108055009823,287200,1710,mile,58.3,73.8
サトノクラウン,1011,162,0.16023738872403562,0.10781404549950543,0.04945598417408507,1761.8199802176064,298500,1843,intermediate,81.7,73.5
マツリダゴッホ,952,136,0.14285714285714285,0.08298319327731092,0.04096638655462185,1454.5168067226891,192000,1412,mile,68.4,77.2
リアルインパクト,915,178,0.19453551912568307,0.11912568306010929,0.06120218579234973,1558.4699453551912,273600,1537,mile,87.0,73.5
バゴBago(仏),871,163,0.18714121699196326,0.11366245694603903,0.05625717566016074,1749.2537313432836,282100,1731,mile,61.7,81.0
ラブリーデイ,833,162,0.19447779111644659,0.12004801920768307,0.05282112845138055,1681.032412965186,273300,1687,mile,70.4,91.3
マクフィMakfi(英),821,170,0.20706455542021923,0.13885505481120586,0.06090133982947625,1494.884287454324,254000,1494,mile,93.8,90.2
トーセンラー,791,152,0.19216182048040456,0.12515802781289506,0.06573957016434892,1660.3034134007585,257600,1695,mile,108.5,84.4
アメリカンペイトリオット,757,162,0.21400264200792601,0.13474240422721268,0.07001321003963012,1532.7608982826948,236500,1460,mile,96.2,85.6
サトノアラジン,753,138,0.18326693227091634,0.1248339973439575,0.055776892430278883,1635.9893758300134,223400,1619,mile,79.0,78.8
スワーヴリチャード,750,200,0.26666666666666666,0.17866666666666667,0.10266666666666667,1691.3333333333333,347200,1736,mile,70.6,76.6
カレンブラックヒル,744,109,0.14650537634408603,0.0967741935483871,0.03763440860215054,1464.516129032258,157600,1446,mile,56.3,76.2
デクラレーションオブウォー,684,159,0.2324561403508772,0.1695906432748538,0.08333333333333333,1677.923976608187,271500,1708,mile,100.8,83.3
ディスクリートキャットDiscreet Cat(米),679,123,0.18114874815905743,0.11487481590574374,0.05743740795287187,1411.6347569955817,166900,1357,sprint,126.8,97.4
エイシンヒカリ,674,134,0.19881305637982197,0.13056379821958458,0.06083086053412463,1577.448071216617,209100,1560,mile,104.8,89.3
ジャングルポケット,634,101,0.15930599369085174,0.09305993690851735,0.04258675078864353,1817.6656151419559,186800,1850,intermediate,96.7,81.9
ジョーカプチーノ,631,111,0.17591125198098256,0.09033280507131537,0.04754358161648178,1410.9350237717908,151600,1366,sprint,99.7,86.1
サートゥルナーリア,612,195,0.31862745098039214,0.238562091503268,0.14705882352941177,1750.1633986928105,340400,1746,mile,59.9,65.7
ストロングリターン,566,68,0.12014134275618374,0.07243816254416961,0.0176678445229682,1553.7102473498232,98800,1453,mile,33.2,64.1
ファインニードル,550,141,0.25636363636363635,0.17454545454545456,0.10363636363636364,1364.5454545454545,188700,1338,sprint,124.9,84.3
ロゴタイプ,529,80,0.15122873345935728,0.08128544423440454,0.04158790170132325,1604.1587901701323,122800,1535,mile,44.1,82.8
ディーマジェスティ,514,123,0.23929961089494164,0.14202334630350194,0.0622568093385214,1626.6536964980544,201900,1641,mile,41.6,67.7
リーチザクラウン,513,74,0.1442495126705653,0.10136452241715399,0.050682261208576995,1496.4912280701753,106200,1435,mile,77.1,77.2
スピルバーグ,506,86,0.16996047430830039,0.10276679841897234,0.04940711462450593,1730.4347826086957,149000,1733,mile,72.8,78.6
アルアイン,505,102,0.201980198019802,0.13861386138613863,0.05742574257425743,1656.4356435643565,159900,1568,mile,63.5,78.5
ビーチパトロールBeach Patrol(米),486,68,0.13991769547325103,0.08436213991769548,0.04526748971193416,1724.6913580246915,121900,1793,mile,115.6,88.7
Frankel,478,164,0.34309623430962344,0.23430962343096234,0.10669456066945607,1568.6192468619247,262400,1600,mile,63.0,84.5
フェノーメノ,454,67,0.14757709251101322,0.08590308370044053,0.028634361233480177,1835.6828193832598,131100,1957,intermediate,43.7,77.4
マジェスティックウォリアーMajestic Warrior(米),453,55,0.12141280353200883,0.059602649006622516,0.02869757174392936,1611.9205298013244,88200,1604,mile,63.9,75.9
ダンカークDunkirk(米),445,44,0.09887640449438202,0.07865168539325842,0.038202247191011236,1621.573033707865,69500,1580,mile,92.1,79.2
メイショウサムソン,442,78,0.17647058823529413,0.11764705882352941,0.04072398190045249,1732.579185520362,145500,1865,intermediate,62.1,80.6
トゥザグローリー,422,56,0.13270142180094788,0.08767772511848342,0.045023696682464455,1654.739336492891,91200,1629,mile,126.2,99.1
マインドユアビスケッツMind Your Biscuits(米),420,78,0.18571428571428572,0.1380952380952381,0.07142857142857142,1631.6666666666667,128100,1642,mile,186.9,121.4
ドリームジャーニー,419,92,0.21957040572792363,0.13126491646778043,0.050119331742243436,1870.8830548926014,177600,1930,intermediate,50.9,73.5
