sire,sprint,mile,intermediate,long,extended,cluster,cluster_name
American Pharoah(米),0.5,0.26666666666666666,0.1,0.0,0.0,2,短距離 (〜1400m)
Dark Angel,0.37037037037037035,0.2597402597402597,0.0,0.0,0.0,2,短距離 (〜1400m)
Dubawi,0.0,0.41935483870967744,0.55,0.0,0.0,4,中距離 (1800〜2400m)
Fastnet Rock(豪),0.4,0.2727272727272727,0.2,0.0,0.0,2,短距離 (〜1400m)
Frankel,0.2887323943661972,0.34269662921348315,0.3945578231292517,0.36363636363636365,0.0,4,中距離 (1800〜2400m)
Frosted(米),0.37209302325581395,0.2727272727272727,0.0,0.0,0.0,2,短距離 (〜1400m)
Gleneagles(愛),0.0,0.26666666666666666,0.30434782608695654,1.0,0.0,0,長距離 (2400〜2800m)
Golden Horn(英),0.0,0.125,0.25,0.3,0.0,1,中距離 (1800〜2400m)
Iffraaj,0.4117647058823529,0.36363636363636365,0.0,0.0,0.0,2,短距離 (〜1400m)
Into Mischief,0.25,0.36,0.2,0.25,0.0,0,長距離 (2400〜2800m)
Invincible Spirit(愛),0.3076923076923077,0.3448275862068966,0.0,0.0,0.0,2,短距離 (〜1400m)
Justify(米),0.375,0.16666666666666666,0.1111111111111111,0.0,0.0,2,短距離 (〜1400m)
Kingman(英),0.2641509433962264,0.29069767441860467,0.3076923076923077,0.0,0.0,4,中距離 (1800〜2400m)
Kitten's Joy(米),0.2727272727272727,0.2,0.15789473684210525,0.14285714285714285,0.0,2,短距離 (〜1400m)
Le Havre,0.0,0.225,0.2,0.3333333333333333,0.0,1,中距離 (1800〜2400m)
Medaglia d'Oro,0.358974358974359,0.14285714285714285,0.0,0.0,0.0,2,短距離 (〜1400m)
Nathaniel(愛),0.0,0.09523809523809523,0.16666666666666666,0.0,0.0,1,中距離 (1800〜2400m)
New Approach,0.2,0.25,0.3,0.0,0.0,4,中距離 (1800〜2400m)
No Nay Never,0.3333333333333333,0.3,0.5,0.0,0.0,4,中距離 (1800〜2400m)
Point of Entry,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.0,4,中距離 (1800〜2400m)
Practical Joke(米),0.28,0.25,0.0,0.0,0.0,2,短距離 (〜1400m)
Saxon Warrior(安平町),0.3181818181818182,0.2708333333333333,0.3333333333333333,0.0,0.0,4,中距離 (1800〜2400m)
Shalaa,0.3,0.09090909090909091,0.0,0.0,0.0,3,短距離 (〜1400m)
Shamardal(米),0.23076923076923078,0.20689655172413793,0.2222222222222222,0.0,0.0,2,短距離 (〜1400m)
Siyouni,0.3902439024390244,0.32142857142857145,0.43478260869565216,0.3333333333333333,0.0,4,中距離 (1800〜2400m)
Speightstown(米),0.36363636363636365,0.16666666666666666,0.0,0.0,0.0,2,短距離 (〜1400m)
Tapit(米),0.0,0.24,0.34375,0.0,0.0,1,中距離 (1800〜2400m)
Teofilo,0.0,0.1111111111111111,0.28125,0.0,0.0,1,中距離 (1800〜2400m)
Zoustar,0.21212121212121213,0.2857142857142857,0.6666666666666666,0.0,0.0,4,中距離 (1800〜2400m)
アイルハヴアナザーI'll Have Another(米),0.16853932584269662,0.16666666666666666,0.1419753086419753,0.2,0.0,1,中距離 (1800〜2400m)
アグネスデジタル,0.12962962962962962,0.0,0.09090909090909091,0.0,0.0,3,短距離 (〜1400m)
アサクサキングス,0.25,0.29411764705882354,0.0,0.5,0.0,0,長距離 (2400〜2800m)
アジアエクスプレス,0.18791946308724833,0.15,0.05714285714285714,0.0,0.0,3,短距離 (〜1400m)
アスカクリチャン,0.0,0.0,0.03225806451612903,0.0,0.0,3,短距離 (〜1400m)
アドマイヤマックス,0.14634146341463414,0.045454545454545456,0.0,0.0,0.0,3,短距離 (〜1400m)
アドマイヤマーズ,0.3384615384615385,0.23225806451612904,0.2545454545454545,0.5,0.0,0,長距離 (2400〜2800m)
アドマイヤムーン,0.1970649895178197,0.14168937329700274,0.125,0.15,0.0,1,中距離 (1800〜2400m)
アドミラブル,0.11764705882352941,0.15384615384615385,0.0,0.0,0.0,3,短距離 (〜1400m)
アニマルキングダムAnimal Kingdom(米),0.23076923076923078,0.03333333333333333,0.15584415584415584,1.0,0.0,0,長距離 (2400〜2800m)
アポロキングダム,0.19230769230769232,0.0,0.25,0.0,0.0,3,短距離 (〜1400m)
アメリカンペイトリオット,0.2862595419847328,0.18146718146718147,0.167420814479638,0.21428571428571427,0.0,0,長距離 (2400〜2800m)
アルアイン,0.330188679245283,0.16049382716049382,0.17410714285714285,0.16666666666666666,0.0,2,短距離 (〜1400m)
アンライバルド,0.08737864077669903,0.13157894736842105,0.16981132075471697,0.0,0.0,1,中距離 (1800〜2400m)
イスラボニータ,0.2047244094488189,0.28440366972477066,0.24250681198910082,0.11764705882352941,0.3333333333333333,0,長距離 (2400〜2800m)
インディチャンプ,0.2222222222222222,0.2619047619047619,0.4444444444444444,0.0,0.0,4,中距離 (1800〜2400m)
ウインバリアシオン,0.0,0.030303030303030304,0.21212121212121213,0.0,0.3333333333333333,3,短距離 (〜1400m)
ウインブライト,0.5,0.11214953271028037,0.21052631578947367,0.3333333333333333,0.0,0,長距離 (2400〜2800m)
エイシンヒカリ,0.2146341463414634,0.20704845814977973,0.18141592920353983,0.125,0.0,1,中距離 (1800〜2400m)
エイシンフラッシュ,0.16231884057971013,0.13137254901960785,0.14560439560439561,0.20454545454545456,0.0,1,中距離 (1800〜2400m)
エスケンデレヤ,0.15384615384615385,0.0,0.11267605633802817,0.25,0.0,3,短距離 (〜1400m)
エスポワールシチー,0.14814814814814814,0.0,0.14705882352941177,0.0,0.0,3,短距離 (〜1400m)
エピファネイア,0.14171656686626746,0.27909738717339666,0.29077743902439024,0.2842809364548495,0.3076923076923077,0,長距離 (2400〜2800m)
エポカドーロ,0.0,0.0967741935483871,0.3333333333333333,0.0,0.0,1,中距離 (1800〜2400m)
エンパイアメーカーEmpire Maker(米),0.15384615384615385,0.05,0.0,0.16666666666666666,0.0,3,短距離 (〜1400m)
オウケンブルースリ,0.0,0.3333333333333333,0.1,0.0,0.0,1,中距離 (1800〜2400m)
オルフェーヴル,0.2062146892655367,0.1719939117199391,0.23575498575498577,0.27450980392156865,0.3076923076923077,0,長距離 (2400〜2800m)
オーシャンブルー,0.18181818181818182,0.16666666666666666,0.07894736842105263,0.21428571428571427,0.0,1,中距離 (1800〜2400m)
カラヴァッジオ,0.19047619047619047,0.4230769230769231,0.0,0.0,0.0,2,短距離 (〜1400m)
カリフォルニアクロームCalifornia Chrome(米),0.18292682926829268,0.1271186440677966,0.1592356687898089,0.0,0.0,1,中距離 (1800〜2400m)
カレンブラックヒル,0.14935064935064934,0.15384615384615385,0.1320754716981132,0.0,0.0,1,中距離 (1800〜2400m)
ガルボ,0.03333333333333333,0.14634146341463414,0.10869565217391304,0.3076923076923077,0.0,1,中距離 (1800〜2400m)
キズナ,0.22364217252396165,0.2823179791976226,0.30844293593551125,0.32653061224489793,0.2826086956521739,0,長距離 (2400〜2800m)
キセキ,0.0,0.0,0.12121212121212122,0.0,0.0,3,短距離 (〜1400m)
