sire,Galileo(愛),Storm Cat(米),アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),ファルブラヴFalbrav(愛),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米)
イスラボニータ,1696.0,,,,,,1604.0816326530612,1341.1764705882354,1416.6666666666667,1386.6666666666667,,1572.7272727272727,1421.4285714285713,1640.0,,,1383.3333333333333,1520.0,1692.3076923076924,,1768.421052631579,,1620.5128205128206,1850.0,,,1489.855072463768,1411.764705882353,1808.0,1589.4736842105262
エイシンフラッシュ,,,1949.21875,,,,1737.142857142857,1636.3636363636363,2246.153846153846,,1653.6082474226805,1796.2962962962963,1995.8333333333333,,1594.8275862068965,1911.111111111111,,,1600.0,1668.0851063829787,1630.2631578947369,1587.878787878788,1574.1935483870968,1585.7142857142858,,1432.5581395348838,1639.1304347826087,,1800.0,
エピファネイア,1835.2941176470588,1871.4285714285713,1811.578947368421,1981.8181818181818,1666.6666666666667,1810.2564102564102,1733.0258302583027,2022.2222222222222,1653.061224489796,1620.0,1740.909090909091,,1952.4590163934427,1911.8181818181818,,1732.3308270676691,,1697.7777777777778,1620.5035971223022,1789.142857142857,1827.5418275418276,1691.2621359223301,1793.6842105263158,1751.5151515151515,1371.4285714285713,1819.5121951219512,1923.076923076923,2027.2727272727273,1789.2561983471073,
オルフェーヴル,1946.6666666666667,1442.5531914893618,1690.909090909091,1913.0434782608695,1650.0,,1813.0434782608695,1338.4615384615386,1779.1666666666667,1600.0,,1940.3508771929824,2316.6666666666665,,1615.3846153846155,,1991.304347826087,1983.3333333333333,,1315.0,1965.7142857142858,2050.0,2085.714285714286,1740.0,1564.7058823529412,2047.6190476190477,1579.4117647058824,1700.0,2328.0,1976.4705882352941
キズナ,1628.8461538461538,,,1978.9473684210527,1743.3962264150944,1696.2962962962963,1846.1538461538462,1806.1224489795918,1775.0,1410.1694915254238,,1823.699421965318,2010.204081632653,,1503.448275862069,1668.421052631579,1650.0,1679.3103448275863,1613.3333333333333,,,,,1800.0,1360.344827586207,,1850.9803921568628,1758.5106382978724,,
キタサンブラック,2016.6666666666667,,,1437.5,1526.0869565217392,1636.3636363636363,1881.767955801105,1961.5384615384614,1703.225806451613,,,1990.909090909091,1981.8181818181818,,,,1581.8181818181818,,1714.2857142857142,,,1876.1904761904761,1815.3846153846155,2015.625,1846.1538461538462,,1975.0,1434.7826086956522,,2200.0
キングカメハメハ,1633.3333333333333,1836.5853658536585,1607.142857142857,2118.181818181818,,,,2060.0,1983.5294117647059,1360.0,2064.957264957265,1923.076923076923,2102.439024390244,1945.4545454545455,1799.1666666666667,1572.2222222222222,,,2082.608695652174,2071.311475409836,2023.9583333333333,1609.090909090909,1991.4285714285713,,1748.4848484848485,1749.0196078431372,1838.55421686747,,2072.093023255814,
キンシャサノキセキ,1430.7692307692307,,1984.6153846153845,,,,1398.1132075471698,1311.111111111111,1340.0,1253.030303030303,,1487.5,1520.0,,1300.0,,1446.6666666666667,1450.0,,,1263.157894736842,,,,,,1280.6451612903227,,,
ゴールドシップ,,,2013.2075471698113,2060.5504587155965,2054.3478260869565,,1997.9166666666667,,1880.6122448979593,,,1863.6363636363637,1927.2727272727273,,1946.1538461538462,2260.0,2293.75,2022.5,,,1982.142857142857,,,2338.8888888888887,,,2209.090909090909,2053.4883720930234,,2041.0919540229886
サトノダイヤモンド,1866.6666666666667,1920.0,1945.4545454545455,,1700.0,,1931.060606060606,,1760.0,1403.5087719298247,,1963.157894736842,2058.3333333333335,1987.5,,,1820.8333333333333,1693.3333333333333,,,,,,,,,1900.0,1863.6363636363637,,
シルバーステート,,,1363.6363636363637,1920.0,1613.3333333333333,1853.4883720930231,1582.7338129496402,1622.8070175438597,1460.6060606060605,1571.4285714285713,,1686.3636363636363,,,1230.7692307692307,1209.090909090909,1676.4705882352941,1960.0,,2055.5555555555557,,1330.0,1677.7777777777778,2037.2093023255813,,1750.0,1624.3243243243244,1686.9565217391305,1984.2105263157894,
