sire,Galileo(愛),Storm Cat(米),アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),ファルブラヴFalbrav(愛),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米)
イスラボニータ,119.375,,,,,,35.625,42.22222222222222,57.5,127.6923076923077,,59.09090909090909,45.38461538461539,111.0,,,85.6,105.0,0.0,,18.333333333333332,,62.857142857142854,100.74074074074075,,,75.94594594594595,69.16666666666667,130.0,0.0
エイシンフラッシュ,,,33.23529411764706,,,,40.0,20.0,152.5,,80.19417475728156,41.111111111111114,108.97435897435898,,65.86206896551724,43.75,,,45.714285714285715,87.58620689655173,70.85714285714286,22.5,0.0,23.333333333333332,,71.25,87.85714285714286,,71.11111111111111,
エピファネイア,70.0,24.0,81.44508670520231,70.0,34.61538461538461,75.3125,74.6984126984127,117.0,76.875,65.67567567567568,57.89473684210526,,74.91525423728814,86.12903225806451,,77.3076923076923,,94.44444444444444,73.85093167701864,87.40384615384616,78.05309734513274,88.03030303030303,72.72727272727273,68.75,79.16666666666667,64.75,34.0,47.72727272727273,53.69230769230769,
オルフェーヴル,82.5,86.5,65.45454545454545,90.0,0.0,,67.79816513761467,55.0,77.4,135.3846153846154,,81.78217821782178,100.85714285714286,,53.75,,87.27272727272727,116.36363636363636,,101.17647058823529,53.63636363636363,80.0,0.0,15.714285714285714,46.666666666666664,260.0,23.2,25.0,117.6470588235294,111.42857142857143
キズナ,77.3972602739726,,,72.12121212121212,58.4,86.55172413793103,87.953216374269,95.80645161290323,77.0886075949367,53.42857142857143,,91.82539682539682,88.92857142857143,,78.46153846153847,86.19047619047619,90.0,90.0,0.0,,,,,58.333333333333336,70.27777777777777,,105.85714285714286,36.326530612244895,,
キタサンブラック,168.33333333333334,,,75.55555555555556,91.51515151515152,193.33333333333334,100.57692307692308,70.0,70.38461538461539,,,96.0,62.94117647058823,,,,30.0,,36.8,,,55.714285714285715,40.0,104.21052631578948,100.0,,61.81818181818182,84.66666666666667,,43.333333333333336
キングカメハメハ,0.0,85.86206896551724,91.66666666666667,48.75,,,,80.0,90.0,38.421052631578945,66.2043795620438,95.83333333333333,141.42857142857142,90.0,71.35416666666667,34.73684210526316,,,122.5,115.125,83.6574074074074,88.82352941176471,81.34615384615384,,102.0,45.88235294117647,59.23076923076923,,74.23076923076923,
キンシャサノキセキ,70.0,,0.0,,,,50.67796610169491,0.0,0.0,63.41463414634146,,0.0,112.85714285714286,,0.0,,105.55555555555556,0.0,,,153.0,,,,,,11.333333333333334,,,
ゴールドシップ,,,151.11111111111111,58.75,83.33333333333333,,72.5,,86.0,,,16.666666666666668,0.0,,174.0,154.28571428571428,68.57142857142857,106.30434782608695,,,56.0,,,50.0,,,109.64285714285714,85.38461538461539,,99.12820512820512
サトノダイヤモンド,44.0,126.66666666666667,0.0,,0.0,,109.2063492063492,,80.0,138.84615384615384,,69.23076923076923,113.33333333333333,220.0,,,70.0,111.11111111111111,,,,,,,,,64.28571428571429,42.0,,
シルバーステート,,,0.0,88.88888888888889,62.30769230769231,95.71428571428571,97.1604938271605,78.38709677419355,61.142857142857146,0.0,,32.0,,,95.55555555555556,48.666666666666664,112.94117647058823,115.0,,96.15384615384616,,0.0,168.57142857142858,90.4,,145.0,69.16666666666667,46.666666666666664,94.44444444444444,
