sire,Galileo(愛),Storm Cat(米),アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),ファルブラヴFalbrav(愛),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米)
イスラボニータ,25.0,,,,,,49.0,17.0,36.0,15.0,,44.0,28.0,30.0,,,42.0,10.0,13.0,,19.0,,39.0,44.0,,,69.0,17.0,25.0,19.0
エイシンフラッシュ,,,128.0,,,,35.0,11.0,13.0,,194.0,27.0,120.0,,58.0,63.0,,,57.0,94.0,152.0,33.0,31.0,14.0,,86.0,23.0,,23.0,
エピファネイア,17.0,21.0,285.0,11.0,30.0,39.0,542.0,18.0,98.0,70.0,22.0,,122.0,110.0,,266.0,,45.0,278.0,175.0,777.0,103.0,190.0,33.0,35.0,205.0,26.0,44.0,121.0,
オルフェーヴル,15.0,47.0,22.0,23.0,14.0,,253.0,13.0,96.0,81.0,,171.0,66.0,,13.0,,23.0,24.0,,40.0,70.0,20.0,14.0,15.0,17.0,21.0,68.0,20.0,25.0,17.0
キズナ,104.0,,,38.0,53.0,54.0,299.0,98.0,136.0,59.0,,173.0,49.0,,58.0,38.0,64.0,29.0,15.0,,,,,36.0,58.0,,102.0,94.0,,
キタサンブラック,12.0,,,16.0,46.0,22.0,181.0,26.0,62.0,,,22.0,22.0,,,,11.0,,42.0,,,21.0,13.0,32.0,13.0,,32.0,23.0,,11.0
キングカメハメハ,12.0,41.0,84.0,11.0,,,,10.0,85.0,20.0,234.0,52.0,41.0,11.0,120.0,36.0,,,23.0,122.0,288.0,22.0,70.0,,33.0,51.0,83.0,,43.0,
キンシャサノキセキ,39.0,,13.0,,,,106.0,18.0,20.0,66.0,,16.0,15.0,,10.0,,30.0,12.0,,,19.0,,,,,,31.0,,,
ゴールドシップ,,,53.0,109.0,46.0,,96.0,,98.0,,,22.0,11.0,,26.0,20.0,16.0,80.0,,,56.0,,,18.0,,,55.0,172.0,,348.0
サトノダイヤモンド,21.0,15.0,11.0,,12.0,,132.0,,10.0,57.0,,38.0,12.0,16.0,,,24.0,15.0,,,,,,,,,50.0,22.0,,
シルバーステート,,,11.0,10.0,30.0,43.0,139.0,57.0,66.0,21.0,,44.0,,,13.0,22.0,68.0,15.0,,18.0,,10.0,18.0,43.0,,12.0,37.0,23.0,38.0,
ジャスタウェイ,,25.0,23.0,11.0,64.0,,173.0,,76.0,55.0,,109.0,26.0,,,,22.0,10.0,,27.0,16.0,12.0,,33.0,17.0,,38.0,15.0,14.0,
スクリーンヒーロー,,,39.0,89.0,,16.0,50.0,25.0,48.0,,,88.0,22.0,62.0,,,25.0,,21.0,66.0,10.0,32.0,20.0,26.0,,,22.0,,23.0,225.0
ダイワメジャー,31.0,,,,,13.0,154.0,24.0,50.0,42.0,,70.0,85.0,,,,43.0,10.0,,,,,,,,,38.0,38.0,,
ディープインパクト,147.0,192.0,,12.0,,,281.0,57.0,115.0,29.0,,58.0,,,,,62.0,,,,,,,,42.0,,154.0,169.0,,
ディープブリランテ,,,,,46.0,,44.0,,17.0,14.0,,66.0,34.0,,,,,18.0,,23.0,,,22.0,,,,34.0,40.0,,
ドゥラメンテ,45.0,49.0,31.0,,40.0,,,71.0,98.0,23.0,,83.0,23.0,,20.0,45.0,17.0,15.0,34.0,30.0,144.0,50.0,60.0,74.0,28.0,13.0,44.0,,25.0,
ドレフォンDrefong(米),,,22.0,,12.0,,81.0,27.0,29.0,27.0,63.0,41.0,,26.0,32.0,75.0,,,72.0,,201.0,14.0,57.0,,,36.0,,,17.0,
ハーツクライ,74.0,124.0,,37.0,,,196.0,,154.0,87.0,,82.0,,,,,38.0,13.0,,,,,,,,,101.0,110.0,,39.0
