sire,Galileo(愛),Storm Cat(米),アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),ファルブラヴFalbrav(愛),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米)
イスラボニータ,0.4,,,,,,0.061224489795918366,0.17647058823529413,0.16666666666666666,0.3333333333333333,,0.1590909090909091,0.14285714285714285,0.2,,,0.38095238095238093,0.1,0.0,,0.15789473684210525,,0.23076923076923078,0.36363636363636365,,,0.2898550724637681,0.23529411764705882,0.32,0.0
エイシンフラッシュ,,,0.1328125,,,,0.14285714285714285,0.2727272727272727,0.46153846153846156,,0.19072164948453607,0.1111111111111111,0.18333333333333332,,0.1724137931034483,0.14285714285714285,,,0.07017543859649122,0.2553191489361702,0.13815789473684212,0.06060606060606061,0.0,0.07142857142857142,,0.19767441860465115,0.2608695652173913,,0.13043478260869565,
エピファネイア,0.23529411764705882,0.14285714285714285,0.28421052631578947,0.09090909090909091,0.16666666666666666,0.38461538461538464,0.26199261992619927,0.2777777777777778,0.2857142857142857,0.22857142857142856,0.22727272727272727,,0.1885245901639344,0.2909090909090909,,0.34962406015037595,,0.37777777777777777,0.2589928057553957,0.3028571428571429,0.31145431145431146,0.3106796116504854,0.2789473684210526,0.3333333333333333,0.22857142857142856,0.25365853658536586,0.11538461538461539,0.18181818181818182,0.1652892561983471,
オルフェーヴル,0.06666666666666667,0.23404255319148937,0.22727272727272727,0.17391304347826086,0.0,,0.16996047430830039,0.15384615384615385,0.28125,0.1728395061728395,,0.27485380116959063,0.25757575757575757,,0.15384615384615385,,0.21739130434782608,0.16666666666666666,,0.2,0.11428571428571428,0.2,0.07142857142857142,0.13333333333333333,0.29411764705882354,0.047619047619047616,0.10294117647058823,0.1,0.4,0.29411764705882354
キズナ,0.27884615384615385,,,0.4473684210526316,0.18867924528301888,0.37037037037037035,0.2976588628762542,0.35714285714285715,0.22794117647058823,0.22033898305084745,,0.37572254335260113,0.2857142857142857,,0.2413793103448276,0.2894736842105263,0.171875,0.4827586206896552,0.0,,,,,0.3888888888888889,0.22413793103448276,,0.3627450980392157,0.1595744680851064,,
キタサンブラック,0.5833333333333334,,,0.3125,0.34782608695652173,0.36363636363636365,0.40331491712707185,0.4230769230769231,0.3387096774193548,,,0.4090909090909091,0.36363636363636365,,,,0.18181818181818182,,0.16666666666666666,,,0.5238095238095238,0.07692307692307693,0.3125,0.3076923076923077,,0.34375,0.2608695652173913,,0.45454545454545453
キングカメハメハ,0.0,0.2682926829268293,0.2857142857142857,0.2727272727272727,,,,0.4,0.32941176470588235,0.2,0.20085470085470086,0.28846153846153844,0.2926829268292683,0.18181818181818182,0.3,0.1111111111111111,,,0.391304347826087,0.3770491803278688,0.3472222222222222,0.36363636363636365,0.2714285714285714,,0.30303030303030304,0.058823529411764705,0.18072289156626506,,0.18604651162790697,
キンシャサノキセキ,0.1282051282051282,,0.15384615384615385,,,,0.16981132075471697,0.0,0.05,0.18181818181818182,,0.0,0.3333333333333333,,0.1,,0.26666666666666666,0.0,,,0.5263157894736842,,,,,,0.06451612903225806,,,
ゴールドシップ,,,0.32075471698113206,0.1559633027522936,0.2826086956521739,,0.14583333333333334,,0.17346938775510204,,,0.13636363636363635,0.0,,0.34615384615384615,0.2,0.4375,0.3625,,,0.10714285714285714,,,0.2222222222222222,,,0.32727272727272727,0.2558139534883721,,0.29310344827586204
サトノダイヤモンド,0.5714285714285714,0.13333333333333333,0.0,,0.0,,0.3333333333333333,,0.3,0.2807017543859649,,0.3157894736842105,0.3333333333333333,0.125,,,0.125,0.3333333333333333,,,,,,,,,0.28,0.09090909090909091,,
