sire,Galileo(愛),Storm Cat(米),アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),ファルブラヴFalbrav(愛),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米)
イスラボニータ,0.16,,,,,,0.02040816326530612,0.0,0.027777777777777776,0.13333333333333333,,0.0,0.03571428571428571,0.06666666666666667,,,0.09523809523809523,0.0,0.0,,0.05263157894736842,,0.10256410256410256,0.1590909090909091,,,0.07246376811594203,0.058823529411764705,0.16,0.0
エイシンフラッシュ,,,0.0546875,,,,0.02857142857142857,0.0,0.3076923076923077,,0.05154639175257732,0.037037037037037035,0.041666666666666664,,0.06896551724137931,0.0,,,0.03508771929824561,0.05319148936170213,0.05263157894736842,0.06060606060606061,0.0,0.07142857142857142,,0.046511627906976744,0.08695652173913043,,0.0,
エピファネイア,0.17647058823529413,0.09523809523809523,0.08771929824561403,0.0,0.06666666666666667,0.07692307692307693,0.0959409594095941,0.1111111111111111,0.10204081632653061,0.05714285714285714,0.09090909090909091,,0.08196721311475409,0.1,,0.10902255639097744,,0.15555555555555556,0.08273381294964029,0.08,0.10296010296010295,0.14563106796116504,0.11578947368421053,0.12121212121212122,0.05714285714285714,0.07804878048780488,0.07692307692307693,0.045454545454545456,0.06611570247933884,
オルフェーヴル,0.0,0.06382978723404255,0.045454545454545456,0.08695652173913043,0.0,,0.05533596837944664,0.07692307692307693,0.07291666666666667,0.06172839506172839,,0.12280701754385964,0.045454545454545456,,0.0,,0.043478260869565216,0.041666666666666664,,0.025,0.02857142857142857,0.1,0.0,0.13333333333333333,0.11764705882352941,0.047619047619047616,0.014705882352941176,0.0,0.12,0.11764705882352941
キズナ,0.1346153846153846,,,0.15789473684210525,0.05660377358490566,0.07407407407407407,0.10702341137123746,0.16326530612244897,0.07352941176470588,0.06779661016949153,,0.1791907514450867,0.14285714285714285,,0.05172413793103448,0.10526315789473684,0.046875,0.1724137931034483,0.0,,,,,0.1388888888888889,0.06896551724137931,,0.11764705882352941,0.02127659574468085,,
キタサンブラック,0.25,,,0.125,0.10869565217391304,0.13636363636363635,0.143646408839779,0.3076923076923077,0.16129032258064516,,,0.18181818181818182,0.13636363636363635,,,,0.0,,0.09523809523809523,,,0.23809523809523808,0.07692307692307693,0.15625,0.07692307692307693,,0.125,0.13043478260869565,,0.18181818181818182
キングカメハメハ,0.0,0.04878048780487805,0.08333333333333333,0.09090909090909091,,,,0.4,0.16470588235294117,0.05,0.05982905982905983,0.038461538461538464,0.04878048780487805,0.0,0.11666666666666667,0.05555555555555555,,,0.21739130434782608,0.12295081967213115,0.125,0.09090909090909091,0.14285714285714285,,0.12121212121212122,0.0392156862745098,0.03614457831325301,,0.046511627906976744,
キンシャサノキセキ,0.05128205128205128,,0.0,,,,0.0660377358490566,0.0,0.0,0.045454545454545456,,0.0,0.0,,0.0,,0.0,0.0,,,0.15789473684210525,,,,,,0.03225806451612903,,,
ゴールドシップ,,,0.03773584905660377,0.06422018348623854,0.021739130434782608,,0.03125,,0.030612244897959183,,,0.045454545454545456,0.0,,0.19230769230769232,0.1,0.25,0.125,,,0.03571428571428571,,,0.1111111111111111,,,0.18181818181818182,0.05232558139534884,,0.09482758620689655
サトノダイヤモンド,0.2857142857142857,0.0,0.0,,0.0,,0.11363636363636363,,0.0,0.05263157894736842,,0.13157894736842105,0.0,0.0,,,0.041666666666666664,0.0,,,,,,,,,0.12,0.045454545454545456,,
シルバーステート,,,0.0,0.2,0.13333333333333333,0.11627906976744186,0.07194244604316546,0.12280701754385964,0.045454545454545456,0.0,,0.045454545454545456,,,0.15384615384615385,0.09090909090909091,0.04411764705882353,0.0,,0.16666666666666666,,0.0,0.05555555555555555,0.023255813953488372,,0.0,0.08108108108108109,0.0,0.13157894736842105,
ジャスタウェイ,,0.04,0.13043478260869565,0.0,0.078125,,0.06936416184971098,,0.02631578947368421,0.09090909090909091,,0.09174311926605505,0.038461538461538464,,,,0.09090909090909091,0.0,,0.1111111111111111,0.125,0.0,,0.0,0.058823529411764705,,0.13157894736842105,0.0,0.07142857142857142,
スクリーンヒーロー,,,0.05128205128205128,0.06741573033707865,,0.125,0.02,0.12,0.041666666666666664,,,0.09090909090909091,0.22727272727272727,0.016129032258064516,,,0.0,,0.047619047619047616,0.15151515151515152,0.0,0.03125,0.0,0.0,,,0.045454545454545456,,0.13043478260869565,0.08
