sire,Galileo(愛),Storm Cat(米),アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),ファルブラヴFalbrav(愛),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米)
イスラボニータ,100.625,,,,,,0.0,0.0,120.625,173.07692307692307,,0.0,33.07692307692308,282.0,,,37.6,0.0,0.0,,68.33333333333333,,72.85714285714286,171.4814814814815,,,39.729729729729726,25.0,180.0,0.0
エイシンフラッシュ,,,51.470588235294116,,,,46.0,0.0,278.75,,72.81553398058253,82.22222222222223,178.71794871794873,,60.3448275862069,0.0,,,17.61904761904762,58.62068965517241,108.71428571428571,52.5,0.0,53.333333333333336,,39.464285714285715,60.0,,0.0,
エピファネイア,165.0,75.0,86.30057803468208,0.0,26.923076923076923,32.8125,84.19047619047619,134.0,160.20833333333334,78.64864864864865,56.8421052631579,,59.49152542372882,78.70967741935483,,47.30769230769231,,102.5,61.05590062111801,49.51923076923077,56.52654867256637,94.84848484848484,111.5909090909091,65.625,68.75,59.5,103.0,50.0,57.53846153846154,
オルフェーヴル,0.0,109.0,93.63636363636364,148.0,0.0,,62.20183486238532,38.333333333333336,51.2,210.76923076923077,,107.42574257425743,133.14285714285714,,0.0,,26.363636363636363,0.0,,65.88235294117646,66.36363636363636,142.85714285714286,0.0,70.0,26.666666666666668,2060.0,36.4,0.0,120.0,168.57142857142858
キズナ,85.34246575342466,,,53.93939393939394,115.2,21.379310344827587,73.21637426900585,74.6774193548387,58.734177215189874,66.85714285714286,,129.44444444444446,64.64285714285714,,60.0,129.04761904761904,154.57142857142858,106.15384615384616,0.0,,,,,127.08333333333333,23.88888888888889,,106.28571428571429,8.979591836734693,,
キタサンブラック,80.0,,,160.0,63.93939393939394,85.83333333333333,98.07692307692308,74.44444444444444,88.84615384615384,,,87.33333333333333,70.58823529411765,,,,0.0,,87.2,,,82.85714285714286,233.33333333333334,151.57894736842104,25.0,,61.36363636363637,56.666666666666664,,53.333333333333336
キングカメハメハ,0.0,29.310344827586206,51.48148148148148,26.25,,,,217.77777777777777,131.16666666666666,37.36842105263158,71.24087591240875,38.333333333333336,58.214285714285715,0.0,76.25,0.0,,,303.75,106.125,60.23148148148148,78.23529411764706,136.92307692307693,,230.0,92.3529411764706,64.61538461538461,,42.30769230769231,
キンシャサノキセキ,67.5,,0.0,,,,83.05084745762711,0.0,0.0,22.682926829268293,,0.0,0.0,,0.0,,0.0,0.0,,,92.0,,,,,,32.0,,,
ゴールドシップ,,,100.0,58.75,28.571428571428573,,21.11111111111111,,25.11111111111111,,,35.55555555555556,0.0,,242.0,512.8571428571429,93.57142857142857,92.82608695652173,,,35.5,,,154.16666666666666,,,190.0,48.57142857142857,,84.71794871794872
サトノダイヤモンド,100.0,0.0,0.0,,0.0,,201.42857142857142,,0.0,15.76923076923077,,64.61538461538461,0.0,0.0,,,132.0,0.0,,,,,,,,,68.57142857142857,0.0,,
シルバーステート,,,0.0,100.0,81.53846153846153,230.0,37.407407407407405,140.96774193548387,45.142857142857146,0.0,,87.0,,,75.55555555555556,127.33333333333333,80.88235294117646,0.0,,92.3076923076923,,0.0,0.0,28.0,,0.0,101.66666666666667,0.0,197.22222222222223,
ジャスタウェイ,,18.88888888888889,56.470588235294116,0.0,100.0,,75.0561797752809,,73.93939393939394,147.82608695652175,,103.38983050847457,0.0,,,,149.0,0.0,,274.09090909090907,41.111111111111114,0.0,,0.0,17.272727272727273,,85.45454545454545,0.0,0.0,
スクリーンヒーロー,,,28.666666666666668,84.3103448275862,,410.0,26.08695652173913,96.66666666666667,86.11111111111111,,,35.535714285714285,100.625,0.0,,,0.0,,11.764705882352942,145.85365853658536,0.0,75.0,0.0,0.0,,,0.0,,44.44444444444444,88.82882882882883
ダイワメジャー,60.588235294117645,,,,,52.0,126.98630136986301,37.5,26.11111111111111,59.629629629629626,,22.22222222222222,63.333333333333336,,,,79.6774193548387,0.0,,,,,,,,,50.588235294117645,55.76923076923077,,
ディープインパクト,89.26605504587155,79.09774436090225,,130.0,,,128.2741116751269,61.36363636363637,117.05882352941177,176.66666666666666,,79.14893617021276,,,,,78.37837837837837,,,,,,,,59.48717948717949,,96.11111111111111,59.375,,
ディープブリランテ,,,,,29.6,,118.84615384615384,,328.8888888888889,280.0,,45.67567567567568,39.09090909090909,,,,,0.0,,0.0,,,255.71428571428572,,,,14.285714285714286,160.0,,
