sire,sprint,mile,intermediate,long,extended
アドマイヤムーン,76.88259109311741,83.18181818181819,51.23287671232877,36.36363636363637,0.0
アメリカンペイトリオット,77.55244755244755,97.62376237623762,85.25641025641026,0.0,0.0
イスラボニータ,85.22842639593908,93.55345911949685,71.5,0.0,0.0
エイシンヒカリ,100.88235294117646,98.96907216494846,71.08910891089108,0.0,0.0
エイシンフラッシュ,68.65168539325843,62.05607476635514,68.85714285714286,66.57894736842105,0.0
エピファネイア,44.46886446886447,78.8108108108108,81.75913396481732,67.09497206703911,145.71428571428572
オルフェーヴル,83.1547619047619,68.52852852852853,89.04624277456648,83.5377358490566,140.0
カレンブラックヒル,81.81818181818181,79.35897435897436,61.37931034482759,0.0,0.0
キズナ,73.77005347593582,75.32894736842105,88.59050445103857,90.78703703703704,126.92307692307692
キタサンブラック,102.26086956521739,80.88339222614842,74.87758945386064,48.30508474576271,0.0
キングカメハメハ,69.5,67.28937728937728,83.43835616438356,95.27950310559007,68.42105263157895
キンシャサノキセキ,68.60696517412936,61.12676056338028,87.28571428571429,0.0,0.0
ゴールドシップ,87.6470588235294,74.78571428571429,84.86666666666666,81.58227848101266,75.35714285714286
サトノアラジン,82.90697674418605,87.34693877551021,72.14285714285714,48.333333333333336,0.0
サトノクラウン,71.25,77.65432098765432,65.77380952380952,111.72413793103448,0.0
サトノダイヤモンド,86.82926829268293,80.18867924528301,83.28990228013029,61.25,0.0
シルバーステート,75.51724137931035,91.32307692307693,84.69483568075117,111.16279069767442,0.0
ジャスタウェイ,80.0,74.68634686346863,76.18444846292948,96.11764705882354,0.0
ジャングルポケット,76.34146341463415,70.95238095238095,94.6923076923077,56.57142857142857,0.0
スクリーンヒーロー,84.13636363636364,90.09146341463415,85.74468085106383,92.34042553191489,0.0
スワーヴリチャード,90.0,65.0,84.48717948717949,47.89473684210526,0.0
ダイワメジャー,84.73980309423348,74.42389758179232,74.45040214477211,55.416666666666664,0.0
ダノンバラード,72.3529411764706,79.90384615384616,76.65094339622641,68.18181818181819,0.0
ディスクリートキャットDiscreet Cat(米),107.1900826446281,83.93258426966293,103.0,0.0,0.0
ディープインパクト,69.04593639575971,80.3232125367287,78.88170055452865,70.0204081632653,91.42857142857143
ディープブリランテ,89.77611940298507,81.36094674556213,82.54437869822485,78.63636363636364,0.0
デクラレーションオブウォー,67.91044776119404,77.05128205128206,92.46031746031746,0.0,0.0
トーセンラー,96.6,70.94594594594595,76.84210526315789,103.52941176470588,0.0
ドゥラメンテ,76.99115044247787,71.31528046421663,82.9430633520449,103.68983957219251,0.0
ドレフォンDrefong(米),66.85393258426966,78.09128630705395,70.63063063063063,96.42857142857143,0.0
ノヴェリストNovellist(愛),69.6,81.13333333333334,91.09803921568627,108.6842105263158,0.0
ハーツクライ,85.22222222222223,74.8,72.47648902821317,67.73480662983425,37.5
ハービンジャーHarbinger(英),67.3103448275862,90.45893719806763,80.13900245298447,67.8740157480315,45.714285714285715
バゴBago(仏),105.89041095890411,62.359550561797754,83.27485380116958,47.142857142857146,0.0
ビッグアーサー,77.36263736263736,95.6910569105691,0.0,0.0,0.0
ブラックタイド,70.49382716049382,69.41176470588235,79.21951219512195,101.64179104477611,0.0
ブリックスアンドモルタルBricks and Mortar(米),61.5625,72.98611111111111,85.54054054054055,88.69565217391305,0.0
マクフィMakfi(英),93.07692307692308,83.79032258064517,95.0,0.0,0.0
マツリダゴッホ,78.95927601809954,66.7741935483871,89.05660377358491,0.0,0.0
ミッキーアイル,76.45251396648045,97.14285714285714,50.97826086956522,0.0,0.0
モーリス,76.47398843930635,82.6508875739645,83.51941747572816,56.170212765957444,0.0
ラブリーデイ,88.28571428571429,86.42105263157895,94.38461538461539,113.07692307692308,0.0
リアルインパクト,73.45070422535211,84.16184971098266,60.256410256410255,0.0,0.0
リアルスティール,77.45454545454545,87.94117647058823,89.66666666666667,47.22222222222222,0.0
リオンディーズ,83.34558823529412,87.69767441860465,73.44155844155844,87.72727272727273,0.0
ルーラーシップ,86.08510638297872,79.8339483394834,77.36272878535773,73.51351351351352,84.07407407407408
レイデオロ,0.0,106.90140845070422,71.875,107.22222222222223,0.0
ロードカナロア,86.34168157423971,77.55,73.7082066869301,74.48717948717949,0.0
ワールドエース,64.875,80.48484848484848,57.61194029850746,129.0625,0.0
ヴィクトワールピサ,73.27160493827161,86.32183908045977,72.78514588859416,82.3529411764706,0.0
