sire,sprint,mile,intermediate,long,extended
アドマイヤムーン,247.0,110.0,73.0,11.0,0.0
アメリカンペイトリオット,143.0,101.0,78.0,0.0,0.0
イスラボニータ,197.0,318.0,160.0,0.0,0.0
エイシンヒカリ,102.0,97.0,101.0,0.0,0.0
エイシンフラッシュ,178.0,214.0,315.0,38.0,0.0
エピファネイア,273.0,925.0,1478.0,179.0,14.0
オルフェーヴル,168.0,333.0,692.0,212.0,35.0
カレンブラックヒル,121.0,78.0,58.0,0.0,0.0
キズナ,374.0,760.0,1348.0,216.0,26.0
キタサンブラック,115.0,283.0,531.0,59.0,0.0
キングカメハメハ,80.0,273.0,730.0,161.0,19.0
キンシャサノキセキ,402.0,213.0,70.0,0.0,0.0
ゴールドシップ,68.0,140.0,1050.0,316.0,28.0
サトノアラジン,86.0,98.0,98.0,18.0,0.0
サトノクラウン,40.0,81.0,168.0,29.0,0.0
サトノダイヤモンド,82.0,106.0,307.0,40.0,0.0
シルバーステート,174.0,325.0,426.0,43.0,0.0
ジャスタウェイ,161.0,271.0,553.0,85.0,0.0
ジャングルポケット,41.0,42.0,130.0,35.0,0.0
スクリーンヒーロー,220.0,328.0,470.0,47.0,0.0
スワーヴリチャード,42.0,116.0,156.0,19.0,0.0
ダイワメジャー,711.0,703.0,373.0,24.0,0.0
ダノンバラード,68.0,104.0,212.0,11.0,0.0
ディスクリートキャットDiscreet Cat(米),121.0,89.0,20.0,0.0,0.0
ディープインパクト,283.0,1021.0,2164.0,490.0,42.0
ディープブリランテ,134.0,169.0,169.0,44.0,0.0
デクラレーションオブウォー,67.0,78.0,126.0,0.0,0.0
トーセンラー,100.0,74.0,114.0,34.0,0.0
ドゥラメンテ,113.0,517.0,1247.0,187.0,0.0
ドレフォンDrefong(米),178.0,241.0,111.0,14.0,0.0
ノヴェリストNovellist(愛),75.0,150.0,255.0,38.0,0.0
ハーツクライ,180.0,575.0,1595.0,362.0,24.0
ハービンジャーHarbinger(英),145.0,414.0,1223.0,254.0,7.0
バゴBago(仏),73.0,89.0,171.0,14.0,0.0
ビッグアーサー,455.0,123.0,1.0,0.0,0.0
ブラックタイド,162.0,153.0,410.0,67.0,0.0
ブリックスアンドモルタルBricks and Mortar(米),32.0,144.0,222.0,23.0,0.0
マクフィMakfi(英),130.0,124.0,78.0,0.0,0.0
マツリダゴッホ,221.0,93.0,53.0,0.0,0.0
ミッキーアイル,358.0,259.0,92.0,0.0,0.0
モーリス,346.0,845.0,824.0,47.0,0.0
ラブリーデイ,70.0,95.0,130.0,13.0,0.0
リアルインパクト,142.0,173.0,117.0,0.0,0.0
リアルスティール,55.0,170.0,330.0,36.0,0.0
リオンディーズ,272.0,430.0,308.0,22.0,0.0
ルーラーシップ,235.0,542.0,1202.0,259.0,27.0
レイデオロ,4.0,71.0,224.0,36.0,0.0
ロードカナロア,1118.0,1400.0,987.0,78.0,0.0
ワールドエース,80.0,165.0,134.0,32.0,0.0
ヴィクトワールピサ,162.0,261.0,377.0,34.0,0.0
