sire,sprint,mile,intermediate,long,extended
アドマイヤムーン,477.0,367.0,192.0,20.0,0.0
アメリカンペイトリオット,262.0,259.0,221.0,0.0,0.0
イスラボニータ,381.0,654.0,367.0,0.0,0.0
エイシンヒカリ,205.0,227.0,226.0,0.0,0.0
エイシンフラッシュ,345.0,510.0,728.0,88.0,0.0
エピファネイア,501.0,1684.0,2624.0,299.0,26.0
オルフェーヴル,354.0,657.0,1404.0,357.0,65.0
カレンブラックヒル,308.0,273.0,159.0,0.0,0.0
キズナ,626.0,1346.0,2357.0,392.0,46.0
キタサンブラック,204.0,490.0,1008.0,119.0,0.0
キングカメハメハ,123.0,399.0,1079.0,265.0,39.0
キンシャサノキセキ,727.0,512.0,207.0,0.0,0.0
ゴールドシップ,106.0,328.0,2374.0,588.0,50.0
サトノアラジン,186.0,257.0,264.0,44.0,0.0
サトノクラウン,130.0,293.0,505.0,79.0,0.0
サトノダイヤモンド,166.0,261.0,711.0,102.0,0.0
シルバーステート,413.0,721.0,834.0,84.0,0.0
ジャスタウェイ,308.0,573.0,1089.0,156.0,0.0
ジャングルポケット,86.0,147.0,326.0,72.0,0.0
スクリーンヒーロー,393.0,597.0,892.0,92.0,0.0
スワーヴリチャード,114.0,278.0,323.0,34.0,0.0
ダイワメジャー,1133.0,1233.0,692.0,54.0,0.0
ダノンバラード,139.0,299.0,625.0,24.0,0.0
ディスクリートキャットDiscreet Cat(米),322.0,249.0,101.0,0.0,0.0
ディープインパクト,409.0,1476.0,2945.0,676.0,85.0
ディープブリランテ,249.0,388.0,370.0,77.0,0.0
デクラレーションオブウォー,129.0,210.0,325.0,0.0,0.0
トーセンラー,230.0,200.0,302.0,55.0,0.0
ドゥラメンテ,236.0,918.0,2022.0,314.0,0.0
ドレフォンDrefong(米),303.0,506.0,299.0,31.0,0.0
ノヴェリストNovellist(愛),159.0,286.0,543.0,77.0,0.0
ハーツクライ,295.0,926.0,2532.0,595.0,50.0
ハービンジャーHarbinger(英),295.0,848.0,2332.0,455.0,21.0
バゴBago(仏),140.0,233.0,447.0,49.0,0.0
ビッグアーサー,857.0,359.0,35.0,0.0,0.0
ブラックタイド,320.0,411.0,829.0,119.0,0.0
ブリックスアンドモルタルBricks and Mortar(米),98.0,374.0,578.0,61.0,0.0
マクフィMakfi(英),289.0,334.0,184.0,0.0,0.0
マツリダゴッホ,442.0,311.0,182.0,0.0,0.0
ミッキーアイル,658.0,556.0,201.0,0.0,0.0
モーリス,671.0,1510.0,1446.0,107.0,0.0
ラブリーデイ,164.0,268.0,360.0,40.0,0.0
リアルインパクト,260.0,373.0,268.0,0.0,0.0
リアルスティール,157.0,375.0,683.0,67.0,0.0
リオンディーズ,507.0,845.0,710.0,48.0,0.0
ルーラーシップ,440.0,1050.0,2224.0,436.0,46.0
レイデオロ,46.0,250.0,626.0,107.0,0.0
ロードカナロア,1745.0,2283.0,1616.0,121.0,0.0
ワールドエース,197.0,392.0,376.0,52.0,0.0
ヴィクトワールピサ,310.0,554.0,774.0,84.0,0.0
