sire,sprint,mile,intermediate,long,extended
アドマイヤムーン,0.06289308176100629,0.021798365122615803,0.036458333333333336,0.05,0.0
アメリカンペイトリオット,0.09541984732824428,0.05791505791505792,0.058823529411764705,0.0,0.0
イスラボニータ,0.06036745406824147,0.10244648318042814,0.07356948228882834,0.0,0.0
エイシンヒカリ,0.08292682926829269,0.05286343612334802,0.05309734513274336,0.0,0.0
エイシンフラッシュ,0.07246376811594203,0.0392156862745098,0.03708791208791209,0.06818181818181818,0.0
エピファネイア,0.04590818363273453,0.09560570071258907,0.09870426829268293,0.13712374581939799,0.0
オルフェーヴル,0.062146892655367235,0.0593607305936073,0.07407407407407407,0.09803921568627451,0.1076923076923077
カレンブラックヒル,0.03571428571428571,0.05128205128205128,0.018867924528301886,0.0,0.0
キズナ,0.07188498402555911,0.1062407132243685,0.11837081035214256,0.11479591836734694,0.043478260869565216
キタサンブラック,0.10294117647058823,0.11224489795918367,0.12996031746031747,0.13445378151260504,0.0
キングカメハメハ,0.07317073170731707,0.09774436090225563,0.09267840593141798,0.10566037735849057,0.02564102564102564
キンシャサノキセキ,0.04264099037138927,0.02734375,0.043478260869565216,0.0,0.0
ゴールドシップ,0.0660377358490566,0.039634146341463415,0.06402695871946082,0.07653061224489796,0.08
サトノアラジン,0.06989247311827956,0.06614785992217899,0.041666666666666664,0.022727272727272728,0.0
サトノクラウン,0.046153846153846156,0.06143344709897611,0.039603960396039604,0.06329113924050633,0.0
サトノダイヤモンド,0.08433734939759036,0.05363984674329502,0.0970464135021097,0.08823529411764706,0.0
シルバーステート,0.06053268765133172,0.0651872399445215,0.09232613908872901,0.08333333333333333,0.0
ジャスタウェイ,0.07792207792207792,0.055846422338568937,0.06887052341597796,0.11538461538461539,0.0
ジャングルポケット,0.06976744186046512,0.027210884353741496,0.046012269938650305,0.027777777777777776,0.0
スクリーンヒーロー,0.06615776081424936,0.06700167504187604,0.09192825112107623,0.07608695652173914,0.0
スワーヴリチャード,0.07894736842105263,0.08633093525179857,0.12074303405572756,0.11764705882352941,0.0
ダイワメジャー,0.08384819064430715,0.07137064071370641,0.06791907514450866,0.037037037037037035,0.0
ダノンバラード,0.02877697841726619,0.056856187290969896,0.0528,0.041666666666666664,0.0
ディスクリートキャットDiscreet Cat(米),0.062111801242236024,0.06827309236947791,0.019801980198019802,0.0,0.0
ディープインパクト,0.061124694376528114,0.11585365853658537,0.1198641765704584,0.09467455621301775,0.10588235294117647
ディープブリランテ,0.06827309236947791,0.03350515463917526,0.04054054054054054,0.03896103896103896,0.0
デクラレーションオブウォー,0.09302325581395349,0.05714285714285714,0.09846153846153846,0.0,0.0
トーセンラー,0.08260869565217391,0.05,0.056291390728476824,0.10909090909090909,0.0
ドゥラメンテ,0.059322033898305086,0.08823529411764706,0.10781404549950543,0.12420382165605096,0.0
ドレフォンDrefong(米),0.052805280528052806,0.08102766798418973,0.05351170568561873,0.16129032258064516,0.0
ノヴェリストNovellist(愛),0.03773584905660377,0.05944055944055944,0.06445672191528545,0.09090909090909091,0.0
ハーツクライ,0.04745762711864407,0.08639308855291576,0.08767772511848342,0.08067226890756303,0.0
ハービンジャーHarbinger(英),0.05084745762711865,0.06367924528301887,0.08061749571183534,0.05714285714285714,0.0
バゴBago(仏),0.08571428571428572,0.06866952789699571,0.040268456375838924,0.061224489795918366,0.0
ビッグアーサー,0.10151691948658109,0.055710306406685235,0.02857142857142857,0.0,0.0
ブラックタイド,0.040625,0.029197080291970802,0.06393244873341375,0.05042016806722689,0.0
ブリックスアンドモルタルBricks and Mortar(米),0.08163265306122448,0.09893048128342247,0.07612456747404844,0.08196721311475409,0.0
マクフィMakfi(英),0.07958477508650519,0.05389221556886228,0.043478260869565216,0.0,0.0
マツリダゴッホ,0.04751131221719457,0.03215434083601286,0.038461538461538464,0.0,0.0
ミッキーアイル,0.08054711246200608,0.07553956834532374,0.05472636815920398,0.0,0.0
モーリス,0.08941877794336811,0.10198675496688742,0.11134163208852006,0.06542056074766354,0.0
ラブリーデイ,0.04878048780487805,0.05970149253731343,0.05555555555555555,0.0,0.0
リアルインパクト,0.046153846153846156,0.08042895442359249,0.05223880597014925,0.0,0.0
リアルスティール,0.07643312101910828,0.10666666666666667,0.12445095168374817,0.1044776119402985,0.0
リオンディーズ,0.07100591715976332,0.06627218934911243,0.07746478873239436,0.125,0.0
ルーラーシップ,0.06818181818181818,0.0838095238095238,0.07419064748201439,0.07568807339449542,0.10869565217391304
レイデオロ,0.043478260869565216,0.104,0.09584664536741214,0.1308411214953271,0.0
ロードカナロア,0.11060171919770774,0.09986859395532194,0.11138613861386139,0.08264462809917356,0.0
ワールドエース,0.02030456852791878,0.03826530612244898,0.05585106382978723,0.07692307692307693,0.0
ヴィクトワールピサ,0.04838709677419355,0.06859205776173286,0.05167958656330749,0.03571428571428571,0.0
