sire,sprint,mile,intermediate,long,extended
アドマイヤムーン,71.33603238866397,76.0,42.87671232876713,39.09090909090909,0.0
アメリカンペイトリオット,70.97902097902097,89.3069306930693,155.0,0.0,0.0
イスラボニータ,55.58375634517766,112.79874213836477,71.0625,0.0,0.0
エイシンヒカリ,128.0392156862745,110.9278350515464,81.58415841584159,0.0,0.0
エイシンフラッシュ,101.57303370786516,52.242990654205606,67.74603174603175,94.47368421052632,0.0
エピファネイア,51.83150183150183,85.26486486486486,70.60216508795669,93.12849162011173,0.0
オルフェーヴル,82.85714285714286,59.069069069069066,92.58670520231213,103.58490566037736,98.0
カレンブラックヒル,64.79338842975207,70.25641025641026,20.862068965517242,0.0,0.0
キズナ,56.1764705882353,72.59210526315789,106.29080118694363,74.76851851851852,44.23076923076923
キタサンブラック,111.91304347826087,74.98233215547704,77.984934086629,51.186440677966104,0.0
キングカメハメハ,54.5,66.66666666666667,79.26027397260275,89.19254658385093,31.05263157894737
キンシャサノキセキ,51.865671641791046,23.145539906103288,69.85714285714286,0.0,0.0
ゴールドシップ,64.70588235294117,40.714285714285715,79.05714285714286,75.28481012658227,59.285714285714285
サトノアラジン,73.72093023255815,120.40816326530613,53.46938775510204,17.22222222222222,0.0
サトノクラウン,70.25,130.12345679012347,62.44047619047619,82.75862068965517,0.0
サトノダイヤモンド,74.39024390243902,62.35849056603774,115.86319218241043,99.25,0.0
シルバーステート,56.839080459770116,82.83076923076923,77.86384976525821,77.44186046511628,0.0
ジャスタウェイ,92.6086956521739,95.83025830258302,69.16817359855335,71.76470588235294,0.0
ジャングルポケット,130.4878048780488,71.42857142857143,114.46153846153847,24.571428571428573,0.0
スクリーンヒーロー,55.5,61.49390243902439,102.06382978723404,59.787234042553195,0.0
スワーヴリチャード,37.61904761904762,76.8103448275862,73.33333333333333,67.36842105263158,0.0
ダイワメジャー,88.34036568213783,65.07823613086771,69.78552278820375,57.083333333333336,0.0
ダノンバラード,32.205882352941174,90.09615384615384,55.943396226415096,0.0,0.0
ディスクリートキャットDiscreet Cat(米),152.56198347107437,97.86516853932584,106.5,0.0,0.0
ディープインパクト,42.54416961130742,87.22820763956905,80.57763401109057,69.44897959183673,64.76190476190476
ディープブリランテ,135.0,84.20118343195266,94.49704142011835,45.45454545454545,0.0
デクラレーションオブウォー,82.98507462686567,96.66666666666667,100.15873015873017,0.0,0.0
トーセンラー,128.3,100.8108108108108,93.42105263157895,117.94117647058823,0.0
ドゥラメンテ,102.65486725663717,72.63056092843327,81.96471531676022,102.19251336898395,0.0
ドレフォンDrefong(米),23.370786516853933,96.6804979253112,74.23423423423424,143.57142857142858,0.0
ノヴェリストNovellist(愛),42.266666666666666,77.06666666666666,86.0,122.63157894736842,0.0
ハーツクライ,38.888888888888886,87.1304347826087,68.56426332288402,72.18232044198895,0.0
ハービンジャーHarbinger(英),50.3448275862069,87.6086956521739,81.32461161079313,54.488188976377955,0.0
バゴBago(仏),100.54794520547945,86.06741573033707,32.280701754385966,67.14285714285714,0.0
ビッグアーサー,87.27472527472527,86.42276422764228,0.0,0.0,0.0
ブラックタイド,32.839506172839506,65.16339869281046,70.8048780487805,77.76119402985074,0.0
ブリックスアンドモルタルBricks and Mortar(米),47.8125,89.44444444444444,70.63063063063063,37.82608695652174,0.0
マクフィMakfi(英),99.76923076923077,84.2741935483871,104.87179487179488,0.0,0.0
マツリダゴッホ,67.28506787330316,73.87096774193549,69.81132075471699,0.0,0.0
ミッキーアイル,61.95530726256983,94.55598455598455,33.58695652173913,0.0,0.0
モーリス,88.95953757225433,74.59171597633136,87.03883495145631,52.97872340425532,0.0
ラブリーデイ,52.0,98.3157894736842,67.0,0.0,0.0
リアルインパクト,65.91549295774648,125.3757225433526,58.888888888888886,0.0,0.0
リアルスティール,77.63636363636364,103.05882352941177,115.57575757575758,48.333333333333336,0.0
リオンディーズ,85.25735294117646,58.95348837209303,61.201298701298704,215.9090909090909,0.0
ルーラーシップ,86.0,79.31734317343174,74.13477537437603,59.729729729729726,109.62962962962963
レイデオロ,0.0,118.73239436619718,82.09821428571429,88.88888888888889,0.0
ロードカナロア,94.4186046511628,83.61428571428571,86.53495440729483,104.61538461538461,0.0
ワールドエース,20.5,53.09090909090909,91.26865671641791,41.875,0.0
ヴィクトワールピサ,71.48148148148148,112.79693486590038,67.0026525198939,47.94117647058823,0.0
