sire,total_runs,total_top3,top3_rate,win_rate,avg_distance,weighted_dist_sum,best_distance,best_dist_cat,win_return_pct,place_return_pct
ロードカナロア,9629,2499,0.2595285076331914,0.10011423823865406,1539.5555093986914,3846530,1539,mile,88.7,79.6
キズナ,7766,2255,0.29036827195467424,0.1091939222250837,1779.4411537471028,4135050,1834,intermediate,87.0,82.9
ルーラーシップ,7512,1679,0.2235090521831736,0.07281682641107562,1815.634984025559,3089020,1840,intermediate,77.4,77.6
ディープインパクト,6932,2042,0.29457587997691864,0.10833814195037507,1899.7518753606462,3937200,1928,intermediate,79.2,77.0
エピファネイア,6836,1719,0.25146284376828554,0.08455236980690463,1752.1094207138678,3085880,1795,mile,72.3,75.6
ハーツクライ,6581,1641,0.2493542014891354,0.08478954566175353,1893.028415134478,3099940,1889,intermediate,73.9,75.0
ドゥラメンテ,5552,1531,0.27575648414985593,0.10014409221902017,1774.4974783861671,2787560,1821,intermediate,81.2,79.2
ダイワメジャー,5347,1176,0.21993641294183655,0.07256405461006171,1581.965588180288,1858920,1581,mile,75.7,75.1
モーリス,5341,1350,0.25276165512076393,0.09530050552331024,1620.2602508893465,2198660,1629,mile,80.4,78.7
オルフェーヴル,5102,1147,0.22481379851038807,0.07683261466091729,1806.9247353978833,2159560,1883,intermediate,87.0,82.0
ハービンジャーHarbinger(英),4962,1097,0.22108020959290609,0.06932688432083838,1882.771060056429,2125550,1938,intermediate,73.7,78.4
ヘニーヒューズHenny Hughes(米),4867,1284,0.26381754674337377,0.09266488596671461,1479.5315389356892,1889560,1472,mile,82.8,85.3
ジャスタウェイ,4278,902,0.21084618980832165,0.07059373539036932,1756.2085086489014,1620520,1797,mile,79.5,80.3
ゴールドシップ,4265,925,0.21688159437280188,0.0630715123094959,2009.7514654161782,1896600,2050,intermediate,78.5,81.1
ドレフォンDrefong(米),4245,1106,0.26054181389870434,0.09422850412249706,1585.658421672556,1753800,1586,mile,90.2,84.1
キンシャサノキセキ,4203,872,0.20747085415179634,0.056864144658577205,1460.2474423031167,1270820,1457,mile,61.5,76.4
リオンディーズ,3959,914,0.2308663803990907,0.07400858802727961,1589.4695630209649,1454380,1591,mile,69.2,79.2
キングカメハメハ,3691,993,0.26903278244378215,0.09916011920888648,1898.7537252777024,1903030,1916,intermediate,79.2,80.8
シニスターミニスターSinister Minister(米),3384,929,0.27452718676122934,0.10195035460992907,1559.1400709219859,1461400,1573,mile,105.9,93.2
