sire,sprint,mile,intermediate,long,extended,cluster,cluster_name
Air Force Blue(米),0.5,0.12,0.1,0.0,0.0,1,短距離 (〜1400m)
American Pharoah(米),0.35658914728682173,0.30935251798561153,0.2545454545454545,0.0,0.0,1,短距離 (〜1400m)
Arrogate(米),0.25,0.3,0.3360655737704918,0.3333333333333333,0.0,2,マイル (1400〜1800m)
Bernardini(米),0.3055555555555556,0.16666666666666666,0.1875,0.0,0.0,1,短距離 (〜1400m)
Bobby's Kitten(米),0.42857142857142855,0.35294117647058826,0.45454545454545453,0.0,0.0,3,中距離 (1800〜2400m)
Carpe Diem,0.37142857142857144,0.36363636363636365,0.3125,0.0,0.0,3,中距離 (1800〜2400m)
Catholic Boy,0.16666666666666666,0.2727272727272727,0.0,0.25,0.1111111111111111,2,マイル (1400〜1800m)
City Zip(米),0.2777777777777778,0.1724137931034483,0.16666666666666666,0.0,0.0,1,短距離 (〜1400m)
City of Light(米),0.3,0.09090909090909091,0.07142857142857142,0.0,0.0,1,短距離 (〜1400m)
Collected,0.375,0.2727272727272727,0.2916666666666667,0.3333333333333333,1.0,0,超長距離 (2800m〜)
Constitution(米),0.125,0.41379310344827586,0.2571428571428571,0.5714285714285714,0.0,2,マイル (1400〜1800m)
Curlin(米),0.2,0.18181818181818182,0.3375,0.16666666666666666,0.4,0,超長距離 (2800m〜)
Dark Angel,0.33613445378151263,0.2553191489361702,0.0,0.0,0.0,1,短距離 (〜1400m)
Dawn Approach(愛),0.18181818181818182,0.14814814814814814,0.07142857142857142,0.0,0.0,5,中距離 (1800〜2400m)
Distorted Humor(米),0.20833333333333334,0.2641509433962264,0.38461538461538464,0.0,0.0,2,マイル (1400〜1800m)
Dubawi,0.25,0.3684210526315789,0.4482758620689655,0.0,0.0,3,中距離 (1800〜2400m)
English Channel,0.0,0.0,0.09090909090909091,0.125,0.0,5,中距離 (1800〜2400m)
Exceed And Excel,0.2413793103448276,0.3888888888888889,0.0,0.0,0.0,1,短距離 (〜1400m)
Fastnet Rock(豪),0.41379310344827586,0.26666666666666666,0.16666666666666666,0.0,0.0,1,短距離 (〜1400m)
First Samurai,0.36585365853658536,0.09090909090909091,0.0,0.0,0.0,1,短距離 (〜1400m)
Frankel,0.2645161290322581,0.3080357142857143,0.34517766497461927,0.36363636363636365,0.0,2,マイル (1400〜1800m)
Frosted(米),0.4492753623188406,0.21621621621621623,0.15384615384615385,0.0,0.0,1,短距離 (〜1400m)
Galileo(愛),0.0,0.0,0.13636363636363635,0.4166666666666667,0.25,5,中距離 (1800〜2400m)
Ghostzapper,0.3225806451612903,0.23076923076923078,0.11764705882352941,1.0,0.0,4,長距離 (2400〜2800m)
Giant's Causeway(米),0.0,0.1,0.3103448275862069,0.3333333333333333,0.0,5,中距離 (1800〜2400m)
Gleneagles(愛),0.08333333333333333,0.2857142857142857,0.3333333333333333,1.0,0.0,4,長距離 (2400〜2800m)
Golden Horn(英),0.0,0.25806451612903225,0.2413793103448276,0.2857142857142857,0.6666666666666666,0,超長距離 (2800m〜)
Goldencents,0.19230769230769232,0.375,0.4,0.0,0.0,3,中距離 (1800〜2400m)
Gun Runner(米),0.5714285714285714,0.35185185185185186,0.42857142857142855,0.0,0.0,3,中距離 (1800〜2400m)
Hard Spun(米),0.22,0.19480519480519481,0.041666666666666664,0.3333333333333333,0.0,1,短距離 (〜1400m)
Iffraaj,0.35714285714285715,0.32432432432432434,0.0,0.0,0.0,1,短距離 (〜1400m)
Into Mischief,0.4338235294117647,0.4011299435028249,0.3064516129032258,0.25,0.16666666666666666,3,中距離 (1800〜2400m)
Invincible Spirit(愛),0.30303030303030304,0.35,0.0,0.0,0.0,1,短距離 (〜1400m)
Justify(米),0.33962264150943394,0.26956521739130435,0.30612244897959184,0.16666666666666666,0.0,2,マイル (1400〜1800m)
Khozan,0.2903225806451613,0.35294117647058826,0.8333333333333334,0.0,0.0,3,中距離 (1800〜2400m)
Kingman(英),0.23333333333333334,0.26881720430107525,0.2631578947368421,0.0,0.0,2,マイル (1400〜1800m)
Kitten's Joy(米),0.36363636363636365,0.1282051282051282,0.225,0.25,0.0,1,短距離 (〜1400m)
Le Havre,0.0,0.21818181818181817,0.27586206896551724,0.2,0.0,2,マイル (1400〜1800m)
Lemon Drop Kid,0.125,0.5882352941176471,0.10526315789473684,0.0,0.0,2,マイル (1400〜1800m)
Liam's Map,0.4074074074074074,0.21212121212121213,0.23333333333333334,0.0,0.0,1,短距離 (〜1400m)
Maclean's Music,0.2564102564102564,0.5217391304347826,1.0,0.0,0.0,3,中距離 (1800〜2400m)
Malibu Moon,0.21875,0.3409090909090909,0.3,0.0,0.0,2,マイル (1400〜1800m)
Medaglia d'Oro,0.32608695652173914,0.16666666666666666,0.2,0.0,0.0,1,短距離 (〜1400m)
Mendelssohn,0.29411764705882354,0.42424242424242425,0.3225806451612903,0.0,0.0,3,中距離 (1800〜2400m)
Midnight Lute,0.25,0.0,0.0,0.0,0.47368421052631576,0,超長距離 (2800m〜)
Mohaymen,0.391304347826087,0.16666666666666666,0.0,0.0,0.0,1,短距離 (〜1400m)
More Than Ready,0.28,0.18181818181818182,0.25,0.0,0.16666666666666666,1,短距離 (〜1400m)
Nathaniel(愛),0.0,0.10344827586206896,0.10526315789473684,0.0,0.0,5,中距離 (1800〜2400m)
New Approach,0.21428571428571427,0.2391304347826087,0.2727272727272727,0.0,0.0,2,マイル (1400〜1800m)
No Nay Never,0.2702702702702703,0.2558139534883721,0.45161290322580644,0.0,0.0,3,中距離 (1800〜2400m)
Nyquist(米),0.5,0.4666666666666667,0.3888888888888889,0.0,0.0,3,中距離 (1800〜2400m)
Pioneerof the Nile,0.18518518518518517,0.09375,0.47619047619047616,1.0,0.0,4,長距離 (2400〜2800m)
Pivotal,0.2222222222222222,0.0625,0.14285714285714285,0.0,0.0,5,中距離 (1800〜2400m)
Point of Entry,0.14285714285714285,0.2962962962962963,0.4827586206896552,0.5,0.0,2,マイル (1400〜1800m)
Practical Joke(米),0.22058823529411764,0.20930232558139536,0.36,0.0,0.0,2,マイル (1400〜1800m)
Quality Road,0.6153846153846154,0.3387096774193548,0.2,0.0,0.0,3,中距離 (1800〜2400m)
Raven's Pass,0.06666666666666667,0.16,0.16666666666666666,0.0,0.0,5,中距離 (1800〜2400m)
Runhappy,0.0,0.3333333333333333,0.3157894736842105,0.0,0.0,2,マイル (1400〜1800m)
Saxon Warrior(安平町),0.2,0.23943661971830985,0.297029702970297,0.0,0.0,2,マイル (1400〜1800m)
Shackleford,0.16666666666666666,0.06666666666666667,0.0,0.0,0.0,5,中距離 (1800〜2400m)
Shalaa,0.3181818181818182,0.2777777777777778,0.0,0.0,0.0,1,短距離 (〜1400m)
Shamardal(米),0.23529411764705882,0.21951219512195122,0.2,0.0,0.0,1,短距離 (〜1400m)
Siyouni,0.34,0.3,0.4166666666666667,0.3333333333333333,0.0,3,中距離 (1800〜2400m)
Speightstown(米),0.355,0.22429906542056074,0.3076923076923077,0.0,0.14285714285714285,1,短距離 (〜1400m)
Super Saver,0.0,0.0,0.1,0.6666666666666666,0.3125,4,長距離 (2400〜2800m)
Take Charge Indy(米),0.3333333333333333,0.0,0.0,1.0,0.08333333333333333,4,長距離 (2400〜2800m)
Tapit(米),0.18181818181818182,0.30708661417322836,0.2962962962962963,0.1111111111111111,0.34615384615384615,0,超長距離 (2800m〜)
Teofilo,0.0,0.09090909090909091,0.28125,0.0,0.0,5,中距離 (1800〜2400m)
Too Darn Hot(英),0.4166666666666667,0.23529411764705882,0.0,0.0,0.0,1,短距離 (〜1400m)
Uncle Mo(米),0.36363636363636365,0.2903225806451613,0.38235294117647056,0.75,0.0,4,長距離 (2400〜2800m)
Union Rags,0.0,0.375,0.2413793103448276,0.0,0.0,2,マイル (1400〜1800m)
Violence,0.2857142857142857,0.09523809523809523,0.0,0.0,0.0,1,短距離 (〜1400m)
War Front,0.2857142857142857,0.2631578947368421,0.09090909090909091,0.0,0.5,0,超長距離 (2800m〜)
Zoustar,0.1794871794871795,0.4444444444444444,0.8333333333333334,0.0,0.0,3,中距離 (1800〜2400m)
アイファーソング,0.2,0.15789473684210525,0.12195121951219512,0.0,0.0,1,短距離 (〜1400m)
アイルハヴアナザーI'll Have Another(米),0.18154761904761904,0.19123505976095617,0.18206157965194109,0.2033898305084746,0.1111111111111111,2,マイル (1400〜1800m)
アグネスデジタル,0.09615384615384616,0.11235955056179775,0.046511627906976744,0.0,0.19047619047619047,5,中距離 (1800〜2400m)
アサクサキングス,0.21052631578947367,0.1956521739130435,0.16071428571428573,0.25,0.0,2,マイル (1400〜1800m)
アジアエクスプレス,0.2314410480349345,0.20126582278481012,0.20378151260504201,0.16666666666666666,0.21428571428571427,0,超長距離 (2800m〜)
アスカクリチャン,0.14705882352941177,0.16666666666666666,0.10588235294117647,0.0,0.0,5,中距離 (1800〜2400m)
アッミラーレ,0.17647058823529413,0.25,0.2727272727272727,0.0,0.06666666666666667,2,マイル (1400〜1800m)
アドマイヤオーラ,0.09523809523809523,0.14285714285714285,0.1111111111111111,0.0,0.0,5,中距離 (1800〜2400m)
アドマイヤコジーン,0.38461538461538464,0.04,0.23076923076923078,0.0,0.0,1,短距離 (〜1400m)
アドマイヤマックス,0.14754098360655737,0.05714285714285714,0.08695652173913043,0.3333333333333333,0.0,5,中距離 (1800〜2400m)
アドマイヤマーズ,0.3176470588235294,0.24778761061946902,0.2682926829268293,0.5,0.0,2,マイル (1400〜1800m)
アドマイヤムーン,0.17262638717632553,0.11338289962825279,0.11598746081504702,0.11764705882352941,0.32926829268292684,0,超長距離 (2800m〜)
アドミラブル,0.06666666666666667,0.13043478260869565,0.0625,0.2,0.0,5,中距離 (1800〜2400m)
アニマルキングダムAnimal Kingdom(米),0.13043478260869565,0.15172413793103448,0.19021739130434784,0.7142857142857143,0.5,4,長距離 (2400〜2800m)
