sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米),ワイルドラッシュWild Rush(米)
イスラボニータ,,1456.5217391304348,,1638.4615384615386,1517.5,1300.0,1358.5365853658536,1440.0,,1473.3333333333333,,1571.875,1375.0,1634.375,,,1403.7037037037037,1409.090909090909,1671.4285714285713,1403.5714285714287,1957.857142857143,,1611.3636363636363,1806.0,,1608.58407079646,1321.276595744681,1781.4814814814815,1588.888888888889,
エイシンフラッシュ,1854.343891402715,,1430.0,1385.4166666666667,1731.578947368421,1761.578947368421,1964.7058823529412,1935.6,,1985.9574468085107,1691.375358166189,1603.2051282051282,1949.642857142857,2245.0,1659.0526315789473,2029.5238095238096,,1457.6923076923076,1766.0416666666667,1562.9251700680272,1769.1304347826087,1598.5915492957747,1618.3673469387754,1786.3333333333333,1634.0760869565217,1597.2549019607843,,1945.6818181818182,,1315.3846153846155
エピファネイア,1794.7394540942928,1883.3333333333333,1644.4444444444443,1634.920634920635,1720.0973574408902,2010.5263157894738,1605.5555555555557,1793.3333333333333,,1574.655172413793,1700.0,,1913.3112582781457,1944.8993288590605,,1723.421926910299,,1764.5098039215686,1601.3473053892214,1813.1308411214952,1807.03426124197,1691.1842105263158,1787.2222222222222,1851.5,1791.3186813186812,1812.6744186046512,1886.842105263158,1811.118881118881,,1990.344827586207
オルフェーヴル,1920.3225806451612,1908.3333333333333,1662.5,1856.25,1765.1275510204082,1364.2857142857142,1834.3373493975903,,1220.0,1519.2666666666667,,1954.9159663865546,2307.4626865671644,,1672.2222222222222,,1891.6666666666667,1791.0526315789473,1792.888888888889,1323.8095238095239,1934.9397590361446,1972.0,2043.75,1700.0,1920.6896551724137,1755.6485355648535,1497.7272727272727,2237.9310344827586,1880.952380952381,
キズナ,1735.8974358974358,1909.090909090909,1649.4505494505495,1790.7407407407406,1803.238866396761,1794.1747572815534,1813.8636363636363,,1280.7692307692307,1580.6521739130435,,1782.648401826484,2006.0,,1620.1298701298701,1932.7450980392157,1677.8947368421052,1589.6103896103896,1600.0,1790.0,,1525.0,,1805.0,,1906.1827956989248,1710.204081632653,1536.3636363636363,,1700.5681818181818
キタサンブラック,,1423.5294117647059,1511.764705882353,1702.2916666666667,1824.3852459016393,1969.5652173913043,1670.5128205128206,,,,,1911.764705882353,1947.8260869565217,,,,1628.5714285714287,,1809.8181818181818,2412.1052631578946,,1876.1904761904761,1810.0,2002.9411764705883,,1800.8620689655172,1424.0,,2082.3529411764707,
キングカメハメハ,1677.6076555023924,1893.7837837837837,,,,2050.0,1950.6535947712418,,,1548.780487804878,2041.0425531914893,1974.3661971830986,2040.0,1842.857142857143,1968.6486486486488,1630.7692307692307,,2070.0,2070.8333333333335,2011.9760479041915,2022.8186274509803,1722.2222222222222,1930.5813953488373,,1688.9830508474577,1795.9119496855346,,2007.2,,
キンシャサノキセキ,1900.0,1748.2758620689656,1246.875,1453.8461538461538,1446.2248995983937,1470.8333333333333,1423.6904761904761,,1190.0,1242.9752066115702,,1410.5263157894738,1510.7142857142858,,1290.909090909091,1316.6666666666667,1388.118811881188,1464.2857142857142,1435.7142857142858,,1382.7586206896551,1325.0,1240.0,1727.2727272727273,,1317.9310344827586,1276.4705882352941,1693.3333333333333,,1604.578313253012
ゴールドシップ,1988.3333333333333,2035.9055118110236,2018.3673469387754,,2085.294117647059,1840.0,1794.3805309734514,,1450.0,1600.0,,1808.0645161290322,1823.5294117647059,,1891.6666666666667,2238.095238095238,2184.2105263157896,2014.4578313253012,,1920.0,1982.142857142857,,,2338.8888888888887,,2368.125,2113.554502369668,1836.3636363636363,2051.7027027027025,
シニスターミニスターSinister Minister(米),1528.9473684210527,1666.6666666666667,1417.391304347826,1286.0,1626.9102990033223,1596.1666666666667,1692.1739130434783,1498.5714285714287,1391.8032786885246,1555.8823529411766,1314.1509433962265,1632.857142857143,,,1595.2380952380952,1527.3076923076924,1270.0,1266.6666666666667,1385.9756097560976,1886.338028169014,1461.111111111111,1677.7777777777778,1701.7241379310344,1663.6363636363637,1552.6666666666667,1494.5121951219512,1655.3191489361702,1611.9083969465648,1107.5,1316.1764705882354
シルバーステート,1366.6666666666667,1909.090909090909,1552.9411764705883,1752.7027027027027,1535.1,1616.6666666666667,1453.2520325203252,,1357.5471698113208,1489.5833333333333,,1650.0,2000.0,,1230.7692307692307,1209.090909090909,1683.7837837837837,1888.888888888889,,2055.5555555555557,,1344.1176470588234,1658.0645161290322,1930.5084745762713,1750.0,1550.6944444444443,1610.0,1947.6190476190477,,
ジャスタウェイ,1760.5263157894738,1703.5714285714287,1649.468085106383,1509.090909090909,1796.5055762081784,1740.0,1608.5714285714287,1500.0,,1481.7073170731708,,1881.214953271028,1696.969696969697,,,,1495.4545454545455,1796.6666666666667,,1912.8358208955224,2114.0,1674.2857142857142,,1940.8163265306123,,1648.4848484848485,1715.7894736842106,1664.0,1511.111111111111,1642.857142857143
スクリーンヒーロー,1844.6969696969697,1681.7460317460318,1675.8620689655172,1801.6666666666667,1591.044776119403,1555.4347826086957,1800.7462686567164,,,1669.5652173913043,,1874.7916666666667,1425.531914893617,1790.5405405405406,,,1472.8070175438597,,1203.125,1593.3544303797469,1818.9690721649486,1470.3947368421052,1704.3478260869565,1432.258064516129,1400.0,1678.6206896551723,1967.1875,1384.0,1559.1408934707904,
ダイワメジャー,,1700.0,,1600.0,1547.7824267782428,1503.409090909091,1847.3722627737227,,,1387.5,,1742.967032967033,1526.0869565217392,,,,1493.2203389830509,1792.857142857143,,,,,,,,1505.421686746988,1478.1159420289855,,1677.7777777777778,1461.111111111111
ディープインパクト,,1483.3333333333333,,1616.6666666666667,1939.0229885057472,1390.3225806451612,1781.012658227848,,,1586.3636363636363,,1984.6268656716418,,,,,1703.1460674157304,,,,,,,,,1893.152709359606,1813.6138613861385,,,
ドゥラメンテ,1750.4444444444443,,2042.2033898305085,,,1713.3333333333333,1801.761658031088,1538.4615384615386,,1563.7096774193549,,1812.167832167832,1803.5714285714287,,1784.7826086956522,1665.4545454545455,1864.2857142857142,1474.0740740740741,1706.0344827586207,1731.8181818181818,1810.857142857143,1629.2,2034.2105263157894,1892.857142857143,1610.6382978723404,1754.5454545454545,1726.0869565217392,1740.0,,
ドレフォンDrefong(米),1522.2222222222222,,1737.5,1466.6666666666667,1618.2242990654206,1338.4615384615386,1535.566037735849,1457.3529411764705,1831.8181818181818,1342.3076923076924,1576.158940397351,1569.6153846153845,1883.4615384615386,1437.5,1596.3636363636363,1489.5890410958905,,,1593.802395209581,1695.6989247311828,1682.9282868525897,1501.3761467889908,1664.021164021164,1667.857142857143,1618.069306930693,1608.1081081081081,1716.2162162162163,1709.7222222222222,,
ハーツクライ,,1505.4054054054054,,,2011.217105263158,,1871.7171717171718,,,1749.6648044692738,,2174.0178571428573,,,,,1536.0,1681.25,,,,,,,,1708.3333333333333,1802.4242424242425,,2026.0,
ハービンジャーHarbinger(英),1835.8675078864353,1769.2307692307693,1542.622950819672,1982.3529411764705,1940.1904761904761,,1817.5675675675675,1788.888888888889,,2002.5641025641025,1995.3424657534247,1857.4545454545455,1929.032258064516,1948.5714285714287,1917.4603174603174,1861.0738255033557,1860.0,1762.5,1778.343949044586,1923.013698630137,1887.064732142857,1694.8507462686566,1935.1648351648353,,1908.1976744186047,1852.03125,1540.0,1735.2,1329.1666666666667,
パイロPyro(米),1655.7142857142858,,1367.2413793103449,1440.909090909091,1546.1490683229813,,1619.090909090909,1579.9295774647887,1252.0833333333333,,1780.8333333333333,1546.6216216216217,1683.3333333333333,,1584.6153846153845,1417.857142857143,1420.0,,1457.037037037037,1647.0192307692307,,1858.7323943661972,1463.157894736842,1564.5833333333333,1539.6341463414635,1452.0,1743.75,1565.090909090909,,1690.909090909091
ブラックタイド,,1556.0,,1941.851851851852,1842.2535211267605,2071.063829787234,1753.2173913043478,,1583.3333333333333,1749.7530864197531,,1896.8817204301076,1803.448275862069,,,,1817.391304347826,2083.8709677419356,,,,,,,,1716.0919540229886,1538.4,,1700.0,2224.0
ヘニーヒューズHenny Hughes(米),1441.832669322709,1464.2857142857142,1467.2222222222222,1478.8461538461538,1542.1491228070176,1548.5,1517.0454545454545,1294.642857142857,1158.695652173913,1273.5294117647059,1529.8726114649683,1664.8648648648648,1511.4583333333333,1578.3783783783783,1552.7672955974842,1472.5185185185185,1353.061224489796,1383.3333333333333,1506.231884057971,1437.171052631579,1455.0253807106599,1429.1666666666667,1479.908256880734,1750.0,1469.4444444444443,1364.423076923077,1374.4274809160306,1537.857142857143,1331.25,1522.2222222222222
ホッコータルマエ,1692.9411764705883,1453.7735849056603,1616.6666666666667,1671.195652173913,,1456.8181818181818,1776.530612244898,1684.351145038168,,1532.4590163934427,1886.111111111111,2112.3076923076924,1576.923076923077,1621.0526315789473,1705.873015873016,1823.3333333333333,1437.5,1886.6,1568.2926829268292,1619.3069306930693,1720.0,1578.968253968254,1647.0588235294117,2100.0,1461.4754098360656,1490.0,1692.6829268292684,1811.7708333333333,1192.3076923076924,1932.6415094339623
マジェスティックウォリアーMajestic Warrior(米),1679.3023255813953,,1283.8709677419354,1579.2207792207791,1764.7142857142858,1716.6666666666667,1571.9512195121952,1693.9175257731958,1248.6486486486488,1652.3809523809523,1473.6842105263158,1895.1639344262296,1498.148148148148,1690.4761904761904,1767.2463768115942,1702.7272727272727,1465.5172413793102,,1508.2926829268292,1754.21875,1570.9016393442623,1550.0,1789.642857142857,1685.7142857142858,1543.8953488372092,1469.5652173913043,1846.2686567164178,1627.5862068965516,1732.876712328767,1671.875
ミッキーアイル,1486.3636363636363,1677.7777777777778,1402.439024390244,1454.7619047619048,1446.936936936937,,1397.9885057471265,,1319.1176470588234,1348.780487804878,,1735.0,1446.0674157303372,1266.6666666666667,,1673.0434782608695,1576.4705882352941,1548.888888888889,1569.5652173913043,,,,,1455.4794520547946,1264.2857142857142,1325.4901960784314,1168.4782608695652,1612.7906976744187,1415.3846153846155,1327.2727272727273
モーリス,1591.4285714285713,1599.0,1559.016393442623,1690.4761904761904,1699.3120393120394,1412.5,1701.0,1535.2941176470588,1270.8333333333333,1551.566265060241,1579.1666666666667,1654.842105263158,1575.8620689655172,1712.2674418604652,1703.1016042780748,1429.5698924731182,1500.0,1665.1162790697674,1459.3582887700534,1590.929203539823,1664.5010845986985,1658.6029411764705,1710.8783783783783,1629.7297297297298,1803.3163265306123,1418.095238095238,1400.0,1663.0722891566265,1766.6666666666667,
リオンディーズ,1588.0459770114942,1840.909090909091,1546.969696969697,1684.0,,1681.8181818181818,1775.8222222222223,1434.0,,1489.5454545454545,1772.2222222222222,1675.7429718875503,1755.8823529411766,1856.701030927835,,1542.0408163265306,1513.3333333333333,1629.4117647058824,1546.8686868686868,1712.121212121212,1570.926517571885,1631.25,1667.4342105263158,1377.4193548387098,1486.4661654135339,1569.871794871795,1488.6458333333333,1657.5144508670521,,1338.888888888889
