sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米),ワイルドラッシュWild Rush(米)
イスラボニータ,,0.043478260869565216,,0.15384615384615385,0.15833333333333333,0.21428571428571427,0.2621951219512195,0.0,,0.23333333333333334,,0.171875,0.15625,0.1875,,,0.3148148148148148,0.13636363636363635,0.0,0.03571428571428571,0.14285714285714285,,0.20454545454545456,0.32,,0.2831858407079646,0.3404255319148936,0.2962962962962963,0.0,
エイシンフラッシュ,0.13122171945701358,,0.1,0.041666666666666664,0.13157894736842105,0.2631578947368421,0.47058823529411764,0.17333333333333334,,0.2127659574468085,0.20057306590257878,0.15384615384615385,0.17142857142857143,0.125,0.1368421052631579,0.14285714285714285,,0.15384615384615385,0.11805555555555555,0.22448979591836735,0.18695652173913044,0.056338028169014086,0.04081632653061224,0.03333333333333333,0.20652173913043478,0.19607843137254902,,0.18181818181818182,,0.15384615384615385
エピファネイア,0.2679900744416873,0.05555555555555555,0.1388888888888889,0.31746031746031744,0.24339360222531292,0.2631578947368421,0.2345679012345679,0.15555555555555556,,0.2672413793103448,0.2,,0.18543046357615894,0.31543624161073824,,0.31893687707641194,,0.3333333333333333,0.24251497005988024,0.2757009345794392,0.2965738758029979,0.3092105263157895,0.23931623931623933,0.275,0.22344322344322345,0.2558139534883721,0.17543859649122806,0.14685314685314685,,0.1724137931034483
オルフェーヴル,0.22580645161290322,0.16666666666666666,0.03125,0.125,0.20918367346938777,0.14285714285714285,0.2289156626506024,,0.2,0.16,,0.25630252100840334,0.2537313432835821,,0.1111111111111111,,0.2916666666666667,0.21052631578947367,0.2,0.19047619047619047,0.10843373493975904,0.16,0.0625,0.17391304347826086,0.034482758620689655,0.2301255230125523,0.13636363636363635,0.3448275862068966,0.23809523809523808,
キズナ,0.20512820512820512,0.4727272727272727,0.16483516483516483,0.4074074074074074,0.30364372469635625,0.3592233009708738,0.2585227272727273,,0.4230769230769231,0.2391304347826087,,0.365296803652968,0.28,,0.19480519480519481,0.29411764705882354,0.15789473684210525,0.2727272727272727,0.043478260869565216,0.1,,0.125,,0.3,,0.3333333333333333,0.1564625850340136,0.0,,0.2727272727272727
キタサンブラック,,0.29411764705882354,0.3333333333333333,0.2708333333333333,0.4057377049180328,0.391304347826087,0.32051282051282054,,,,,0.38235294117647056,0.34782608695652173,,,,0.14285714285714285,,0.21818181818181817,0.5263157894736842,,0.5238095238095238,0.1,0.29411764705882354,,0.3620689655172414,0.24,,0.5294117647058824,
キングカメハメハ,0.22488038277511962,0.16216216216216217,,,,0.4166666666666667,0.33986928104575165,,,0.2682926829268293,0.22127659574468084,0.29577464788732394,0.2857142857142857,0.19047619047619047,0.2972972972972973,0.11538461538461539,,0.4,0.375,0.3473053892215569,0.30637254901960786,0.3888888888888889,0.3372093023255814,,0.24858757062146894,0.22012578616352202,,0.24,,
キンシャサノキセキ,0.10526315789473684,0.3793103448275862,0.21875,0.23076923076923078,0.2289156626506024,0.08333333333333333,0.23809523809523808,,0.1,0.2644628099173554,,0.2631578947368421,0.32142857142857145,,0.09090909090909091,0.16666666666666666,0.3069306930693069,0.07936507936507936,0.2857142857142857,,0.3793103448275862,0.1875,0.1,0.18181818181818182,,0.2482758620689655,0.17647058823529413,0.3333333333333333,,0.24096385542168675
ゴールドシップ,0.2833333333333333,0.15748031496062992,0.2653061224489796,,0.15126050420168066,0.125,0.18584070796460178,,0.07692307692307693,0.0,,0.0967741935483871,0.0,,0.4166666666666667,0.19047619047619047,0.3684210526315789,0.3493975903614458,,0.0,0.10714285714285714,,,0.2222222222222222,,0.3125,0.27488151658767773,0.18181818181818182,0.2810810810810811,
シニスターミニスターSinister Minister(米),0.3026315789473684,0.3888888888888889,0.43478260869565216,0.12,0.3289036544850498,0.2833333333333333,0.25217391304347825,0.2742857142857143,0.32786885245901637,0.058823529411764705,0.24528301886792453,0.2761904761904762,,,0.47619047619047616,0.19230769230769232,0.25,0.16666666666666666,0.21951219512195122,0.18309859154929578,0.28888888888888886,0.3055555555555556,0.3275862068965517,0.3181818181818182,0.21333333333333335,0.2682926829268293,0.35106382978723405,0.31297709923664124,0.5,0.2647058823529412
シルバーステート,0.0,0.45454545454545453,0.38235294117647056,0.16216216216216217,0.305,0.2727272727272727,0.2032520325203252,,0.1509433962264151,0.125,,0.10344827586206896,0.6363636363636364,,0.3076923076923077,0.2727272727272727,0.24324324324324326,0.16666666666666666,,0.3888888888888889,,0.11764705882352941,0.16129032258064516,0.3559322033898305,0.25,0.2916666666666667,0.06666666666666667,0.16666666666666666,,
ジャスタウェイ,0.2631578947368421,0.0,0.23404255319148937,0.5454545454545454,0.2342007434944238,0.4,0.15714285714285714,0.0,,0.25609756097560976,,0.2102803738317757,0.06060606060606061,,,,0.16363636363636364,0.16666666666666666,,0.16417910447761194,0.26666666666666666,0.02857142857142857,,0.16326530612244897,,0.30303030303030304,0.15789473684210525,0.08,0.16666666666666666,0.0
スクリーンヒーロー,0.09090909090909091,0.30952380952380953,0.3103448275862069,0.3333333333333333,0.13432835820895522,0.30434782608695654,0.1044776119402985,,,0.21739130434782608,,0.20833333333333334,0.3404255319148936,0.24324324324324326,,,0.19298245614035087,,0.25,0.3670886075949367,0.24742268041237114,0.23684210526315788,0.08695652173913043,0.16129032258064516,0.15384615384615385,0.3275862068965517,0.125,0.36,0.25773195876288657,
ダイワメジャー,,0.0,,0.3,0.17573221757322174,0.09090909090909091,0.1386861313868613,,,0.16666666666666666,,0.1813186813186813,0.25,,,,0.3728813559322034,0.0,,,,,,,,0.2891566265060241,0.21739130434782608,,0.18518518518518517,0.24691358024691357
ディープインパクト,,0.4166666666666667,,0.25,0.33620689655172414,0.3387096774193548,0.3227848101265823,,,0.21212121212121213,,0.40298507462686567,,,,,0.23595505617977527,,,,,,,,,0.270935960591133,0.21287128712871287,,,
ドゥラメンテ,0.2222222222222222,,0.23728813559322035,,,0.3142857142857143,0.27461139896373055,0.15384615384615385,,0.22580645161290322,,0.23076923076923078,0.17857142857142858,,0.2608695652173913,0.2909090909090909,0.42857142857142855,0.07407407407407407,0.1206896551724138,0.045454545454545456,0.3028571428571429,0.24,0.18421052631578946,0.38461538461538464,0.23404255319148937,0.2159090909090909,0.08695652173913043,0.15555555555555556,,
