sire,sprint,mile,intermediate,long,extended
アイルハヴアナザーI'll Have Another(米),0.18154761904761904,0.19123505976095617,0.18206157965194109,0.2033898305084746,0.1111111111111111
アジアエクスプレス,0.2314410480349345,0.20126582278481012,0.20378151260504201,0.0,0.0
アドマイヤムーン,0.17262638717632553,0.11338289962825279,0.11598746081504702,0.11764705882352941,0.32926829268292684
イスラボニータ,0.22942643391521197,0.23674242424242425,0.24375,0.13333333333333333,0.23809523809523808
エイシンフラッシュ,0.1357142857142857,0.14132762312633834,0.15349264705882354,0.272,0.22549019607843138
エピファネイア,0.1437994722955145,0.24763542562338778,0.2757164404223228,0.2826086956521739,0.25217391304347825
オルフェーヴル,0.199438202247191,0.17634408602150536,0.24162780839338702,0.2733644859813084,0.34615384615384615
カレンブラックヒル,0.201765447667087,0.19636363636363635,0.18625277161862527,0.0,0.08571428571428572
キズナ,0.20743034055727555,0.26032159930465015,0.3176067474960464,0.3237885462555066,0.4153225806451613
キタサンブラック,0.2968197879858657,0.2802197802197802,0.3164179104477612,0.30708661417322836,0.4461538461538462
キングカメハメハ,0.19636363636363635,0.26569037656903766,0.28255139694254083,0.2735294117647059,0.25112107623318386
キンシャサノキセキ,0.21829069134458357,0.18396846254927726,0.22888283378746593,0.12903225806451613,0.24050632911392406
クロフネ,0.16111111111111112,0.1835564053537285,0.22926829268292684,0.06,0.256198347107438
コパノリッキー,0.17637271214642264,0.17801047120418848,0.1672661870503597,0.21875,0.0
ゴールドシップ,0.18421052631578946,0.15510204081632653,0.21980762379764873,0.24473257698541329,0.2663316582914573
サトノアラジン,0.2420814479638009,0.17509025270758122,0.2091917591125198,0.15789473684210525,0.3125
サトノダイヤモンド,0.24481327800829875,0.20378151260504201,0.2522080471050049,0.1896551724137931,0.3793103448275862
シニスターミニスターSinister Minister(米),0.22875816993464052,0.28560126582278483,0.3004405286343612,0.0,0.18
シルバーステート,0.19013062409288825,0.21428571428571427,0.2582469368520264,0.2736842105263158,0.175
ジャスタウェイ,0.19023569023569023,0.1848414539829853,0.22053045186640471,0.3,0.2620689655172414
スクリーンヒーロー,0.22540983606557377,0.25265188042430087,0.25212027756360833,0.2966101694915254,0.2714285714285714
ストロングリターン,0.19370860927152317,0.12796208530805686,0.12446351931330472,0.10714285714285714,0.16279069767441862
ダイワメジャー,0.22666666666666666,0.21957277694982613,0.20926517571884984,0.1415929203539823,0.26639344262295084
ダンカークDunkirk(米),0.13870246085011187,0.1252302025782689,0.18037135278514588,0.20689655172413793,0.2549019607843137
ディスクリートキャットDiscreet Cat(米),0.2402938090241343,0.21871345029239767,0.16149068322981366,0.0,0.0
ディープインパクト,0.21052631578947367,0.2712506767731456,0.3147295742232451,0.2966442953020134,0.32972972972972975
ディープブリランテ,0.17890772128060264,0.1577574967405476,0.15397350993377484,0.25,0.24074074074074073
ドゥラメンテ,0.18861209964412812,0.24066390041493776,0.3046495489243581,0.33903133903133903,0.3142857142857143
ドレフォンDrefong(米),0.259,0.2612562534741523,0.2606060606060606,0.3,0.22727272727272727
ノヴェリストNovellist(愛),0.16710875331564987,0.15725806451612903,0.18989071038251365,0.24444444444444444,0.3490566037735849
ハーツクライ,0.23828125,0.2483745123537061,0.25556494787264017,0.22753623188405797,0.25
ハービンジャーHarbinger(英),0.14432989690721648,0.20304114490161002,0.23276474769012082,0.22088353413654618,0.3402777777777778
パイロPyro(米),0.21806451612903227,0.2545454545454545,0.26558891454965355,0.09523809523809523,0.23076923076923078
ビッグアーサー,0.2535107169253511,0.14696485623003194,0.10638297872340426,0.0,0.0
ブラックタイド,0.1798165137614679,0.16186252771618626,0.2119645494830133,0.2529411764705882,0.32105263157894737
ヘニーヒューズHenny Hughes(米),0.26624857468643104,0.2687846696923853,0.26066350710900477,0.0967741935483871,0.13636363636363635
ホッコータルマエ,0.20696324951644102,0.2209026128266033,0.24089852827265684,0.2608695652173913,0.13333333333333333
マインドユアビスケッツMind Your Biscuits(米),0.12786885245901639,0.2442528735632184,0.1936,0.18181818181818182,0.0
マクフィMakfi(英),0.20026702269692923,0.2103134479271992,0.17823343848580442,0.25,0.23684210526315788
マジェスティックウォリアーMajestic Warrior(米),0.18416523235800344,0.21496062992125983,0.2226855713094245,0.2676056338028169,0.2714285714285714
ミッキーアイル,0.24345146379044685,0.25396825396825395,0.25892857142857145,0.0,0.1951219512195122
モーリス,0.21390845070422534,0.2668855534709193,0.2690274841437632,0.15441176470588236,0.17777777777777778
ラブリーデイ,0.1408839779005525,0.1813380281690141,0.18277945619335348,0.15384615384615385,0.3409090909090909
リアルインパクト,0.1797945205479452,0.20156046814044212,0.21646341463414634,0.08695652173913043,0.12
リアルスティール,0.24345549738219896,0.2697795071335927,0.3019538188277087,0.20512820512820512,0.0
リオンディーズ,0.2434017595307918,0.22568093385214008,0.22291504286827749,0.20689655172413793,0.3584905660377358
ルーラーシップ,0.22005208333333334,0.21003134796238246,0.2236770321876705,0.25316455696202533,0.2773972602739726
ロードカナロア,0.26533942558746737,0.2601262493424513,0.2501005227181343,0.26973684210526316,0.27419354838709675
ワールドエース,0.117096018735363,0.16194331983805668,0.16547788873038516,0.2753623188405797,0.3137254901960784
ヴィクトワールピサ,0.18201284796573874,0.17647058823529413,0.17569786535303777,0.15315315315315314,0.2920353982300885
