sire,n_runners,sire_line,avg_distance,dist_sprint_rate,dist_sprint_top3,dist_mile_rate,dist_mile_top3,dist_middle_rate,dist_middle_top3,dist_long_rate,dist_long_top3,surf_芝_rate,surf_芝_top3,surf_ダート_rate,surf_ダート_top3,tc_良_rate,tc_良_top3,tc_稍重_rate,tc_稍重_top3,tc_重_rate,tc_重_top3,tc_不良_rate,tc_不良_top3,venue_札幌_rate,venue_札幌_top3,venue_函館_rate,venue_函館_top3,venue_福島_rate,venue_福島_top3,venue_新潟_rate,venue_新潟_top3,venue_東京_rate,venue_東京_top3,venue_中山_rate,venue_中山_top3,venue_中京_rate,venue_中京_top3,venue_京都_rate,venue_京都_top3,venue_阪神_rate,venue_阪神_top3,venue_小倉_rate,venue_小倉_top3,overall_top3_rate,overall_win_rate,mstn_allele_c,mstn_allele_t,line_その他,line_エーピーインディ系,line_キングカメハメハ系,line_サドラーズウェルズ系,line_サンデーサイレンス系,line_ストームキャット系,line_デインヒル系,line_デピュティミニスター系,line_ノーザンダンサー系,line_ミスタープロスペクター系,line_ロベルト系
Into Mischief,22,ストームキャット系,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.9545454545454546,0.23809523809523808,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.22727272727272727,0.2,0.09090909090909091,0.0,0.3181818181818182,0.14285714285714285,0.2727272727272727,0.16666666666666666,0.045454545454545456,0.0,0.2727272727272727,0.09090909090909091,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
アジアエクスプレス,55,その他,1520.0,0.4,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.09090909090909091,0.4,0.0,0.0,0.8909090909090909,0.1836734693877551,0.07272727272727272,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.43636363636363634,0.20833333333333334,0.12727272727272726,0.2857142857142857,0.2,0.09090909090909091,0.09090909090909091,0.2,0.07272727272727272,0.0,0.18181818181818182,0.09090909090909091,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
アドマイヤマーズ,64,サンデーサイレンス系,1768.421052631579,0.21052631578947367,0.0,0.15789473684210525,0.0,0.5263157894736842,0.1,0.10526315789473684,0.0,0.296875,0.15789473684210525,0.0,0.0,0.9375,0.15,0.015625,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,0.453125,0.20689655172413793,0.078125,0.6,0.171875,0.09090909090909091,0.15625,0.0,0.09375,0.16666666666666666,0.171875,0.078125,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
アニマルキングダムAnimal Kingdom(米),28,デピュティミニスター系,1896.25,0.125,0.0,0.25,0.0,0.5,0.0,0.125,0.0,0.25,0.2857142857142857,0.03571428571428571,0.0,0.8928571428571429,0.32,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5,0.14285714285714285,0.0,0.17857142857142858,0.4,0.2857142857142857,0.25,0.10714285714285714,0.0,0.32142857142857145,0.10714285714285714,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
アメリカンペイトリオット,71,ミスタープロスペクター系,1827.0588235294117,0.17647058823529413,0.0,0.23529411764705882,0.0,0.4117647058823529,0.0,0.17647058823529413,0.0,0.23943661971830985,0.17647058823529413,0.0,0.0,0.8169014084507042,0.1724137931034483,0.15492957746478872,0.09090909090909091,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39436619718309857,0.07142857142857142,0.14084507042253522,0.1,0.18309859154929578,0.07692307692307693,0.1267605633802817,0.3333333333333333,0.15492957746478872,0.36363636363636365,0.15492957746478872,0.028169014084507043,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
アルアイン,59,サンデーサイレンス系,1872.5,0.1875,0.0,0.125,0.0,0.5625,0.3333333333333333,0.125,0.0,0.2711864406779661,0.3125,0.0,0.0,0.9491525423728814,0.17857142857142858,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.4576271186440678,0.18518518518518517,0.0847457627118644,0.2,0.13559322033898305,0.125,0.1864406779661017,0.18181818181818182,0.11864406779661017,0.14285714285714285,0.1694915254237288,0.03389830508474576,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
イスラボニータ,94,サンデーサイレンス系,1682.3333333333333,0.3,0.2222222222222222,0.2,0.3333333333333333,0.43333333333333335,0.15384615384615385,0.06666666666666667,0.0,0.30851063829787234,0.20689655172413793,0.010638297872340425,0.0,0.8085106382978723,0.27631578947368424,0.18085106382978725,0.23529411764705882,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2978723404255319,0.09574468085106383,0.4444444444444444,0.13829787234042554,0.07692307692307693,0.14893617021276595,0.2857142857142857,0.11702127659574468,0.18181818181818182,0.26595744680851063,0.07446808510638298,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
インディチャンプ,31,サンデーサイレンス系,1575.0,0.375,0.0,0.25,0.0,0.375,0.0,0.0,0.0,0.25806451612903225,0.375,0.0,0.0,0.8387096774193549,0.3076923076923077,0.0967741935483871,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.4838709677419355,0.5333333333333333,0.0,0.0,0.1935483870967742,0.16666666666666666,0.1935483870967742,0.3333333333333333,0.0967741935483871,0.0,0.3870967741935484,0.12903225806451613,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ウインブライト,44,サンデーサイレンス系,1813.0434782608695,0.08695652173913043,0.0,0.21739130434782608,0.0,0.6521739130434783,0.13333333333333333,0.043478260869565216,0.0,0.5227272727272727,0.08695652173913043,0.0,0.0,0.9318181818181818,0.12195121951219512,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.1590909090909091,0.2857142857142857,0.11363636363636363,0.2,0.06818181818181818,0.0,0.1590909090909091,0.0,0.11363636363636363,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
エイシンヒカリ,31,サンデーサイレンス系,2020.0,0.38461538461538464,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0,0.3076923076923077,0.0,0.3870967741935484,0.25,0.03225806451612903,0.0,0.9032258064516129,0.17857142857142858,0.06451612903225806,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.12903225806451613,0.0,0.25806451612903225,0.125,0.25806451612903225,0.125,0.22580645161290322,0.2857142857142857,0.1935483870967742,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
