phase,par_blend,ability_bias_sec,transfer_strength,mae,score,w_surface_only,w_distance_only,w_both
2,,,,15.812950450450451,15.84230759730527,0.85,0.4,0.1
2,,,,15.816816816816816,15.845521857545283,0.65,0.4,0.1
2,,,,15.818155655655655,15.845994438939675,0.85,0.4,0.4
2,,,,15.817204704704704,15.846125062241615,0.85,0.4,0.25
2,,,,15.820883383383384,15.84936869868439,0.65,0.4,0.25
2,,,,15.82235985985986,15.849764061163475,0.65,0.4,0.4
2,,,,15.81991991991992,15.85077942586895,0.85,0.6,0.1
2,,,,15.824399399399399,15.852200355290377,0.45,0.4,0.1
2,,,,15.823936436436437,15.853886470813933,0.65,0.6,0.1
2,,,,15.823998998998999,15.854984594407725,0.85,0.6,0.25
2,,,,15.824712212212212,15.855255291279832,0.85,0.6,0.4
2,,,,15.82829079079079,15.855980584020214,0.45,0.4,0.25
2,,,,15.830893393393394,15.857205570827483,0.45,0.4,0.4
2,,,,15.827827827827827,15.857694961423121,0.65,0.6,0.25
2,,,,15.827802802802802,15.85783645184877,0.85,0.8,0.1
2,,,,15.829091591591592,15.858414952635925,0.65,0.6,0.4
2,,,,15.83136886886887,15.861103233892589,0.45,0.6,0.1
2,,,,15.831794294294294,15.861155517697823,0.65,0.8,0.1
2,,,,15.831669169169169,15.861216722657055,0.85,0.8,0.25
1,0.0,1.0,0.0,15.834284284284283,15.861786798801239,,,
1,0.0,1.0,0.5,15.834284284284283,15.861786798801239,,,
1,0.0,1.0,1.0,15.834284284284283,15.861786798801239,,,
2,,,,15.832219719719719,15.862019749519533,0.85,0.8,0.4
2,,,,15.837775275275275,15.86317726501661,0.25,0.4,0.1
2,,,,15.83546046046046,15.864190590016111,0.65,0.8,0.25
2,,,,15.835072572572573,15.864744575715749,0.45,0.6,0.25
2,,,,15.836524024024024,15.865388001776266,0.65,0.8,0.4
2,,,,15.837462462462462,15.866408622280257,0.45,0.6,0.4
2,,,,15.843068068068067,15.868201057647354,0.25,0.4,0.25
2,,,,15.8393018018018,15.868379159237643,0.45,0.8,0.1
2,,,,15.846784284284285,15.871048538868962,0.25,0.4,0.4
2,,,,15.842742742742743,15.871176291772539,0.45,0.8,0.25
2,,,,15.84491991991992,15.871384210643017,0.25,0.6,0.1
2,,,,15.84496996996997,15.873283247258977,0.45,0.8,0.4
2,,,,15.849987487487487,15.876064333487475,0.25,0.6,0.25
2,,,,15.852977977977979,15.878207820771527,0.25,0.8,0.1
2,,,,15.853478478478479,15.87950202113845,0.25,0.6,0.4
2,,,,15.857857857857859,15.88231735211882,0.25,0.8,0.25
2,,,,15.861161161161162,15.885969490735993,0.25,0.8,0.4
1,0.0,1.0,1.0,15.89217967967968,15.950712089413457,,,
1,0.0,1.0,0.0,15.89217967967968,15.950712089413457,,,
1,0.0,1.0,0.5,15.89217967967968,15.950712089413457,,,
1,0.0,1.0,0.0,15.917204704704705,15.992810049874448,,,
